date,latent_0,latent_1,latent_2
2018-04-05,-0.1101315,0.42700344,0.40695196
2018-04-06,-0.11017138,0.535023,0.20372751
2018-04-09,-0.08813393,0.8356403,-0.23764056
2018-04-10,-0.09152269,0.60199153,0.33960983
2018-04-11,-0.103771925,0.38378096,0.5262798
2018-04-12,0.059244156,1.7842574,-2.024389
2018-04-13,-0.1708101,-0.47155178,1.5810571
2018-04-16,-0.18410712,-0.35814476,0.8923913
2018-04-17,-0.113297045,-0.17451134,0.959884
2018-04-18,-0.13410401,-0.10951266,0.4411484
2018-04-19,-0.15328604,-0.55682623,0.7696269
2018-04-20,-0.11395866,-0.07789476,0.18882939
2018-04-23,-0.16297,-0.30397168,-0.01392436
2018-04-24,-0.11432922,-0.50679964,0.6501799
2018-04-26,-0.14152986,-0.4525926,0.20497084
2018-04-27,-0.16227359,-0.3685988,-0.033970833
2018-05-02,-0.16610843,-1.2409104,0.9864451
2018-05-03,-0.2323134,-0.2478185,-0.7942589
2018-05-04,-0.22252578,-0.81602204,-0.071476996
2018-05-07,-0.10770279,-1.4812887,1.6958778
2018-05-08,-0.0891099,-0.61162287,0.23432833
2018-05-09,-0.10370582,-0.5200001,-0.044403195
2018-05-10,-0.11479813,-1.1268922,0.49930784
2018-05-11,-0.10746735,-0.81778824,0.26048553
2018-05-14,-0.11674744,-0.67101645,0.07095486
2018-05-15,-0.11531812,-0.6222645,0.051975846
2018-05-16,-0.1459319,-0.62380993,-0.27337396
2018-05-17,-0.16924101,-0.57478046,-0.39066982
2018-05-18,-0.21611941,-0.30943257,-0.863085
2018-05-21,-0.20470029,-0.9562346,-0.05581242
2018-05-22,-0.20655733,-1.420344,0.22608691
2018-05-23,-0.18342084,-1.1042564,-0.083444476
2018-05-24,-0.26711947,-0.6666557,-1.0406401
2018-05-25,-0.24087912,-1.5107999,-0.021764517
2018-05-28,-0.21895474,-1.8436656,0.34858534
2018-05-29,-0.18009436,-2.190751,1.1853449
2018-05-30,-0.20675254,-1.0637635,-0.90377957
2018-05-31,-0.15662211,-1.695113,0.6720618
2018-06-01,-0.1728012,-1.1441836,-0.22621793
2018-06-04,-0.18773615,-0.59794116,-1.0150373
2018-06-05,-0.16213018,-1.0155703,-0.28480077
2018-06-06,-0.12183994,-1.2174847,0.4346401
2018-06-07,-0.1786744,-0.50813675,-1.0033019
2018-06-08,-0.17074573,-0.7462677,-0.49532455
2018-06-11,-0.16364998,-1.0217898,-0.12311226
2018-06-12,-0.17862523,-1.3681853,0.17240295
2018-06-13,-0.2050317,-1.0353495,-0.4109496
2018-06-14,-0.19261152,-1.5533637,0.18815061
2018-06-15,-0.17976588,-1.3873208,0.04591906
2018-06-18,-0.20020771,-1.6450629,0.09172386
2018-06-19,-0.26083773,-0.9787532,-1.2161062
2018-06-20,-0.20344871,-1.4617794,-0.06490272
2018-06-21,-0.22096282,-1.6761742,0.03638935
2018-06-22,-0.2732033,-0.94687057,-1.0956225
2018-06-25,-0.3211612,-0.5383892,-1.6363473
2018-06-26,-0.3756758,-0.58695555,-1.6254427
2018-06-27,-0.32976162,-1.7103953,0.16018486
2018-06-28,-0.40648335,-0.8463127,-1.3903246
2018-06-29,-0.3751158,-1.3704932,-0.4479888
2018-07-02,-0.36389804,-1.5546036,-0.11605275
2018-07-03,-0.30866098,-2.1113198,0.90021616
2018-07-04,-0.4029165,-0.72895133,-1.6246645
2018-07-05,-0.33202487,-1.8038574,0.32994193
2018-07-06,-0.25561398,-2.5357726,1.6750441
2018-07-09,-0.25444585,-1.610499,-0.08389294
2018-07-10,-0.2606057,-1.4688917,-0.34377974
2018-07-11,-0.2289114,-1.9045584,0.45961428
2018-07-12,-0.21410549,-1.7485994,0.15439904
2018-07-13,-0.21728283,-1.5350289,-0.24680209
2018-07-16,-0.22795767,-1.2153041,-0.5591437
2018-07-17,-0.18860483,-1.4589124,0.10299504
2018-07-18,-0.14487904,-1.0538286,-0.0061326027
2018-07-19,-0.18507737,-0.8131004,-0.53432935
2018-07-20,-0.17096895,-0.841401,-0.28555977
2018-07-23,-0.18148714,-0.9042157,-0.2703489
2018-07-24,-0.16848677,-0.91726696,-0.11587626
2018-07-25,-0.18321586,-1.2413629,0.10051623
2018-07-26,-0.17949611,-0.99890316,-0.1960113
2018-07-27,-0.1496101,-1.061337,0.14543971
2018-07-30,-0.114518285,-0.81474507,0.16831279
2018-07-31,-0.11034495,0.25058326,-1.6228144
2018-08-01,-0.16972274,-0.5284805,-0.103309155
2018-08-02,-0.16433638,0.2382156,-1.4983866
2018-08-03,-0.19282532,0.27417433,-1.4372783
2018-08-06,-0.24691719,-0.4192633,-0.075680554
2018-08-07,-0.18981749,-0.22640288,0.070753634
2018-08-08,-0.032532513,0.9764898,-1.5183823
2018-08-09,-0.17509407,0.10073112,-0.024371684
2018-08-10,-0.092781484,0.21718583,0.40487593
2018-08-13,-0.086990535,0.50997126,0.056715608
2018-08-14,-0.10759908,0.30965257,0.28103918
2018-08-15,-0.1396485,0.48273373,-0.24755281
2018-08-16,-0.12692851,0.4321213,0.06616753
2018-08-17,-0.09385663,0.50816,0.27034143
2018-08-20,-0.06583357,0.987962,-0.48508674
2018-08-21,-0.096538186,0.33750838,0.8427243
2018-08-22,0.031711042,1.652082,-1.6934347
2018-08-23,-0.14950019,0.71510303,0.16381788
2018-08-24,-0.14866889,0.7797444,0.051862776
2018-08-27,-0.03538704,1.505045,-1.2529244
2018-08-28,-0.18623567,0.5540736,0.39061314
2018-08-29,-0.19238615,0.64359736,0.21565482
2018-08-30,-0.1765799,0.6057257,0.3783118
2018-08-31,-0.18009114,0.34179345,0.7267653
2018-09-04,-0.1714682,-1.0347557,2.7268195
2018-09-05,-0.15707278,0.46114606,0.091163695
2018-09-06,-0.06935686,1.2011054,-1.3332672
2018-09-07,-0.16311711,0.44599915,0.35926253
2018-09-10,-0.13773775,0.8609966,-0.3572045
2018-09-11,-0.14459068,0.44113296,0.6793061
2018-09-12,-0.16167349,0.6300949,0.16526568
2018-09-13,-0.120040715,1.0288336,-0.47049803
2018-09-14,-0.19501793,0.69771934,0.09045392
2018-09-17,-0.21325254,0.6632465,-0.028640091
2018-09-18,-0.16913766,0.49365917,0.57977414
2018-09-19,-0.058814228,1.4962468,-1.2200933
2018-09-20,-0.18889749,0.8963281,-0.121059
2018-09-21,-0.22515392,0.7639033,0.07262498
2018-09-24,-0.23077393,0.59094286,0.2706511
2018-09-25,-0.23390901,0.7979662,-0.061437428
2018-09-26,-0.27962416,0.72444475,0.058698595
2018-09-27,-0.277708,0.60627306,0.19719207
2018-09-28,-0.21419114,1.2158506,-0.72978956
2018-10-01,-0.33143932,0.71985775,0.057483256
2018-10-02,-0.10800594,2.0000906,-2.0523987
2018-10-03,-0.32365227,0.8983449,-0.043030977
2018-10-04,-0.33905995,0.99637276,-0.19866651
2018-10-05,-0.39290172,0.27195793,0.79266155
