date,latent_0,latent_1,latent_2
2021-04-02,0.07250863,-0.3478965,0.4895282
2021-04-05,-0.02659452,-0.37852487,0.45158574
2021-04-06,0.17492698,-0.3831143,0.5459702
2021-04-07,-0.01448907,-0.42460647,0.45588037
2021-04-08,0.014413819,-0.4118434,0.40599522
2021-04-09,-0.35845768,-0.32889733,0.0777109
2021-04-12,0.07758897,-0.31142882,0.20159438
2021-04-13,-0.5011431,-0.29800949,-0.102801606
2021-04-14,0.11677301,-0.29395863,0.16499689
2021-04-15,0.11571618,-0.30579314,0.1781455
2021-04-16,0.13709557,-0.26192465,0.09705463
2021-04-19,-0.065614656,-0.23990813,-0.083787486
2021-04-20,0.37743223,-0.23370823,0.12825581
2021-04-22,-0.37798387,-0.26466975,-0.1814558
2021-04-23,-0.092544764,-0.28793493,-0.018850565
2021-04-26,-0.879947,-0.2607878,-0.34210998
2021-04-27,0.14659601,-0.29376468,0.17493272
2021-04-28,1.8410392,-0.13031337,0.8987638
2021-04-29,0.11353873,-0.34114125,0.15877733
2021-05-04,0.9487298,-0.25784042,0.5126982
2021-05-05,-0.12157245,-0.36664024,0.027499825
2021-05-06,-0.12194963,-0.36111143,0.013539523
2021-05-07,0.11275675,-0.36706975,0.13680542
2021-05-10,-0.11849274,-0.3667526,0.021921337
2021-05-11,-0.32851446,-0.33572903,-0.11538181
2021-05-12,0.510156,-0.32217595,0.31083366
2021-05-13,-0.24531133,-0.35511824,-0.056597456
2021-05-14,0.64910674,-0.31237885,0.36188462
2021-05-17,0.34525484,-0.35402557,0.22805902
2021-05-18,0.108784765,-0.38543043,0.13128284
2021-05-19,-0.15780424,-0.37973538,-0.007189065
2021-05-20,-1.4773241,-0.24031481,-0.75768876
2021-05-21,-0.3901227,-0.25435802,-0.22877388
2021-05-24,0.7456092,-0.2126331,0.30243227
2021-05-25,0.16140145,-0.2833527,0.046987444
2021-05-26,1.9341679,-0.080400914,0.7681929
2021-05-27,-0.08639993,-0.28941515,-0.12946609
2021-05-28,0.14676748,-0.28507003,-0.020347357
2021-05-31,-0.31300855,-0.28446737,-0.22150947
2021-06-01,-0.61552674,-0.28066376,-0.33721054
2021-06-02,-0.72883314,-0.21111277,-0.46948546
2021-06-03,-0.5948753,-0.13207164,-0.5137019
2021-06-04,0.22332406,-0.14606178,-0.12814294
2021-06-07,-0.025421724,-0.14584276,-0.25108573
2021-06-08,-0.41831768,-0.1419327,-0.40122032
2021-06-09,0.24921475,-0.17029354,-0.04058495
2021-06-10,-0.33283037,-0.1732912,-0.288701
2021-06-11,-0.19381423,-0.14604968,-0.26400784
2021-06-14,-0.04411508,-0.15142891,-0.18842694
2021-06-15,-1.0632199,-0.0170843,-0.78724456
2021-06-16,-0.10655038,-0.05117309,-0.28726155
2021-06-17,-0.2459666,-0.06836948,-0.28521705
2021-06-18,-0.26165563,-0.08699924,-0.23589796
2021-06-21,-0.41893214,-0.095686644,-0.24978071
2021-06-22,-0.29840726,-0.05429563,-0.24744707
2021-06-23,-0.086399004,-0.08098483,-0.08808693
2021-06-24,-0.07968022,-0.081231266,-0.086573035
2021-06-25,-0.07275127,-0.09693274,-0.07639864
2021-06-28,-0.09244631,-0.11276469,-0.04584679
2021-06-29,-0.17760874,-0.07968792,-0.15181851
2021-06-30,-0.07761033,-0.104972154,-0.050519392
2021-07-01,0.39667416,-0.10859212,0.21156588
2021-07-02,-0.46794033,-0.14130905,-0.12388058
2021-07-05,-0.23798014,-0.13027042,-0.032737106
2021-07-06,-0.26818913,-0.15125126,0.01744768
2021-07-07,-0.14308478,-0.15300658,0.07920867
2021-07-08,0.13880312,-0.15634015,0.21574482
2021-07-09,0.26587692,-0.15271902,0.26906845
2021-07-12,-0.14556469,-0.15893075,0.061831206
2021-07-13,1.5307933,-0.046299785,0.81258285
2021-07-14,0.5274391,-0.17889011,0.37052688
2021-07-15,0.110487826,-0.2119703,0.15535948
2021-07-16,0.16215268,-0.2230697,0.21084002
2021-07-19,0.37827957,-0.2122254,0.30081746
2021-07-20,0.7484091,-0.17879346,0.44449767
2021-07-21,0.23855127,-0.25952944,0.23263058
2021-07-22,-0.69454867,-0.19880041,-0.28757048
2021-07-23,0.10555137,-0.23215207,0.14037415
2021-07-26,0.15536882,-0.22769895,0.15421104
2021-07-27,0.7345798,-0.16830128,0.38939288
2021-07-28,0.32586432,-0.23587176,0.24070358
2021-07-29,0.2460939,-0.25715992,0.22121558
2021-07-30,1.5647502,-0.12667176,0.7816006
2021-08-02,0.3732599,-0.27717897,0.2695733
2021-08-03,1.7209616,-0.14561078,0.8518189
2021-08-04,-2.3723927,-0.029444933,-1.2072369
2021-08-05,0.122196004,-0.18884885,0.045337856
2021-08-06,-0.162403,-0.19461152,-0.08080965
2021-08-09,-0.15121914,-0.20086661,-0.05805394
2021-08-10,0.11247136,-0.20816895,0.0890474
2021-08-11,-0.5146372,-0.14118293,-0.2921505
2021-08-12,0.1385518,-0.17382106,0.05599138
2021-08-13,0.33607155,-0.16136327,0.14143893
2021-08-16,-0.13269033,-0.16427585,-0.11167228
2021-08-17,-0.588707,-0.07713166,-0.42432237
2021-08-18,0.16382307,-0.11047426,-0.023330078
2021-08-19,0.45291167,-0.0852119,0.09565207
2021-08-20,-0.13131951,-0.080946565,-0.2334444
2021-08-23,0.177993,-0.078547,-0.0880833
2021-08-24,0.18051676,-0.077041,-0.09490161
2021-08-25,-0.76389533,0.010270566,-0.620618
2021-08-26,0.21363962,-0.022429138,-0.1194005
2021-08-27,-0.56404364,-0.009652823,-0.45260584
2021-08-30,-0.21427928,0.018520236,-0.32609093
2021-08-31,-0.78859496,0.0382635,-0.52688867
2021-09-01,0.99012977,0.067313224,0.31749073
2021-09-06,-1.1462668,0.040347844,-0.5816803
2021-09-07,-0.865864,-0.0039432943,-0.32002872
2021-09-08,0.018011466,-0.030236006,0.11559859
2021-09-09,-0.14149944,-0.037052363,0.018567681
2021-09-10,0.2561239,-0.033959627,0.19998232
2021-09-13,-0.3021049,-0.062740624,-0.01791215
2021-09-14,-0.8335961,-0.050688893,-0.17332989
2021-09-15,-0.17937489,-0.07114431,0.14635035
2021-09-16,0.37207428,-0.061991394,0.40159926
2021-09-17,-0.27713627,-0.068543136,0.060083
2021-09-20,-0.33378637,-0.08492711,0.09324631
2021-09-21,0.13616155,-0.07356778,0.295222
2021-09-22,-0.38501704,-0.02574578,-0.019390136
2021-09-23,-0.40731514,0.028923392,-0.1003032
2021-09-24,0.31989616,-0.00950855,0.34638795
2021-09-27,-0.3077861,-0.06418696,0.14672458
2021-09-28,-0.20976104,-0.06131947,0.17990014
2021-09-29,0.5105414,-0.040240556,0.51359236
2021-09-30,0.15164737,-0.09374362,0.3535711
2021-10-01,0.08965535,-0.11006856,0.34671965
2021-10-04,0.47817838,-0.08039346,0.507331
2021-10-05,0.6535264,-0.078832954,0.5705217
2021-10-06,0.081558354,-0.14705345,0.31879506
2021-10-07,-0.41045105,-0.103125304,0.022924721
2021-10-08,0.083444074,-0.11893955,0.29415306
2021-10-11,0.14179556,-0.12734962,0.334995
2021-10-12,1.1106559,-0.05527404,0.7638067
2021-10-13,0.05849126,-0.16501036,0.2799802
2021-10-14,-0.35341138,-0.12970081,0.029496074
2021-10-15,0.10915498,-0.14599147,0.28455326
2021-10-18,0.3454755,-0.1413992,0.4062235
2021-10-19,0.08492633,-0.16759565,0.27792272
2021-10-20,0.48044163,-0.13145742,0.4399968
2021-10-21,0.8677672,-0.11227068,0.6125876
