date,latent_0,latent_1,latent_2
2017-10-13,-0.12351675,-0.16933475,-0.23982376
2017-10-16,-0.09756033,-0.1671171,-0.26945257
2017-10-17,-0.13054648,-0.16807418,-0.2561924
2017-10-18,0.032812506,-0.10281424,-0.4532358
2017-10-19,-0.14088932,-0.12029123,-0.27499953
2017-10-20,0.82217723,0.055907205,-0.82108295
2017-10-23,-0.6159606,-0.24555062,0.17849319
2017-10-24,-0.20536883,-0.030427739,-0.3340457
2017-10-25,-0.7222087,-0.27205485,0.33244383
2017-10-26,-0.19883971,-0.022200719,-0.2815746
2017-10-27,-0.25503027,-0.010671064,-0.24852426
2017-10-30,-0.016173944,0.18067636,-0.121075645
2017-10-31,-0.15119256,0.009835005,-0.32661405
2017-11-01,-0.23197111,0.03592719,-0.2500239
2017-11-02,-0.31854218,-0.0050486475,-0.15682551
2017-11-03,-0.0880042,0.1787234,-0.11460013
2017-11-06,-0.09298359,0.18256277,-0.113464214
2017-11-07,-0.31583363,0.015408725,-0.14313477
2017-11-08,-0.16304119,0.17821914,-0.055558033
2017-11-09,0.3279854,0.13357772,-0.49523455
2017-11-10,-0.061981663,0.194365,-0.15121335
2017-11-13,-0.17588212,0.2047202,-0.008140683
2017-11-14,-0.041964784,0.20996056,-0.13839923
2017-11-15,-0.15153223,0.20600423,-0.055553332
2017-11-16,-0.4233042,-0.031724855,-0.01627794
2017-11-17,-0.12437102,0.18724325,-0.09275187
2017-11-20,0.20816888,0.16331248,-0.3699221
2017-11-21,-0.06551312,0.20554832,-0.13006628
2017-11-22,0.428868,0.14963813,-0.57010216
2017-11-23,-0.27114317,0.08102429,-0.23831747
2017-11-24,-0.20391236,0.07211442,-0.30938274
2017-11-27,-0.25538003,0.07448709,-0.2712571
2017-11-28,-0.050811723,0.22519386,-0.14904012
2017-11-29,-1.1443348,-0.40543377,0.7378828
2017-11-30,-0.0033126026,0.21259409,-0.073979184
2017-12-01,-0.27856803,0.040705726,0.16907017
2017-12-04,-0.04991509,0.16680846,-0.07610142
2017-12-05,0.040592566,0.17392552,-0.15016848
2017-12-06,-0.016431957,0.19499165,-0.08274317
2017-12-07,-0.010954931,0.19728185,-0.08933455
2017-12-08,-0.054484144,0.21618755,-0.026328415
2017-12-11,0.03612365,0.21509567,-0.092911586
2017-12-12,-0.18538977,0.13135211,0.18490727
2017-12-13,0.040392175,0.23777668,-0.04367186
2017-12-14,-0.034125432,0.25209257,0.093753636
2017-12-15,-0.7106162,-0.17910545,0.7827641
2017-12-18,-0.09226368,0.049634047,0.041796163
2017-12-19,-0.026834235,0.07688275,0.0062941164
2017-12-20,0.001649037,0.069339335,-0.034612834
2017-12-21,-0.0028797984,0.066619076,-0.04040741
2017-12-22,0.0035893172,0.06831561,-0.04006353
2017-12-25,-0.00014038384,0.07043612,-0.033488087
2017-12-26,0.00036372244,0.07213068,-0.031983487
2017-12-27,0.5435399,0.1208715,-0.5033494
2017-12-28,-0.0027475208,0.14733794,-0.044866376
2017-12-29,0.1569895,0.17551637,-0.18862987
2018-01-02,-0.11732741,0.08946019,0.033438966
2018-01-03,-0.66670215,-0.28670555,0.3310209
2018-01-04,-0.11526677,-0.015241012,-0.08509751
2018-01-05,-0.08710025,-0.0025455207,-0.09572608
2018-01-08,-0.027250051,0.004017934,-0.15296721
2018-01-09,-0.37910035,-0.18676676,0.11200513
2018-01-10,0.058329895,-0.055860415,-0.31319207
2018-01-11,-0.097523324,-0.060638145,-0.17112131
2018-01-12,0.23177294,-0.03462635,-0.48717123
2018-01-15,0.32055688,-0.020333335,-0.5690025
2018-01-16,-0.12168198,-0.02519627,-0.22858311
2018-01-17,0.00016583502,-0.0041733086,-0.34987986
2018-01-18,-0.16743861,-0.014032945,-0.18415849
2018-01-19,-0.1459175,-0.012501046,-0.20498452
2018-01-22,-0.4022412,-0.13336082,0.058454484
2018-01-23,-0.14476354,-0.03946401,-0.2259584
2018-01-24,-0.14685652,-0.038530186,-0.22444223
2018-01-25,-0.16706397,-0.043194354,-0.21149927
