date,latent_0,latent_1,latent_2
2014-09-18,-0.3106519,0.13496438,-0.14400755
2014-09-19,-0.30484003,0.13218689,-0.15771392
2014-09-22,-0.27199993,0.13810274,-0.197642
2014-09-23,-0.22445852,0.139177,-0.24192975
2014-09-24,-0.22782071,0.14318329,-0.23250566
2014-09-25,-0.23255393,0.14669257,-0.21915564
2014-09-26,-0.21778923,0.1458348,-0.23215076
2014-09-29,-0.21778923,0.1458348,-0.23215078
2014-09-30,-0.21836966,0.1474782,-0.23205268
2014-10-01,-0.116979,0.14191975,-0.32294804
2014-10-02,-0.09868518,0.1433574,-0.3408556
2014-10-03,-0.22219634,0.15514523,-0.2334772
2014-10-06,-0.20443156,0.1547879,-0.24950674
2014-10-07,-0.18041193,0.15407343,-0.27133667
2014-10-08,0.27193153,0.14736731,-0.597424
2014-10-09,0.20133935,0.13582386,-0.6018426
2014-10-10,0.5881684,0.13415642,-0.8760822
2014-10-13,-0.06482433,0.17559604,-0.3928361
2014-10-14,-0.31786793,0.18311813,-0.15887544
2014-10-15,-0.5760021,0.098035835,0.09918
2014-10-16,-0.24727242,0.17850357,-0.24862209
2014-10-17,-0.1086173,0.16892323,-0.37066692
2014-10-20,-1.1734829,-0.22900538,0.8404727
2014-10-21,-0.23800911,0.15605411,-0.21066226
2014-10-22,-0.4080372,0.108249895,-0.049979933
2014-10-23,-0.18932307,0.14511108,-0.26631635
2014-10-24,-0.23454675,0.15021965,-0.21982501
2014-10-27,-0.2586497,0.14770904,-0.20388116
2014-10-28,-0.22188869,0.14587344,-0.23671839
2014-10-29,-1.0035671,-0.20904358,0.6815366
2014-10-30,-0.31158072,0.09584707,-0.10629274
2014-10-31,-0.26142076,0.10818591,-0.15811081
2014-11-03,-0.22932348,0.11166329,-0.1960169
2014-11-04,-0.1849996,0.14456372,-0.20089163
2014-11-05,-0.20609376,0.14849494,-0.1973489
2014-11-06,-0.1848214,0.14570291,-0.21542136
2014-11-07,-0.1559094,0.14346898,-0.24080634
2014-11-10,-0.29450542,0.13870499,-0.08518645
2014-11-11,-0.27535307,0.14810011,-0.07668455
2014-11-12,-0.056701884,0.15160772,-0.2879801
2014-11-13,-0.14859983,0.16870914,-0.20190687
2014-11-14,-0.26437718,0.16138408,-0.06099826
2014-11-17,0.026087001,0.13361877,-0.36888275
2014-11-18,-0.21451694,0.1663892,-0.15026012
2014-11-19,-0.084722765,0.16250713,-0.253589
2014-11-20,-0.17052612,0.1733647,-0.18006918
2014-11-21,-0.3662635,0.07322028,-0.038599297
2014-11-24,-0.16438481,0.13514972,-0.22950493
2014-11-25,-0.17863038,0.13750003,-0.21727574
2014-11-26,0.31948996,0.10149278,-0.6273194
2014-11-27,-0.1292814,0.17396577,-0.22785005
2014-11-28,-0.021189973,0.16612764,-0.31932223
2014-12-01,-0.20954159,0.13825682,-0.23981798
2014-12-02,-0.2605594,0.13511921,-0.20053712
