date,latent_0,latent_1,latent_2
2014-10-02,-0.5026287,0.79773,0.052006315
2014-10-03,-0.6189513,0.6168905,0.2540121
2014-10-06,-0.0367738,0.116106026,-0.13894142
2014-10-07,-0.28382057,0.26214135,0.08742659
2014-10-08,0.005025983,0.02754537,-0.0950501
2014-10-09,-0.053464852,0.04344067,-0.062860206
2014-10-10,0.007781312,0.003851831,-0.09556356
2014-10-13,-0.16444515,0.081334405,0.017161813
2014-10-14,-0.022295952,-0.025445849,-0.054686632
2014-10-15,-0.021388069,-0.03434907,-0.05196223
2014-10-16,-0.14763412,0.0022700727,0.014773085
2014-10-17,-0.045539685,-0.043015175,-0.033960216
2014-10-20,-0.05607754,-0.010853343,-0.035678845
2014-10-21,-0.038611695,-0.033312768,-0.03687037
2014-10-22,-0.017356962,-0.037565902,-0.048273508
2014-10-23,-0.08214536,-0.022259228,-0.012555749
2014-10-24,-0.011966154,-0.060273677,-0.04239351
2014-10-27,-0.102534994,-0.033152014,0.0064592725
2014-10-28,-0.03326317,-0.08010622,-0.023288023
2014-10-29,-0.11947671,0.0067855343,0.003313969
2014-10-30,0.9805463,-0.67131704,-0.48188028
2014-10-31,1.6545,-1.1509719,-0.78921044
2014-11-03,-0.12664376,-0.060860626,-0.088798836
2014-11-04,0.8715238,-0.6669269,-0.5111518
2014-11-05,-0.1422643,-0.06903851,-0.1058857
2014-11-06,-0.1990338,-0.006774679,-0.07933426
2014-11-07,-0.052676484,-0.104276866,-0.14268404
2014-11-10,0.47857076,-0.4365964,-0.3614886
2014-11-11,-0.051923394,-0.11397814,-0.15462263
2014-11-12,-0.13479324,-0.07838698,-0.11492704
2014-11-13,0.5754042,-0.52037555,-0.40456212
2014-11-14,0.031142592,-0.18252248,-0.19639643
2014-11-17,0.22128549,-0.31028983,-0.27289492
2014-11-18,-0.015875652,-0.16727522,-0.18281354
2014-11-19,-0.12581035,-0.0874232,-0.14259195
2014-11-20,0.14617631,-0.26785013,-0.24819098
2014-11-21,-0.08947827,-0.13155171,-0.15352951
2014-11-24,0.30613798,-0.38911378,-0.30973136
2014-11-25,-0.07515487,-0.15751174,-0.16187991
2014-11-26,-0.65778464,0.27061594,0.25031522
2014-11-27,-0.038548127,-0.21971515,-0.12665798
2014-11-28,-0.727945,0.45983207,0.356956
2014-12-01,-0.25981176,0.015073247,0.04804801
2014-12-02,-0.02598022,-0.16261598,-0.0642578
2014-12-03,-0.014338046,-0.16701424,-0.07132524
2014-12-04,0.049711823,-0.21032909,-0.0978733
2014-12-05,-0.112896934,-0.10139667,-0.038638685
2014-12-08,-0.0999655,-0.12444189,-0.03671562
