date,latent_0,latent_1,latent_2
2017-04-18,0.17246386,-0.14385208,-0.013624594
2017-04-19,-0.051212803,-0.18716013,-0.14405225
2017-04-20,-0.051921472,-0.18780825,-0.14415222
2017-04-21,-0.04755728,-0.19749501,-0.13813524
2017-04-24,2.3364043,0.0051636994,0.9090824
2017-04-25,3.038318,0.00642696,1.1883469
2017-04-26,0.6082167,-0.28422663,0.12727872
2017-04-27,0.43366528,-0.31068185,0.049575925
2017-04-28,1.5010085,-0.19817403,0.5181389
2017-05-03,2.550779,-0.094441384,0.9713515
2017-05-04,0.12912142,-0.3757957,-0.08129346
2017-05-05,3.0467238,-0.032889336,1.1558911
2017-05-08,0.60981786,-0.32439938,0.09753382
2017-05-09,0.3116275,-0.3359342,-0.08213617
2017-05-10,0.1584044,-0.3665562,-0.1545445
2017-05-11,-0.08099823,-0.36064854,-0.28445917
2017-05-12,0.8550294,-0.28880772,0.1496965
2017-05-15,0.1585236,-0.36756888,-0.15485334
2017-05-16,-0.06622262,-0.36785534,-0.27064657
2017-05-17,0.74615544,-0.3081052,0.10788807
2017-05-18,0.3149572,-0.36100438,-0.07582973
2017-05-19,0.69047445,-0.31862226,0.08741692
2017-05-22,-0.62311894,-0.35290298,-0.543357
2017-05-23,-1.2432486,-0.3333039,-0.8511442
2017-05-24,0.14710939,-0.39133063,-0.12501831
2017-05-25,-2.4487085,-0.20874855,-1.506446
2017-05-26,-2.3587396,-0.15571079,-1.507269
2017-05-29,-0.24305166,-0.26376638,-0.41437918
2017-05-30,-1.1830328,-0.22660145,-0.8496766
2017-05-31,-0.031926617,-0.28179803,-0.24378899
2017-06-01,-0.027674079,-0.2766488,-0.25164992
2017-06-02,-0.09330778,-0.2604147,-0.3041522
2017-06-05,-0.21434547,-0.2721158,-0.34477675
2017-06-06,-0.024129525,-0.28440556,-0.24077816
2017-06-07,-0.018202737,-0.28093567,-0.24396896
2017-06-08,-0.023006797,-0.28379014,-0.24049906
2017-06-09,-0.0051558763,-0.2828361,-0.23845622
2017-06-12,-0.087705895,-0.28628334,-0.26268992
2017-06-13,-0.021152928,-0.28379068,-0.23939243
2017-06-14,-0.013425991,-0.2780684,-0.24609819
2017-06-15,-0.013873592,-0.2810249,-0.2421257
2017-06-16,-0.011942029,-0.27891847,-0.24564025
2017-06-19,0.20343807,-0.28275368,-0.13472958
2017-06-20,0.2909534,-0.27401516,-0.10057084
2017-06-21,0.0071683377,-0.30576393,-0.24273713
2017-06-22,1.0795951,-0.2536095,0.21604517
2017-06-23,2.1754782,-0.16226706,0.63785064
2017-06-26,-1.2265453,-0.27635744,-0.9437486
2017-06-27,1.9027051,-0.17829207,0.49395087
2017-06-28,-1.2698478,-0.2729496,-0.96567154
2017-06-29,-0.10492386,-0.3214005,-0.3567451
2017-06-30,-1.4988558,-0.22543457,-1.0741168
2017-07-03,-0.71947783,-0.22906509,-0.66303647
2017-07-04,-1.0275714,-0.2180163,-0.7526361
2017-07-05,-0.49386883,-0.24691513,-0.42587912
2017-07-06,-0.15056692,-0.23404852,-0.2884456
2017-07-07,0.014470503,-0.23648396,-0.20306067
2017-07-10,0.23847644,-0.24043271,-0.09867823
2017-07-11,-0.16853704,-0.24140689,-0.27417913
2017-07-12,0.0068898946,-0.24452886,-0.18347205
2017-07-13,0.011775628,-0.24517438,-0.18234208
2017-07-14,-0.28785044,-0.19177362,-0.39186016
2017-07-17,0.00047950447,-0.20623651,-0.22605935
2017-07-18,-0.21244024,-0.1686874,-0.37568742
2017-07-19,0.03348305,-0.17491895,-0.24837637
2017-07-20,-0.2086414,-0.15634981,-0.3704151
2017-07-21,-0.29374933,-0.16008377,-0.3737506
2017-07-24,0.006098509,-0.18034256,-0.19205222
2017-07-25,0.013893232,-0.18360573,-0.18875636
2017-07-26,-0.3713522,-0.11369476,-0.44691437
2017-07-27,0.022244796,-0.12734681,-0.24169815
2017-07-28,0.5869692,-0.1014196,0.010088116
2017-07-31,0.6786945,-0.10893622,0.06011501
2017-08-01,0.8604045,-0.10685715,0.14429039
2017-08-02,0.6838486,-0.13881645,0.064989686
2017-08-03,0.37134272,-0.17646071,-0.08032742
2017-08-04,-0.041168123,-0.18372878,-0.2862585
2017-08-07,0.00042681396,-0.18282464,-0.26663336
2017-08-08,0.3027249,-0.18344769,-0.114939585
2017-08-09,-0.058249533,-0.19448504,-0.27551806
2017-08-10,-0.012309089,-0.19699648,-0.24767834
2017-08-11,0.548352,-0.1724998,0.018680185
2017-08-14,0.20998983,-0.21544442,-0.12217715
2017-08-15,0.6735186,-0.16113591,0.055084795
2017-08-16,-1.6384676,-0.12966397,-0.9867171
2017-08-17,0.73536414,-0.1491172,0.16797367
2017-08-18,-0.05725634,-0.22996733,-0.15581316
2017-08-21,0.18875296,-0.22360995,-0.05156052
2017-08-22,-0.08156775,-0.21543923,-0.20481026
2017-08-23,1.7530674,-0.05328533,0.5842434
2017-08-24,-0.98775846,-0.12670812,-0.7724017
2017-08-25,-0.92021793,-0.09576833,-0.73263633
2017-08-28,-0.07094966,-0.13184047,-0.288763
2017-08-29,-0.022590712,-0.1389732,-0.24815825
2017-08-30,-0.011697695,-0.13011843,-0.25970724
2017-08-31,-0.059737474,-0.13686159,-0.26664042
2017-09-01,0.23450372,-0.13041309,-0.13924125
2017-09-05,-0.0117004365,-0.13063422,-0.25980118
2017-09-06,-0.0062953085,-0.13107586,-0.25910574
2017-09-07,-0.00582771,-0.13402241,-0.25492144
2017-09-08,-0.01213713,-0.13379541,-0.25683886
2017-09-11,-0.2014073,-0.13976005,-0.31271914
2017-09-12,-0.21588756,-0.15074408,-0.27995044
2017-09-13,-0.04459153,-0.1627622,-0.17771664
2017-09-14,1.8164229,-0.019427627,0.6607275
2017-09-15,-0.08173676,-0.19272453,-0.21302897
2017-09-18,0.5046376,-0.15190351,0.03130105
2017-09-19,-0.18288724,-0.1898554,-0.27148482
2017-09-20,0.18550892,-0.19617724,-0.086868376
2017-09-21,0.19073994,-0.19159353,-0.10043937
2017-09-22,1.2301813,-0.08815834,0.34285912
2017-09-25,2.7383304,0.046161205,0.9913099
2017-09-26,0.8056693,-0.18951875,0.12944865
2017-09-27,0.22844568,-0.2651582,-0.124605305
2017-09-28,0.2888104,-0.26373145,-0.09983519
2017-09-29,0.23021145,-0.27608553,-0.122210264
2017-10-02,0.30490357,-0.2707723,-0.08669531
2017-10-03,-0.02735658,-0.28687397,-0.23381773
2017-10-04,0.17186455,-0.28698322,-0.13904966
2017-10-05,0.17079923,-0.28902552,-0.13532156
2017-10-06,0.17084777,-0.2890245,-0.13529712
2017-10-09,1.0685046,-0.20197833,0.25792524
2017-10-10,1.2721196,-0.19529596,0.3595859
2017-10-11,-0.9506857,-0.28806707,-0.66494995
2017-10-12,0.14622733,-0.34329292,-0.075272426
2017-10-13,1.08586,-0.24847403,0.32830426
2017-10-16,-1.9860183,-0.20714518,-1.2426139
2017-10-17,0.3879667,-0.28126523,-0.023031324
2017-10-18,-0.1788391,-0.3035864,-0.2761873
2017-10-19,0.1647682,-0.3314502,-0.08743167
2017-10-20,0.06808419,-0.32739195,-0.14319177
2017-10-23,-0.0395364,-0.33141866,-0.18925844
2017-10-24,-1.9935924,-0.15151185,-1.2662307
2017-10-25,-0.023754,-0.25161108,-0.23886277
2017-10-26,-0.030971512,-0.25753745,-0.22937813
2017-10-27,-0.0836838,-0.2425355,-0.27566493
2017-10-30,-0.08337666,-0.25177327,-0.25574142
2017-10-31,-0.050418466,-0.2616147,-0.21932095
2017-11-01,-0.025596336,-0.26044533,-0.20909023
2017-11-02,-0.028841406,-0.26075086,-0.21072342
2017-11-03,-0.029088154,-0.25932392,-0.21383208
2017-11-06,-0.03600897,-0.2654707,-0.20504707
2017-11-07,0.19615936,-0.26219985,-0.09955497
2017-11-08,0.5903324,-0.22892973,0.07900566
2017-11-09,0.27999967,-0.28617558,-0.062516615
2017-11-10,-0.021296725,-0.29682085,-0.20156178
2017-11-13,1.7200116,-0.1436347,0.5643215
2017-11-14,-0.12470512,-0.30589578,-0.27940884
2017-11-15,-1.0658377,-0.20394412,-0.8301513
2017-11-16,0.21684481,-0.2605051,-0.15309483
2017-11-17,-0.02285643,-0.25800917,-0.29089153
2017-11-20,0.026114896,-0.26822224,-0.27397904
2017-11-21,-1.398926,-0.1577344,-1.00287
2017-11-22,-1.0157784,-0.13294035,-0.793743
2017-11-23,-0.8323248,-0.14579678,-0.6150074
2017-11-24,-0.0042157173,-0.17803487,-0.18801874
2017-11-27,0.23504093,-0.18028373,-0.07774913
2017-11-28,0.24673143,-0.174837,-0.08714655
2017-11-29,0.0030941367,-0.17164898,-0.21046871
2017-11-30,0.009620205,-0.15989235,-0.23009428
2017-12-01,-0.014681831,-0.16286403,-0.22986123
2017-12-04,-0.22458716,-0.1699596,-0.30088645
2017-12-05,-2.039969e-05,-0.15774462,-0.21708895
2017-12-06,0.020934075,-0.15141615,-0.22990498
2017-12-07,0.016915575,-0.15165243,-0.23174119
2017-12-08,0.008662507,-0.15604386,-0.22475973
2017-12-11,-0.13468392,-0.16276649,-0.27395946
2017-12-12,-0.14245738,-0.17094511,-0.2529248
2017-12-13,0.4966951,-0.14859247,0.03632176
2017-12-14,0.014183447,-0.1758456,-0.19862154
2017-12-15,0.0070092976,-0.16493034,-0.21664166
2017-12-18,0.0068659633,-0.16650572,-0.21396807
2017-12-19,2.1054382,0.010566145,0.70216095
2017-12-20,2.6762645,0.033422023,0.94940734
2017-12-21,3.0649967,0.044346005,1.1118854
2017-12-22,-0.012760013,-0.29520944,-0.2370569
2017-12-25,-0.16945143,-0.2946268,-0.30105874
2017-12-26,0.2753243,-0.29425266,-0.08135146
2017-12-27,-0.53814745,-0.28616896,-0.4587268
2017-12-28,0.45133078,-0.27896723,0.020348728
2017-12-29,0.15827534,-0.31485018,-0.09941235
2018-01-02,0.8306152,-0.25330278,0.21104148
2018-01-03,1.2650923,-0.22023019,0.41463426
2018-01-04,0.69373375,-0.2982752,0.17015493
2018-01-05,-1.21003,-0.31244203,-0.72735906
2018-01-08,-0.077381685,-0.37305233,-0.117385775
2018-01-09,0.12672433,-0.3761089,-0.023624256
2018-01-10,-1.359568,-0.2734265,-0.8346336
2018-01-11,-0.67024064,-0.31185982,-0.42874813
2018-01-12,-0.64448595,-0.2820408,-0.44933248
2018-01-15,0.36566806,-0.2931656,0.0582909
2018-01-16,-0.07754789,-0.31502995,-0.15360537
2018-01-17,-0.068901345,-0.31908193,-0.15717597
2018-01-18,-0.0732393,-0.31451014,-0.16605762
2018-01-19,0.15589938,-0.31982985,-0.04360579
2018-01-22,-0.069643214,-0.3182707,-0.15865286
2018-01-23,0.16894843,-0.32120666,-0.03749764
2018-01-24,0.04696665,-0.32210103,-0.09862061
2018-01-25,0.48694032,-0.29357007,0.107032746
2018-01-26,0.16808107,-0.33165428,-0.032491982
2018-01-29,-0.18695278,-0.3348386,-0.18615927
2018-01-30,-0.12493442,-0.32713786,-0.17053622
2018-01-31,-0.085782304,-0.3380386,-0.12916218
2018-02-01,0.14505298,-0.34028783,-0.0117063075
2018-02-02,0.19987486,-0.31544676,-0.025720775
2018-02-05,-1.4427243,-0.2575418,-0.7980002
2018-02-06,-0.31892413,-0.3168464,-0.17569599
