date,latent_0,latent_1,latent_2
2019-03-05,-0.18432488,0.009084225,-0.033578306
2019-03-06,-0.25731403,0.23893225,-0.023308992
2019-03-07,-0.25850776,0.15034258,0.002738744
2019-03-08,-0.2265957,0.025556728,0.0003528595
2019-03-11,-0.240981,0.08175973,-0.03608179
2019-03-12,-0.22731061,0.0635518,-0.05866295
2019-03-13,0.12504211,0.046580836,-0.17940329
2019-03-14,0.11500844,0.07315579,-0.21640076
2019-03-15,0.12220964,0.72175217,-0.28965124
2019-03-18,0.18347359,0.08640517,-0.23729551
2019-03-19,0.124485284,0.122673094,-0.21297398
2019-03-20,0.1274614,0.053978227,-0.19160753
2019-03-21,0.15882647,0.124288425,-0.2443159
2019-03-22,0.16302487,0.1329289,-0.2440034
2019-03-25,0.1309942,0.22924885,-0.20242299
2019-03-26,0.13073137,0.1172093,-0.17399296
2019-03-27,0.16936785,0.12858872,-0.21630807
2019-03-28,0.18986061,0.087475985,-0.22655362
2019-03-29,0.18900493,0.09635695,-0.23086587
2019-04-01,0.323476,-0.66057354,-0.20003724
2019-04-02,0.11801791,0.08853464,-0.22438377
2019-04-03,0.16249296,-0.11649437,-0.22638047
2019-04-04,0.1349262,-0.05576791,-0.24119608
2019-04-05,0.061708808,0.09580913,-0.26057062
2019-04-08,0.03889948,0.16626638,-0.23365372
2019-04-09,0.03694418,0.095736995,-0.21187933
2019-04-10,0.021451533,0.11822654,-0.1944611
2019-04-11,0.0489368,0.076977715,-0.21222179
2019-04-12,0.46136263,-1.9101717,0.012997627
2019-04-16,-0.15647388,-0.11409287,-0.19718091
2019-04-17,-0.16360968,-0.11678173,-0.18148267
2019-04-18,-0.19077452,-0.032622114,-0.19011635
2019-04-19,-0.03725548,-0.4913506,-0.1792627
2019-04-22,-0.06287803,-0.41981524,-0.18470362
2019-04-23,0.01472342,-0.657322,-0.1855005
2019-04-24,0.029414326,0.95434195,-0.30681032
2019-04-25,0.10453984,-0.09756552,-0.24935317
2019-04-26,0.017356798,0.353063,-0.22778185
2019-05-02,0.08758938,0.26695186,-0.26918492
2019-05-03,0.10630819,0.1782905,-0.25945985
2019-05-06,0.08893174,0.18003894,-0.22525619
2019-05-07,0.107257694,0.07134308,-0.21830806
2019-05-08,0.11124632,0.048118003,-0.2162046
2019-05-09,0.12488094,0.112458244,-0.2512839
2019-05-10,0.15361682,-0.05457233,-0.23303434
2019-05-13,0.13911137,0.0047110915,-0.24154472
2019-05-14,0.10815245,0.078711525,-0.23014909
2019-05-15,0.12058234,0.14076123,-0.25444964
2019-05-16,0.11784837,0.10902852,-0.2420794
2019-05-17,0.08920109,0.19979852,-0.2091382
2019-05-20,0.06153986,0.20856987,-0.16400456
2019-05-21,0.08652583,0.070806906,-0.16024104
2019-05-22,0.08312863,0.07732223,-0.16124837
2019-05-23,0.06872472,0.10420754,-0.15053302
2019-05-24,0.08054799,0.071009666,-0.15379402
2019-05-27,0.40280715,-1.737687,0.062998176
2019-05-28,0.0675856,0.30840433,-0.2440568
2019-05-29,0.12977585,-0.38162142,-0.20711245
2019-05-30,-0.028994292,-0.38233286,-0.21332137
2019-05-31,-0.08192629,-0.28734213,-0.1940018
2019-06-03,-0.112473235,-0.18478169,-0.20937347
2019-06-04,-0.19398877,0.14940913,-0.26424617
2019-06-05,-0.16788013,0.02220112,-0.25514627
2019-06-06,-0.11094951,-0.17271681,-0.22783458
2019-06-07,0.014316559,0.9902466,-0.14588286
2019-06-10,0.021087676,0.088195376,-0.08479783
2019-06-11,0.030311108,0.07137797,-0.089512944
2019-06-12,0.028883427,-0.15243836,-0.05994761
2019-06-13,-0.009523243,0.107239015,-0.10319972
2019-06-14,0.017280519,0.109191954,-0.13396218
2019-06-17,0.064490154,0.0008702129,-0.1554054
2019-06-18,0.043938786,0.06375559,-0.15497969
2019-06-19,0.04308939,0.07769129,-0.16658399
2019-06-20,0.055696487,0.095968254,-0.19096564
2019-06-21,0.05876796,0.06691156,-0.19167466
2019-06-24,0.062145293,0.07132986,-0.19876617
2019-06-25,0.092190534,-0.20333792,-0.15350208
2019-06-26,0.031209633,0.050524876,-0.175412
2019-06-27,0.027513504,0.055020794,-0.17317742
2019-06-28,0.038798943,0.014231786,-0.17562017
2019-07-01,0.031804323,0.05421181,-0.18276596
2019-07-02,0.058531553,0.073441595,-0.21841776
2019-07-03,0.06069927,0.06925918,-0.22094424
2019-07-04,0.058107927,0.048648395,-0.21379319
2019-07-05,0.5216676,-2.1126547,0.04844463
2019-07-08,-0.12804312,-0.13607992,-0.25824234
2019-07-09,-0.19735178,0.08211053,-0.26735264
2019-07-10,-0.20562434,0.08917124,-0.25233185
2019-07-11,-0.19851512,0.040830493,-0.24614798
2019-07-12,-0.066739105,-0.3499865,-0.2316829
2019-07-15,-0.19594193,0.107795395,-0.28085172
2019-07-16,-0.17901492,0.015405908,-0.26692736
2019-07-17,-0.19698022,0.073479444,-0.26312768
2019-07-18,-0.12428061,-0.15250362,-0.25396258
2019-07-19,-0.18875013,0.06710215,-0.27798936
2019-07-22,-0.22722664,0.24276148,-0.2950368
2019-07-23,-0.039487764,-0.41967952,-0.26798373
2019-07-24,-0.248182,0.35704356,-0.30350745
2019-07-25,-0.054404363,0.96340895,-0.18048769
2019-07-26,-0.061546117,0.27591035,-0.1027171
2019-07-29,-0.07092525,0.20019025,-0.053851873
2019-07-30,-0.05083227,-0.069803044,-0.019989789
2019-07-31,-0.059268832,0.15510176,-0.06484854
2019-08-01,-0.02824448,0.16818681,-0.09557629
2019-08-02,-0.018964618,0.07729606,-0.07816672
2019-08-05,0.0020483136,-0.056887493,-0.062800646
2019-08-06,-0.022274286,0.08858816,-0.08610058
2019-08-07,0.0069066286,0.21009706,-0.13578346
2019-08-08,0.035618037,0.077057615,-0.13437241
2019-08-09,0.031213045,0.069447175,-0.13125648
2019-08-12,0.045075834,-0.054442897,-0.11804116
2019-08-13,0.017934188,0.06875656,-0.13115108
2019-08-14,0.0229384,0.06885432,-0.13705607
2019-08-15,0.027360678,0.069265045,-0.14312708
2019-08-16,0.041173965,0.103659794,-0.16825365
2019-08-19,0.07621527,0.0033593625,-0.17704517
2019-08-20,0.05314651,0.07057353,-0.18475306
2019-08-21,0.0958845,-0.02021654,-0.20605281
2019-08-22,-0.016376331,-0.5795339,-0.07379347
2019-08-23,-0.15549117,-0.21079989,-0.07227695
2019-08-26,-0.27897775,0.1284754,-0.05328375
2019-08-27,-0.3596243,0.41827124,0.0013766289
2019-08-28,-0.38132668,0.3818069,0.0885033
2019-08-29,-0.18529558,0.50210756,0.18385601
2019-08-30,-0.22359353,0.4624011,0.2833891
2019-09-03,-0.14220738,0.3298257,0.25056762
2019-09-04,-0.080295175,0.11494974,0.24384093
2019-09-05,-0.053171605,-0.117623106,0.27822363
2019-09-06,-0.12530369,0.068325095,0.3003688
2019-09-09,-0.12831455,0.14729679,0.27976078
2019-09-10,-0.121834695,0.06298618,0.29792225
2019-09-11,-0.124645144,0.06183599,0.3003856
2019-09-12,-0.12674794,0.03800024,0.31019044
2019-09-13,-0.12832528,0.058341235,0.30761063
2019-09-16,-0.0625982,-0.01757212,0.3143829
2019-09-17,-0.120619535,0.089014485,0.29282272
2019-09-18,-0.12653157,0.084491596,0.29102182
2019-09-19,-0.06028971,-0.042801216,0.29984444
2019-09-20,-0.29005766,-0.17068793,0.3150159
2019-09-23,-0.21081474,0.4084255,0.36703157
2019-09-24,-0.19335818,0.27109873,0.43878686
2019-09-25,-0.36442733,-0.016100347,0.45756745
2019-09-26,-0.3552596,-0.130663,0.46726102
2019-09-27,-0.25621742,-0.47058755,0.5008881
2019-09-30,-0.16064626,-0.8518066,0.55916137
2019-10-01,-0.26969326,-0.45685554,0.48020613
2019-10-02,-0.38657206,-0.09405413,0.44360936
2019-10-03,-0.4548395,0.1423263,0.40925443
2019-10-04,-0.38912272,-0.03925632,0.4118718
2019-10-07,-0.3859554,-0.04677461,0.40917772
2019-10-08,-0.4092803,0.021948218,0.40154302
2019-10-09,-0.41008288,0.024732873,0.4013852
2019-10-10,-0.41564304,0.02641882,0.4121511
2019-10-11,-0.4218022,0.05910755,0.40133035
2019-10-14,-0.41115335,0.01973471,0.4081536
2019-10-15,-0.38795888,-0.061368287,0.41651523
2019-10-16,-0.41284227,0.0035045296,0.41828042
2019-10-17,-0.43911928,0.14228973,0.36648607
2019-10-18,-0.4111609,0.020895958,0.3808955
2019-10-21,0.3231071,-2.3670328,0.8288382
2019-10-22,0.30212614,-2.349785,0.7969364
2019-10-23,-0.46232963,0.124900974,0.32580787
2019-10-24,-0.42580733,0.0024282783,0.33859992
2019-10-25,-0.52381384,0.4719128,0.28036678
2019-10-28,-0.41323727,0.005626321,0.31621534
2019-10-29,-0.41150576,0.0055618435,0.31287336
2019-10-30,-0.42871526,0.054131426,0.3114971
2019-10-31,-0.39341444,-0.07643907,0.33053672
2019-11-01,-0.35320538,-0.21305688,0.34830022
2019-11-04,-0.4620619,0.118568644,0.3243612
2019-11-05,-0.42933345,0.013043195,0.3354764
2019-11-06,-0.44443265,0.07164496,0.3239935
2019-11-07,-0.36119005,-0.19199164,0.3486365
2019-11-08,-0.45281795,0.11685833,0.30704296
2019-11-11,-0.43734312,0.055317983,0.31894583
2019-11-12,-0.4291741,0.022190347,0.32532394
2019-11-13,-0.40241274,-0.070026964,0.33890957
2019-11-14,-0.24197283,-0.49149454,0.31759894
2019-11-15,-0.3604216,-0.1117837,0.26014018
2019-11-18,-0.48624125,0.42609012,0.20081788
2019-11-19,-0.536669,0.7264017,0.16949391
2019-11-20,-0.40571937,0.3071273,0.10667023
2019-11-21,-0.30432498,0.01909791,0.040067762
2019-11-22,-0.25917262,-0.16065468,0.054731816
2019-11-25,-0.31901586,-0.010595486,0.031033248
2019-11-26,-0.3198186,-0.023336947,0.028328389
2019-11-27,-0.42082173,0.5943563,-0.06636906
2019-11-28,-0.3270921,0.3062166,-0.10619208
2019-11-29,-0.28164756,0.03569361,-0.07496697
2019-12-02,-0.30102074,0.0860984,-0.071308374
2019-12-03,-0.30326265,0.06794579,-0.052926153
2019-12-04,-0.27861977,-0.015572235,-0.04028359
2019-12-05,-0.3037719,0.08519548,-0.063066185
2019-12-06,-0.25238734,-0.08469583,-0.042016357
2019-12-09,-0.32218438,0.11438869,-0.036214113
2019-12-10,-0.30094275,0.021112159,-0.018963337
2019-12-11,-0.3157722,0.08692984,-0.037341177
2019-12-12,-0.3008114,0.031782717,-0.025032192
2019-12-13,-0.25137594,0.038009048,-0.13470699
2019-12-16,-0.20946786,-0.13119115,-0.1375132
2019-12-17,-0.13721178,-0.37495655,-0.14379394
2019-12-18,-0.1833902,-0.2521158,-0.1446805
2019-12-19,-0.34171695,0.5608944,-0.25251508
2019-12-20,-0.06251895,0.16649184,-0.27387485
2019-12-23,-0.12678258,0.6104693,-0.22500822
2019-12-24,-0.035692975,0.058801815,-0.18832777
2019-12-25,0.024714887,0.6504464,-0.29937172
2019-12-26,0.020103395,0.42046326,-0.17977396
2019-12-27,0.002627954,0.3005002,-0.091211915
2019-12-30,-0.040978402,0.4872657,0.014775753
2019-12-31,-0.05812779,0.41764218,0.13259998
2020-01-02,-0.04818815,0.1834934,0.19449079
2020-01-03,0.04443872,0.42404848,0.11572176
2020-01-06,0.14140618,0.25883356,0.071643054
2020-01-07,0.15319806,0.11526012,0.106431425
2020-01-08,0.09140384,0.23685852,0.16695821
2020-01-09,0.110266715,0.09027354,0.19669938
2020-01-10,0.09363219,0.107249774,0.20780909
2020-01-13,0.10055032,0.11539899,0.19825464
2020-01-14,0.10433346,0.11734204,0.19436431
2020-01-15,0.09690416,0.07939689,0.21418297
2020-01-16,0.09505281,0.12669677,0.20131284
2020-01-17,0.11906278,-0.05668208,0.21950722
2020-01-20,0.09562853,-0.059141114,0.2241013
2020-01-21,0.0772775,0.049124077,0.20123178
2020-01-22,0.06751153,0.10645756,0.19251281
2020-01-30,0.09313968,-0.33654457,0.29057962
2020-01-31,-0.076566696,0.21465501,0.3309921
2020-02-03,-0.12367633,0.2815016,0.41220272
2020-02-04,-0.12704086,0.10222015,0.50656813
2020-02-05,-0.05064583,-0.17160897,0.52295285
2020-02-06,-0.1287041,0.055352837,0.49517715
2020-02-07,-0.05894494,0.05711773,0.4359793
2020-02-10,-0.032723278,-0.21409057,0.4902321
