date,latent_0,latent_1,latent_2
2014-09-23,0.1609394,-0.068743676,0.058524102
2014-09-24,-0.10354258,-0.08191839,-0.05047831
2014-09-25,-0.13247378,-0.06947145,-0.08743712
2014-09-26,0.1616307,-0.07230398,0.05757764
2014-09-29,-0.13248827,-0.08525866,-0.06603551
2014-09-30,0.50507885,-0.060120642,0.22860792
2014-10-01,-0.701024,0.01239574,-0.4662522
2014-10-02,-0.0889072,-0.010986775,-0.14906383
2014-10-03,0.26377183,-0.010827929,0.02257511
2014-10-06,-0.08949821,0.0018267632,-0.19138303
2014-10-07,1.6177624,0.14454213,0.51965106
2014-10-08,-0.43231952,-0.019374877,-0.35497072
2014-10-09,0.17060228,-0.023575991,-0.0675728
2014-10-10,1.1810435,0.045333117,0.41196802
2014-10-13,0.23690553,-0.059487224,-0.020871893
2014-10-14,-0.4790001,-0.06547883,-0.3175494
2014-10-15,0.29747373,-0.07473108,0.07063553
2014-10-16,0.111861795,-0.1249885,0.048629344
2014-10-17,-0.24036942,-0.09314236,-0.172848
2014-10-20,-0.3720715,-0.04123342,-0.3044542
2014-10-21,-0.46337837,-0.055452436,-0.28350616
2014-10-22,0.1671246,-0.073210895,0.0133111775
2014-10-23,0.1532585,-0.08545682,0.02651763
2014-10-24,-0.1338364,-0.09535375,-0.094488114
2014-10-27,-0.99021393,-0.055381835,-0.41449425
2014-10-28,-0.27487952,-0.06677404,-0.08603895
2014-10-29,0.94846725,0.01709339,0.42985103
2014-10-30,-0.20927767,-0.092527,-0.057234943
2014-10-31,-0.1633742,-0.08239806,-0.053757936
2014-11-03,-0.13506652,-0.06566924,-0.08658457
2014-11-04,0.25788727,-0.07204789,0.12510803
2014-11-05,-0.23401715,-0.037125856,-0.1788419
2014-11-06,-0.14234088,-0.058514655,-0.08723351
2014-11-07,0.1671327,-0.047607392,0.0437136
2014-11-10,0.15609936,-0.05932179,0.058799863
2014-11-11,0.3949514,-0.044348985,0.16268238
2014-11-12,-0.3544839,-0.028464586,-0.2659937
2014-11-13,0.51806986,-0.014847815,0.15049943
2014-11-14,0.22452244,-0.042790204,-0.0019720942
2014-11-17,0.44306892,-0.042199254,0.113042
2014-11-18,0.5670935,-0.040947884,0.1643765
2014-11-19,-0.3983106,-0.09013447,-0.23394819
2014-11-20,0.14851008,-0.0907397,0.023602247
2014-11-21,-0.22519757,-0.103452474,-0.11719006
2014-11-24,1.7676544,0.05079356,0.7458917
2014-11-25,0.2387954,-0.14940801,0.09896478
2014-11-26,0.27831435,-0.1419827,0.091350436
2014-11-27,0.44409388,-0.13053393,0.16202578
2014-11-28,0.14030662,-0.14523292,-0.011918873
2014-12-01,0.44924575,-0.122225046,0.12270221
2014-12-02,0.14354984,-0.18243119,0.0030670315
2014-12-03,1.0947852,-0.09336141,0.41536692
2014-12-04,-1.4834919,-0.015757501,-0.9321536
2014-12-05,0.18374729,-0.11043832,-0.081163794
2014-12-08,0.17103595,-0.122739464,-0.06708388
2014-12-09,-0.9684923,-0.09337941,-0.5601883
2014-12-10,-0.7069721,-0.015949875,-0.52327436
2014-12-11,-0.07476458,-0.035649866,-0.21621193
2014-12-12,-0.10963546,-0.0076997876,-0.2767408
2014-12-15,-0.31901008,-0.017514735,-0.31724048
2014-12-16,-0.07594888,-0.026231557,-0.19274352
2014-12-17,-0.5976767,-0.02907154,-0.3467118
2014-12-18,-0.15702517,-0.023868918,-0.15642814
2014-12-19,-0.15827115,-0.04664898,-0.0994838
2014-12-22,0.12228621,-0.056702703,0.061547488
2014-12-23,-0.12349777,-0.04351589,-0.0839899
2014-12-24,-0.11851506,-0.067513436,-0.061786026
2014-12-25,-0.1323374,-0.079211324,-0.042357787
2014-12-26,-0.40645576,-0.08944526,-0.10597023
2014-12-29,-0.6475181,-0.097009,-0.12886772
2014-12-30,-0.35915607,-0.07613221,-0.022162601
2014-12-31,-0.65598637,0.019226402,-0.26410112
2015-01-05,0.54791963,0.05206096,0.2682797
2015-01-06,-0.34906083,0.06870033,-0.22566384
2015-01-07,-0.29231757,0.041867793,-0.12034189
2015-01-08,0.37468737,0.03395462,0.21941027
2015-01-09,0.72435045,0.062690884,0.3437979
2015-01-12,-0.16045718,-0.026380181,-0.0110144615
2015-01-13,0.16763148,-0.015890092,0.12146321
2015-01-14,0.17889757,-0.01117,0.1013169
2015-01-15,-0.12853728,-0.01481393,-0.052119628
2015-01-16,0.7343015,0.0156115,0.36184165
2015-01-19,0.17597194,-0.06660208,0.14263186
2015-01-20,0.17723513,-0.057222217,0.116377026
2015-01-21,-0.70368356,-0.06407574,-0.23126118
2015-01-22,0.13564193,-0.089768946,0.19649005
2015-01-23,-0.1771579,-0.102573186,0.06450674
2015-01-26,-0.3006214,-0.06867868,-0.04283142
2015-01-27,-0.18862046,-0.10042372,0.08629683
2015-01-28,0.80745655,-0.04928735,0.5347165
2015-01-29,0.19473526,-0.116135955,0.24221787
2015-01-30,0.8180079,-0.09043273,0.5553254
2015-02-02,0.18750393,-0.19133544,0.32529607
2015-02-03,0.25296637,-0.21875253,0.42696986
2015-02-04,0.23905718,-0.22763392,0.41923174
2015-02-05,0.028100818,-0.2605079,0.3488895
2015-02-06,0.02612105,-0.25154665,0.32260177
2015-02-09,0.09109233,-0.24951443,0.3531699
2015-02-10,0.18339679,-0.25551632,0.41546342
2015-02-11,-1.516297,-0.06584281,-0.5247698
2015-02-12,-0.2735427,-0.14176264,0.0897862
2015-02-13,0.07968201,-0.14426205,0.26542768
2015-02-24,-0.23369722,-0.13166237,0.08659044
2015-02-25,0.09676329,-0.14456847,0.2738864
2015-02-26,0.833717,-0.08361873,0.5909611
2015-02-27,0.06986827,-0.17184576,0.25487128
2015-03-02,0.079149425,-0.17366639,0.25908622
2015-03-03,0.23463924,-0.15163848,0.3037295
2015-03-04,0.32933122,-0.12433639,0.2975041
2015-03-05,0.08289288,-0.15008691,0.18778336
2015-03-06,0.09883681,-0.15209785,0.19541648
2015-03-09,-0.49020743,-0.16031453,-0.031674013
2015-03-10,0.33884493,-0.16255331,0.36942223
2015-03-11,0.97393805,-0.12226537,0.6652094
2015-03-12,0.04849858,-0.22933456,0.2586114
2015-03-13,0.16996384,-0.22831753,0.3103051
2015-03-16,0.032588415,-0.26226267,0.26702997
2015-03-17,0.037302822,-0.24833015,0.24495867
2015-03-18,0.06676085,-0.23591939,0.23230302
2015-03-19,2.3004732,-0.039140314,1.2224877
2015-03-20,0.05762881,-0.26642606,0.16008514
2015-03-23,-0.7485675,-0.2586439,-0.20570207
2015-03-24,0.25671145,-0.26855347,0.29344568
2015-03-25,0.09775176,-0.29155442,0.22296077
2015-03-26,-0.37980342,-0.26326975,-0.048405662
2015-03-27,-0.6577992,-0.26158556,-0.13653488
2015-03-30,0.02983132,-0.28946742,0.24719933
2015-03-31,0.044688098,-0.27654693,0.2307711
2015-04-01,-0.4637761,-0.29329112,0.047379315
2015-04-02,-0.8466076,-0.23470876,-0.20163202
2015-04-03,-0.3344583,-0.24366757,0.042877585
2015-04-06,0.7234748,-0.20260641,0.5268971
2015-04-07,0.06819438,-0.2825456,0.23744261
2015-04-08,0.10228456,-0.2621307,0.18875465
2015-04-09,-0.6236834,-0.19578472,-0.23645791
2015-04-10,-0.21116357,-0.22895339,0.010342449
2015-04-13,0.09316639,-0.24263892,0.18767396
2015-04-14,0.16591708,-0.24247089,0.21943027
2015-04-15,0.10957382,-0.2516661,0.19371074
2015-04-16,0.11262063,-0.25484118,0.19450828
2015-04-17,0.10607622,-0.2289606,0.14329818
2015-04-20,0.09524255,-0.2534131,0.19241884
2015-04-21,-1.4938862,-0.16063404,-0.49553967
2015-04-22,-0.73896223,-0.2012746,-0.08425729
2015-04-23,0.13949265,-0.24351582,0.3849207
2015-04-24,0.13371941,-0.24912813,0.38128135
2015-04-27,-0.24015404,-0.2705151,0.23124632
2015-05-04,-0.6374459,-0.25490353,0.07691899
2015-05-05,0.34636748,-0.25155148,0.5522224
2015-05-06,-0.4121905,-0.30997226,0.28404894
2015-05-07,0.19296011,-0.31355152,0.602625
2015-05-08,-0.95472795,-0.24078116,-0.0233673
2015-05-11,0.027030736,-0.28651735,0.5095496
2015-05-12,-0.46499676,-0.2621543,0.23490813
2015-05-13,0.50869673,-0.24201289,0.717394
2015-05-14,-0.5377716,-0.2631478,0.19558522
2015-05-15,-0.75434667,-0.2646053,0.1785796
2015-05-18,-0.34729898,-0.3000894,0.4541811
2015-05-19,-0.8995643,-0.20918134,0.11548969
2015-05-20,-0.7345393,-0.17107794,0.14759156
2015-05-21,-0.54660165,-0.12851098,0.19402832
2015-05-22,-0.7508029,-0.031066656,0.011261433
2015-05-25,-0.21272723,0.010984898,0.20649591
2015-05-26,-0.18376829,0.061247572,0.13528809
2015-05-27,-0.19364382,0.04787226,0.15906587
2015-05-28,-0.19439687,0.04765418,0.15893635
2015-05-29,-0.18159659,0.05968383,0.1320447
2015-06-01,0.1261126,0.020107955,0.3733953
2015-06-02,-0.43370378,0.0036693513,0.16019437
2015-06-03,0.5502253,0.04362735,0.58556235
2015-06-04,0.13365212,0.021537572,0.33470806
2015-06-05,-0.2817793,0.073872,0.04296896
2015-06-08,-0.18135701,0.14341713,-0.01894018
2015-06-09,-0.14931346,0.15958807,-0.037375703
2015-06-10,-0.45503217,0.14348182,-0.09382182
2015-06-11,-0.28287625,0.19625947,-0.09158367
2015-06-12,0.9049445,0.26985082,0.38873973
2015-06-15,0.32280612,0.1801132,0.16418743
2015-06-16,0.15367031,0.15389624,0.11742601
2015-06-17,0.1549752,0.13882528,0.14946476
2015-06-18,0.18977658,0.18776989,0.068938404
2015-06-19,0.23002535,0.23946531,-0.01581803
2015-06-22,0.5102657,0.2610288,0.087655425
2015-06-23,0.39116165,0.22236538,0.0672673
2015-06-24,0.2090687,0.2021832,-0.0154351145
2015-06-25,-0.16681276,0.18493284,-0.16890661
2015-06-26,0.18536755,0.18506984,0.0070536435
2015-06-29,0.67291915,0.1994425,0.25246462
2015-06-30,0.41753232,0.13808402,0.16976196
2015-07-01,0.15412839,0.109416485,0.050599247
2015-07-02,-0.22110377,0.15281096,-0.20781687
2015-07-03,0.62852687,0.18082574,0.190294
2015-07-06,0.6569719,0.18389559,0.16433147
2015-07-07,0.17275815,0.13305587,-0.050639153
2015-07-08,0.8903088,0.16990414,0.2938762
2015-07-09,0.9526536,0.1547474,0.31511655
2015-07-10,0.5264953,0.09314364,0.12574205
2015-07-13,0.6538036,0.0947561,0.17839396
2015-07-14,0.28730214,0.04675989,0.017020792
2015-07-15,0.111805186,0.023251325,-0.025627121
2015-07-16,0.8360768,0.07988033,0.28798875
2015-07-17,2.2883213,0.19320467,0.9479166
2015-07-20,-1.7829932,0.16724756,-1.0714722
2015-07-21,0.14638971,0.040272087,-0.12414707
2015-07-22,-0.18892159,0.025879562,-0.26655146
2015-07-23,0.30866694,0.033109516,-0.01758486
2015-07-24,-0.5266571,0.07128386,-0.47640175
2015-07-27,-0.6416097,0.091580704,-0.5319179
2015-07-28,0.1617513,0.067349434,-0.112267226
2015-07-29,-0.22217183,0.048362315,-0.2832297
2015-07-30,0.27821147,0.032313585,-0.0011531264
2015-07-31,-0.5751373,0.09413132,-0.49634552
2015-08-03,-1.247852,0.1559054,-0.6913483
2015-08-04,-0.6743719,0.075780705,-0.30404225
2015-08-05,-0.21943815,0.08748348,-0.12814918
2015-08-06,-0.35958767,0.076672465,-0.13534582
2015-08-07,0.13329925,0.07252219,0.079140216
2015-08-10,0.14793172,0.08120595,0.052568406
2015-08-11,-0.3391952,0.06676684,-0.12835047
2015-08-12,0.16234142,0.0714844,0.09196779
2015-08-13,-0.3470375,0.05598533,-0.100005925
2015-08-14,0.13346511,0.028191537,0.16988912
2015-08-17,0.6121215,0.05006534,0.37340948
2015-08-18,0.13931374,0.0043132603,0.13090733
2015-08-19,0.1525251,0.0011582673,0.13677302
2015-08-20,0.1394619,0.00082969666,0.13009995
2015-08-21,0.2640434,-0.009983659,0.21587673
2015-08-24,0.12995633,-0.07207468,0.24803528
2015-08-25,-0.30887866,-0.10982862,0.12569156
2015-08-26,-0.60247976,-0.040476948,-0.08572693
2015-08-27,-0.28786308,-0.03375694,0.050114244
2015-08-28,0.50224876,-0.00065016747,0.38374004
2015-08-31,0.49257463,-0.051299036,0.43555602
2015-09-01,0.3407194,-0.06558722,0.33614168
2015-09-03,0.4267785,-0.07721737,0.36785528
2015-09-04,0.1845164,-0.13346726,0.2886071
2015-09-07,0.087798275,-0.12885222,0.21266037
2015-09-08,0.15897551,-0.13180315,0.24394354
2015-09-09,0.19759753,-0.14693418,0.29026392
2015-09-10,-0.69797873,-0.15464875,-0.061209783
2015-09-11,0.11510713,-0.19211715,0.38235673
2015-09-14,-0.8554334,-0.19189814,-0.013414234
2015-09-15,-0.44893134,-0.2322456,0.26681498
2015-09-16,0.112244055,-0.231338,0.5422034
2015-09-17,-0.46875465,-0.2102342,0.22632438
2015-09-18,-0.7415781,-0.13419807,0.02805689
2015-09-21,-0.9201823,-0.022930115,-0.14291306
2015-09-22,0.32920557,-0.05728814,0.50413036
2015-09-23,0.5126058,-0.05739239,0.57934034
2015-09-24,0.32833806,-0.092520565,0.49572095
2015-09-25,0.06371442,-0.1092903,0.34638175
2015-09-28,0.08879194,-0.112686336,0.3584229
2015-09-29,-0.29013819,-0.14009032,0.23324695
2015-09-30,0.0512563,-0.120705575,0.3730751
2015-10-01,0.056224644,-0.1212385,0.3753712
2015-10-02,0.0642864,-0.12254053,0.37920198
2015-10-05,-0.4434343,-0.06934452,0.06433061
2015-10-06,-0.6988236,0.02602616,-0.15389457
2015-10-07,0.12105844,0.0060784817,0.26417264
2015-10-08,0.6231365,0.025882334,0.5102428
2015-10-09,0.1201687,-0.0373556,0.28894415
2015-10-12,0.9795942,0.01557526,0.6881759
2015-10-13,0.5537215,-0.07553396,0.52558327
2015-10-14,-0.37279463,-0.08482143,0.027561337
2015-10-15,-0.30997008,-0.098873824,0.09342858
2015-10-16,0.397945,-0.07559991,0.4282231
2015-10-19,1.0148917,-0.049643487,0.72096825
2015-10-20,0.07090801,-0.1542089,0.27388343
2015-10-21,0.045100927,-0.13797894,0.22858134
2015-10-22,0.055473864,-0.118440956,0.20489064
2015-10-23,0.04602819,-0.13229826,0.23031831
2015-10-26,-0.27559906,-0.097672015,-0.007037446
2015-10-27,0.7139476,-0.02827254,0.3858191
2015-10-28,-0.20954277,-0.11735681,-0.009850308
2015-10-29,0.09748321,-0.12125018,0.14424798
2015-10-30,0.09872333,-0.124466896,0.14368758
2015-11-02,0.47886896,-0.11075571,0.34250656
2015-11-03,1.6543995,0.020797879,0.7867248
2015-11-04,-0.2632593,-0.17336306,-0.04746379
2015-11-05,-0.6681902,-0.06495872,-0.38766822
2015-11-06,-0.6476422,-0.08341625,-0.29984426
2015-11-09,0.11053266,-0.08534494,0.058607697
2015-11-10,0.10821474,-0.102659136,0.09338549
2015-11-11,0.64368474,-0.07498762,0.36142346
2015-11-12,0.1802195,-0.13338193,0.15787613
2015-11-13,-0.27959234,-0.09401521,-0.14018932
2015-11-16,-1.178741,-0.0069657266,-0.54284567
2015-11-17,0.11736214,-0.062036306,0.080991566
2015-11-18,0.24146152,-0.06820348,0.1329954
2015-11-19,0.25745848,-0.07732707,0.13686809
2015-11-20,-0.20293678,-0.06507221,-0.12562376
2015-11-23,-0.121877596,-0.027528107,-0.15673259
2015-11-24,0.25057852,-0.029975116,0.023652524
2015-11-25,0.21246171,-0.039750785,0.004764974
2015-11-26,-0.52742857,-0.041610867,-0.29032823
2015-11-27,-0.18536739,-0.075309336,-0.070580885
2015-11-30,0.14681756,-0.07779041,0.094665945
2015-12-01,0.24357529,-0.07385942,0.13661629
2015-12-02,-0.17737539,-0.061320692,-0.10668552
2015-12-03,0.7394432,-0.023949504,0.3084381
2015-12-04,0.63624287,-0.053456306,0.2586889
2015-12-07,0.15160216,-0.14414921,0.078820795
2015-12-08,-0.19025232,-0.12735486,-0.1322176
2015-12-09,0.12515244,-0.14587411,0.064934164
2015-12-10,0.12913194,-0.14760518,0.066333205
2015-12-11,0.14347407,-0.1743688,0.1092858
2015-12-14,1.823567,-0.050080806,0.86721027
2015-12-15,-0.8469618,-0.15005893,-0.44676444
2015-12-16,-0.26923883,-0.19135132,-0.10396865
2015-12-17,-0.30538523,-0.1608809,-0.15925218
2015-12-18,0.31547987,-0.15712819,0.142495
2015-12-21,0.34449014,-0.1602458,0.1538184
2015-12-22,-0.7422641,-0.17340657,-0.31040132
2015-12-23,-0.8512476,-0.099041164,-0.43573916
2015-12-24,0.6716805,-0.08720294,0.3042921
2015-12-25,0.11966309,-0.16487673,0.099588126
2015-12-28,-0.25519234,-0.18199673,-0.050832525
2015-12-29,-0.2812171,-0.16652212,-0.10491887
