date,latent_0,latent_1,latent_2
2018-04-05,-0.33983785,0.3737693,0.04981655
2018-04-06,-0.3514833,0.5761577,-0.34143388
2018-04-09,-0.3605439,0.36357877,0.03626871
2018-04-10,-0.3764177,-0.020500958,0.44456664
2018-04-11,-0.3680991,0.20777072,0.07848656
2018-04-12,-0.3127784,-0.014198601,0.81119806
2018-04-13,-0.32417923,0.38588315,0.06630683
2018-04-16,-0.32748252,0.3874374,0.065903544
2018-04-17,-0.3424049,0.44500607,-0.029333234
2018-04-18,-0.3542717,0.47531578,-0.076870084
2018-04-19,-0.25282556,1.140187,-1.1873362
2018-04-20,-0.3614325,-0.8389773,1.88953
2018-04-23,-0.35744047,0.15768471,0.007679999
2018-04-24,-0.39033437,0.37661105,-0.3618858
2018-04-26,-0.37625068,0.16680859,0.096882045
2018-04-27,-0.34450972,0.57402444,-0.25152397
2018-05-02,-0.3396182,0.64524555,-0.37652355
2018-05-03,-0.35975057,0.35728857,0.05126196
2018-05-04,-0.37213135,0.41330296,-0.042972505
2018-05-07,-0.25386316,2.1260297,-3.0903172
2018-05-08,-0.4211461,0.38734186,0.121281385
2018-05-09,-0.42648,0.45680657,-0.003751278
2018-05-10,-0.43682784,0.036695898,0.5381851
2018-05-11,-0.3814441,0.29152328,0.43998325
2018-05-14,-0.39448678,-0.37065685,1.2815919
2018-05-15,-0.35994393,0.7819204,-0.8798954
2018-05-16,-0.4129827,0.2892968,0.04726821
2018-05-17,-0.39245635,0.26168177,0.24916404
2018-05-18,-0.3800059,0.33321023,0.29397145
2018-05-21,-0.38129002,0.46121877,0.054478526
2018-05-22,-0.3599953,0.46574804,0.19375405
2018-05-23,-0.25716764,2.2163959,-3.0936043
2018-05-24,-0.4288798,0.5033145,0.11466846
2018-05-25,-0.43918854,0.5511077,0.033940017
2018-05-28,-0.44608444,0.5731174,-0.0015413165
2018-05-29,-0.28859204,1.6288676,-1.9080918
2018-05-30,-0.48297065,0.5756145,0.014609218
2018-05-31,-0.4786834,0.6687628,-0.14740682
2018-06-01,-0.48796946,0.5171872,0.07958937
2018-06-04,-0.459464,0.81011254,-0.44297534
2018-06-05,-0.50733536,0.34561467,0.2528015
2018-06-06,-0.4145897,-0.68412304,2.6506858
2018-06-07,-0.42648202,0.27027977,0.5090331
2018-06-08,-0.30342764,1.4186677,-1.6352923
2018-06-11,-0.38647437,0.903629,-0.31182224
2018-06-12,-0.4211371,0.7407929,-0.016731739
2018-06-13,-0.3985753,0.6622762,0.28180096
2018-06-14,-0.37424058,-0.949646,2.6145113
2018-06-15,-0.32600927,0.3487273,0.43616349
2018-06-18,-0.31146026,0.5391348,0.19559908
2018-06-19,-0.3324098,0.6873589,-0.05701512
2018-06-20,-0.31417257,0.6044467,0.16812798
2018-06-21,-0.25756347,0.30221385,1.0281701
2018-06-22,-0.25659853,-0.72448707,2.277946
2018-06-25,-0.25968266,0.3167653,0.17745557
2018-06-26,-0.27189487,0.36508974,0.09611681
2018-06-27,-0.27476662,0.36644125,0.095766395
2018-06-28,-0.17649156,0.011102855,1.2669775
2018-06-29,-0.1416828,0.61810994,0.3639853
2018-07-02,-0.16841137,0.6765463,0.22798634
2018-07-03,-0.18146533,-0.15617514,1.199096
2018-07-04,-0.16334265,0.8725177,-0.6832425
2018-07-05,-0.2503758,0.48577902,-0.16553336
2018-07-06,-0.16957337,0.22119771,0.6959506
2018-07-09,-0.16542357,0.83958006,-0.42450613
2018-07-10,-0.19091165,0.5076525,0.16841128
2018-07-11,-0.20655388,0.57984346,0.046571672
2018-07-12,-0.07587582,1.5893056,-1.7585046
2018-07-13,-0.2767461,0.6139397,-0.1386295
2018-07-16,-0.28333604,0.25208938,0.27878702
2018-07-17,-0.28485298,0.35702294,0.08266556
2018-07-18,-0.23469454,0.14903349,0.87063754
2018-07-19,-0.20172459,0.99237555,-0.6667082
2018-07-20,-0.21680385,1.084713,-1.2126694
2018-07-23,-0.25209945,0.14403829,0.88614506
2018-07-24,-0.25858873,0.54785424,0.13022465
2018-07-25,-0.27162105,-0.08389032,0.90530396
2018-07-26,-0.17797709,1.2331748,-1.4890637
2018-07-27,-0.3048702,0.63640845,-0.39828938
2018-07-30,-0.32872194,0.32763502,0.06979972
2018-07-31,-0.22300607,1.2845982,-1.7990675
2018-08-01,-0.39596874,0.11847992,0.15848166
2018-08-02,-0.3052094,-0.43368596,1.661511
2018-08-03,-0.1930427,-0.019093812,1.4986949
2018-08-06,-0.19735277,0.6816897,0.18106014
2018-08-07,-0.20069164,-0.59333223,1.9004021
2018-08-08,-0.12789905,0.18184805,0.82887137
2018-08-09,-0.1272915,0.5204602,0.19002876
2018-08-10,-0.099642515,0.5964603,0.28156558
2018-08-13,-0.124192536,0.39291483,0.3363065
2018-08-14,-0.13561189,-0.46997577,1.3295889
2018-08-15,-0.14563835,0.5142445,-0.48199397
2018-08-16,-0.15101969,0.17945841,0.11293402
2018-08-17,-0.15227723,0.48281646,-0.22311783
2018-08-20,-0.16055477,-0.48711395,0.89223
2018-08-21,-0.12004775,-0.09167729,0.38506168
2018-08-22,-0.14845419,-0.3625943,0.38526863
2018-08-23,-0.08575243,-0.2958054,0.6107273
2018-08-24,-0.0792225,-0.014768541,0.12219688
2018-08-27,-0.07572669,0.010870226,0.11784589
2018-08-28,-0.09103888,-0.726001,0.8980743
2018-08-29,-0.053903818,-0.27254316,0.3305694
2018-08-30,-0.07008767,0.25233245,-0.36651623
2018-08-31,-0.119681954,-0.15960574,-0.2256211
2018-09-04,-0.0033066273,-0.6135454,1.1121578
2018-09-05,-0.021408975,0.37389523,-0.68986195
2018-09-06,-0.06393629,-0.5836818,0.43626428
2018-09-07,0.02886194,-0.64210993,1.0652931
2018-09-10,0.0060047507,-0.59902585,0.41601747
2018-09-11,-0.010671914,-0.3634107,-0.011558473
2018-09-12,0.07507241,-0.29623953,0.382291
2018-09-13,0.07441515,-0.17507732,0.15389442
2018-09-14,0.10416037,-0.13232487,0.3197815
2018-09-17,0.14251035,0.016083568,0.40776086
2018-09-18,0.0900839,-0.20755517,0.15978912
2018-09-19,0.066476166,-0.10672413,-0.0096465945
2018-09-20,0.11478016,0.10533446,0.0408144
2018-09-21,0.08561197,0.16625473,-0.096817195
2018-09-24,0.088991284,-0.55661845,0.71957314
2018-09-25,0.09250498,-0.23152989,0.14304906
2018-09-26,0.14508271,0.09004331,0.13110691
2018-09-27,0.22303084,0.14524259,0.49518096
2018-09-28,0.28977358,0.33880207,0.62966955
2018-10-01,0.29840815,1.0819137,-0.71144134
2018-10-02,0.224253,0.8012005,-0.19104362
2018-10-03,0.20415777,-0.34752184,1.2167294
2018-10-04,0.21104175,0.7832166,-0.8389148
2018-10-05,0.13597417,0.5313854,-0.44244617
2018-10-08,0.1812169,0.8091835,-0.5493491
2018-10-09,0.14561236,0.35504648,0.2661932
2018-10-10,0.1527546,0.80189645,-0.52207834
2018-10-11,0.11401802,0.37265426,0.2516446
2018-10-12,0.08967519,-0.010595292,0.5631286
2018-10-15,0.058199167,0.41744146,-0.2066459
2018-10-16,0.13688332,1.0942953,-1.4098666
2018-10-17,-0.0017258525,-0.3231426,0.7693461
2018-10-18,-0.0014926195,0.47098494,-0.6731238
2018-10-19,-0.04257387,-0.10568008,0.19907385
2018-10-22,0.0012364984,0.6746651,-1.1957796
2018-10-23,-0.084076166,-1.2019176,1.6354241
2018-10-24,-0.020066798,-0.045098305,-0.007833898
2018-10-25,0.0017746687,0.4608434,-0.907584
2018-10-26,-0.0030001998,0.65979004,-1.2458942
2018-10-29,-0.11857891,-0.996364,1.2203345
2018-10-30,-0.012470722,-0.8668272,1.441635
2018-10-31,0.016876996,0.41961595,-0.5979349
2018-11-01,-0.023902774,-0.8361102,1.1268623
2018-11-02,0.09223354,-0.65521234,1.3367679
