date,latent_0,latent_1,latent_2
2015-12-30,-1.8735275,0.5263262,-0.3698746
2015-12-31,0.10437724,-0.26070446,0.051948756
2016-01-04,0.3988443,-0.3777076,0.10562395
2016-01-05,0.6540706,-0.47752157,0.14097875
2016-01-06,-0.08114686,-0.168863,-0.025036484
2016-01-07,-0.07921299,-0.17017537,-0.033199415
2016-01-08,0.06510356,-0.23948711,-0.012437463
2016-01-11,-0.11120817,-0.15746796,-0.05360511
2016-01-12,-0.078009024,-0.16831088,-0.04063116
2016-01-13,-0.11156535,-0.15736264,-0.05369413
2016-01-14,-0.07503747,-0.17069942,-0.05295697
2016-01-15,0.20236611,-0.29419276,-0.005847141
2016-01-18,1.1139238,-0.65241104,0.17884701
2016-01-19,0.6246488,-0.44569543,0.085797474
2016-01-20,-0.28210884,-0.0642351,-0.1348494
2016-01-21,-0.05264762,-0.16528937,-0.097251564
2016-01-22,0.072901905,-0.22813115,-0.059424818
2016-01-25,1.7636576,-0.7813702,0.4124298
2016-01-26,0.068072855,-0.18110341,0.006813891
2016-01-27,0.0064660907,-0.15142024,0.006660871
2016-01-28,0.011481822,-0.15372193,-0.009272754
2016-01-29,9.968877e-05,-0.14673217,-0.0026660413
2016-02-01,-0.028208181,-0.13464051,-0.014141262
2016-02-02,-0.17475128,-0.08375878,-0.05636832
2016-02-03,-0.029036015,-0.13788322,-0.023403838
2016-02-04,-0.02934745,-0.137823,-0.023469731
2016-02-05,-0.028349921,-0.13985488,-0.027932256
2016-02-15,0.1157392,-0.2040421,-0.02161716
2016-02-16,-0.009924471,-0.15151557,-0.01885894
2016-02-17,-0.01319091,-0.15073669,-0.012051016
2016-02-18,-0.014453068,-0.14906669,0.008315735
2016-02-19,-0.08045049,-0.12156571,0.0046400353
2016-02-22,-0.49302107,0.041718327,-0.0640254
2016-02-23,-0.17155144,-0.09919115,-0.0023224577
2016-02-24,-0.04521954,-0.145872,0.02630926
2016-02-25,-0.048640296,-0.1439889,0.037575573
2016-02-26,-0.055662796,-0.13928887,0.066512324
2016-02-29,-2.4965029,0.7447295,-0.48957574
2016-03-01,-0.9374885,0.14217094,-0.143781
2016-03-02,-0.25781322,-0.11905474,0.012644514
2016-03-03,-0.6708953,0.033114754,-0.08325225
2016-03-04,-0.2121008,-0.14341113,0.020657398
2016-03-07,-0.097525045,-0.18835881,0.04645925
2016-03-08,-0.09638927,-0.18979487,0.04197672
2016-03-09,-0.095320106,-0.19079623,0.03749591
2016-03-10,-0.008568242,-0.23360685,0.061970845
2016-03-11,-0.09555259,-0.19097777,0.04195205
2016-03-14,-2.5041318,0.7208822,-0.48518538
2016-03-15,-0.105211064,-0.1972588,0.037457228
2016-03-16,-0.0063744634,-0.24733034,0.06457422
2016-03-17,-0.4293756,-0.07520924,-0.03092131
2016-03-18,0.024398282,-0.26046464,0.08212848
2016-03-21,-0.15170991,-0.17719871,0.037587784
2016-03-22,-0.107992925,-0.19704345,0.05111581
2016-03-23,-0.13984278,-0.18084684,0.051793233
2016-03-24,-0.23175114,-0.15099806,0.026389405
2016-03-25,-0.019659162,-0.23689187,0.084606916
2016-03-28,0.58463544,-0.48133048,0.25401187
2016-03-29,1.1848421,-0.71403027,0.4235136
2016-03-30,-0.15833002,-0.1595476,0.10156721
2016-03-31,0.48638725,-0.42961064,0.25222117
2016-04-01,0.14256454,-0.28870794,0.17964739
2016-04-04,-0.15950102,-0.1542634,0.11189275
2016-04-05,0.9415466,-0.6026191,0.40195292
2016-04-06,0.04223506,-0.23833233,0.18739083
2016-04-07,-0.11575141,-0.16501349,0.1502946
2016-04-08,0.27629223,-0.33104572,0.22952941
2016-04-11,0.07570803,-0.24918935,0.17234802
2016-04-12,-0.1065035,-0.16645777,0.12485637
2016-04-13,-0.10674925,-0.16593435,0.12496303
2016-04-14,-0.10661937,-0.16623178,0.124968514
2016-04-15,-0.10727243,-0.1669089,0.12941143
2016-04-19,0.5727472,-0.4490201,0.2673119
2016-04-20,-0.034674987,-0.20168781,0.13352473
2016-04-21,-0.009229913,-0.2119838,0.15339042
2016-04-22,-0.029688835,-0.20133856,0.1632728
2016-04-25,-0.003088981,-0.2120964,0.16006634
2016-04-26,-0.28175145,-0.12542042,0.09584857
2016-04-27,-0.51670367,-0.04312984,0.033446282
2016-04-28,-0.07604559,-0.20419237,0.14093341
2016-04-29,-0.35058177,-0.11178962,0.068160236
2016-05-04,-0.098993644,-0.19596455,0.12530926
2016-05-05,-0.07376531,-0.21048406,0.1364534
2016-05-06,-1.1227036,0.17809239,-0.09643954
2016-05-09,-0.3464533,-0.12161694,0.057111785
2016-05-10,-0.107220754,-0.2052891,0.11761135
2016-05-11,-0.36159348,-0.11811603,0.053142965
2016-05-12,-0.18904044,-0.18527935,0.08802481
2016-05-13,-0.0071558356,-0.25731838,0.12892035
2016-05-16,-0.10303448,-0.20820132,0.105461925
2016-05-17,-0.10305829,-0.20858058,0.1053833
2016-05-18,-0.103425264,-0.21200165,0.09857061
2016-05-19,-1.4242225,0.27657047,-0.2002849
2016-05-20,-0.32434607,-0.14681163,0.03297539
2016-05-23,-0.8183469,0.039032362,-0.07988769
2016-05-24,-0.94738835,0.085391305,-0.10411972
2016-05-25,-0.29555804,-0.16553319,0.03689769
2016-05-26,1.6809087,-0.94165623,0.47719547
2016-05-27,-0.09709114,-0.21630216,0.06053096
2016-05-30,0.008423865,-0.2664151,0.09377025
2016-05-31,-0.09616326,-0.211943,0.068853594
2016-06-01,-0.13562144,-0.20193458,0.055938274
2016-06-02,-0.09437238,-0.21404839,0.05850733
2016-06-03,-0.41442937,-0.10700015,-0.02355358
2016-06-06,-0.31208402,-0.1479818,-0.0065740645
2016-06-07,0.003833726,-0.26820365,0.08166518
2016-06-08,-0.096015796,-0.21556786,0.057598084
2016-06-09,-0.030381769,-0.25366715,0.06433054
2016-06-10,-0.17086628,-0.19296849,0.025533542
2016-06-13,-0.03233309,-0.25304496,0.05451887
2016-06-14,-0.091326244,-0.21771151,0.039893143
2016-06-15,-0.090181366,-0.21837473,0.035483763
2016-06-16,-0.09024544,-0.21850666,0.0353743
2016-06-17,-0.08908974,-0.21900702,0.030999549
2016-06-20,0.21443275,-0.35218167,0.113122284
2016-06-21,-0.09054747,-0.21438533,0.046015523
2016-06-22,-0.031175673,-0.2508197,0.05059568
2016-06-23,-2.5163684,0.6874244,-0.49678385
2016-06-24,1.6049204,-0.91932476,0.42305505
2016-06-27,-0.08743662,-0.22698024,0.008599378
2016-06-28,-0.086003,-0.22468251,0.010973252
2016-06-29,0.2314364,-0.36326322,0.09676235
2016-06-30,-0.08854112,-0.22165307,0.025304481
2016-07-01,0.14023823,-0.32645988,0.09030206
2016-07-04,-0.09048303,-0.22579321,0.03303203
2016-07-05,0.25675988,-0.36995736,0.14196697
2016-07-06,0.071618944,-0.29321867,0.108475104
2016-07-07,-0.20383984,-0.18831235,0.036486484
2016-07-08,0.07751101,-0.2954571,0.10434375
2016-07-11,-0.09030476,-0.21583581,0.054859772
2016-07-12,-0.053777575,-0.23656824,0.06973502
2016-07-13,-0.03310038,-0.24725088,0.08436048
2016-07-14,-0.044657156,-0.24344605,0.07643956
2016-07-15,-0.08800016,-0.21760753,0.060170986
2016-07-18,1.6869295,-0.90401185,0.5158532
2016-07-19,-0.059789374,-0.21131274,0.112803474
2016-07-20,-0.16005282,-0.16881025,0.08076595
2016-07-21,0.18672147,-0.30899924,0.19532838
2016-07-22,-0.69590706,0.029953502,-0.02336061
2016-07-25,-0.18624781,-0.15943702,0.10608122
2016-07-26,0.028571665,-0.24822724,0.15211402
2016-07-27,-0.09610929,-0.18892704,0.12802501
2016-07-28,-0.05193107,-0.21353984,0.13383679
2016-07-29,0.107818365,-0.2782541,0.17018314
2016-08-01,-0.061062105,-0.20659956,0.12679829
2016-08-02,-0.038304627,-0.21761313,0.11587473
2016-08-03,-0.120074786,-0.1783036,0.09975721
2016-08-04,-0.06852937,-0.19976607,0.12280864
2016-08-05,-0.18069199,-0.15516555,0.09877231
2016-08-08,-0.18496235,-0.15638715,0.10074341
2016-08-09,-0.083745345,-0.1931,0.13459608
2016-08-10,-0.096346095,-0.18837404,0.12919375
2016-08-11,-0.07588063,-0.19621718,0.14605935
2016-08-12,0.04396741,-0.25077352,0.15907505
2016-08-15,-2.5216732,0.721195,-0.40429056
2016-08-16,-0.10624592,-0.19536635,0.12560159
2016-08-17,-0.10653283,-0.19626848,0.12350227
2016-08-18,-1.3432002,0.25671688,-0.15223026
2016-08-19,-0.29798496,-0.1454311,0.07395646
2016-08-22,0.5746707,-0.4843831,0.3117367
2016-08-23,1.6835194,-0.88296044,0.56190044
2016-08-24,0.20391977,-0.31033316,0.22743781
2016-08-25,0.045896977,-0.24563435,0.17608407
2016-08-26,-0.39947474,-0.07115177,0.07266869
2016-08-29,-0.101245984,-0.18045262,0.14173038
2016-08-30,-0.057308987,-0.20072113,0.16635282
2016-08-31,1.7066922,-0.8233926,0.5673634
2016-09-01,-0.04015948,-0.17149416,0.17125109
2016-09-05,-0.06002485,-0.15919977,0.17239809
2016-09-06,0.7500773,-0.47179332,0.36746848
2016-09-07,-0.05253479,-0.14318724,0.17786568
2016-09-08,-0.0809232,-0.12946975,0.16832465
2016-09-09,0.00014331937,-0.16673958,0.18095365
2016-09-12,-0.2646441,-0.057358094,0.124874555
2016-09-13,-0.056741446,-0.14072216,0.17582013
2016-09-14,-0.081935994,-0.12957776,0.16596907
2016-09-15,0.02375117,-0.17806396,0.17734727
2016-09-16,0.09225148,-0.20381346,0.17758244
2016-09-19,-0.028573588,-0.15343857,0.14100923
2016-09-20,0.31014243,-0.28615856,0.18788926
2016-09-21,-0.3560124,-0.010288633,0.053862914
2016-09-22,-0.04556948,-0.13754365,0.14778721
2016-09-23,-0.17382134,-0.085512385,0.1317035
2016-09-26,-0.069840126,-0.124196485,0.16259082
2016-09-27,-0.052923992,-0.13191596,0.16164759
2016-09-28,-0.17040312,-0.08659371,0.13328412
2016-09-29,-1.715231,0.49182895,-0.21713209
2016-09-30,-0.08499388,-0.13963604,0.13279426
2016-10-03,-0.15947266,-0.11221578,0.10980966
2016-10-04,-2.5128832,0.7678678,-0.41182268
2016-10-05,-0.09944275,-0.16012561,0.1063941
2016-10-06,-0.15725744,-0.13871598,0.0921261
2016-10-07,-0.015882492,-0.20459998,0.11234727
2016-10-10,0.62318265,-0.45637557,0.23169827
2016-10-11,-0.14395016,-0.14183673,0.05335477
2016-10-12,-0.012974262,-0.19906425,0.07108889
2016-10-13,-0.08064386,-0.1684335,0.051814884
2016-10-14,0.0946444,-0.24494696,0.109629944
2016-10-17,-0.014551982,-0.19660136,0.07119988
2016-10-18,-0.9470431,0.1642535,-0.13179916
2016-10-19,-0.3719862,-0.059093453,-0.003925979
2016-10-20,-1.0825884,0.20593086,-0.16833133
2016-10-21,-0.67462295,0.04498305,-0.09001213
2016-10-24,0.05056095,-0.24765843,0.08263375
2016-10-25,0.00027762353,-0.22640637,0.07491052
2016-10-26,0.24870113,-0.3232708,0.14790326
2016-10-27,-0.09510952,-0.17534006,0.07061275
2016-10-28,0.026264653,-0.23174289,0.10735159
2016-10-31,0.25845405,-0.320591,0.18073161
2016-11-01,-0.03515598,-0.19365841,0.10322973
2016-11-02,-0.0067924857,-0.21315363,0.0964455
2016-11-03,0.119182765,-0.26286286,0.10960821
2016-11-04,-0.15416113,-0.14533412,0.040380307
2016-11-07,-1.3788476,0.3199201,-0.21569681
2016-11-08,0.05757408,-0.24482128,0.11450094
2016-11-09,0.2714468,-0.32877374,0.14491814
2016-11-10,0.49815387,-0.41190475,0.22645247
2016-11-11,-0.29503518,-0.083673395,0.03949517
2016-11-14,-0.2134971,-0.11657859,0.051957786
2016-11-15,-0.023676202,-0.19799154,0.105258256
2016-11-16,0.103089094,-0.25526702,0.15299624
2016-11-17,-0.15126215,-0.14524004,0.08816753
2016-11-18,-0.015434399,-0.20871523,0.10785055
2016-11-21,-0.11574798,-0.16011938,0.088457026
2016-11-22,0.07916501,-0.24431494,0.15169334
2016-11-23,-0.09706482,-0.16524267,0.101678185
2016-11-24,-0.09522766,-0.1770108,0.10159896
2016-11-25,-0.09458919,-0.17890257,0.10122332
2016-11-28,-0.17183882,-0.1512,0.066083595
2016-11-29,-0.093563855,-0.19008553,0.09712302
2016-11-30,-0.09980373,-0.18479474,0.107168294
2016-12-01,-0.5390987,-0.026995577,0.0069515705
2016-12-02,-0.03796704,-0.22201255,0.11781736
2016-12-05,-0.17191169,-0.16183013,0.07864556
2016-12-06,-0.1793735,-0.16515544,0.07292
2016-12-07,-0.89679354,0.103173874,-0.077791035
2016-12-08,-1.3907061,0.28521922,-0.18298918
2016-12-09,0.19407663,-0.33018252,0.16468276
2016-12-12,0.14125052,-0.3080021,0.13922319
2016-12-13,0.6398081,-0.50710744,0.23363467
2016-12-14,-0.47928804,-0.06375221,-0.027086511
2016-12-15,-0.09223263,-0.20573592,0.06349521
2016-12-16,-0.2123591,-0.17204922,0.021145433
2016-12-19,-0.091575325,-0.20948535,0.05515769
2016-12-20,-0.17644584,-0.18646485,0.003338091
2016-12-21,-0.089454755,-0.20950615,0.04516913
2016-12-22,-0.088508666,-0.2104935,0.04089483
2016-12-23,-0.08950731,-0.20975539,0.045210965
2016-12-26,-0.16441002,-0.18253884,0.027143307
2016-12-27,-0.19209203,-0.18107396,0.01885973
2016-12-28,-0.54926354,-0.046290673,-0.055024326
2016-12-29,-0.1753343,-0.18754163,0.027913384
2016-12-30,0.21754381,-0.34577808,0.13830626
2017-01-03,0.5953769,-0.49439055,0.24717574
2017-01-04,-0.09637377,-0.20455608,0.08340838
2017-01-05,-0.094463505,-0.20458615,0.07846079
2017-01-06,-0.16966708,-0.18024689,0.05217205
2017-01-09,-0.10297079,-0.20803088,0.07240817
2017-01-10,-0.25456053,-0.15991,0.026450507
2017-01-11,-1.2452893,0.21488383,-0.18089664
2017-01-12,-0.09999147,-0.21326849,0.06883967
2017-01-13,-0.09808126,-0.21214053,0.06644056
2017-01-16,0.0032989383,-0.26593345,0.081511594
2017-01-17,-0.16678652,-0.19097173,0.04185003
2017-01-18,-1.3262999,0.23852327,-0.22703171
2017-01-19,0.3358385,-0.40555513,0.14296848
2017-01-20,-0.18497357,-0.19859332,0.012216166
2017-01-23,0.10891476,-0.3140082,0.083887696
2017-01-24,-0.04209526,-0.24851605,0.04448606
2017-01-25,-0.16258451,-0.19875737,0.0107361525
2017-02-02,-0.09305176,-0.22113511,0.035349436
2017-02-03,-0.09319727,-0.22248375,0.034980386
2017-02-06,0.46410835,-0.45401162,0.18707258
2017-02-07,-1.0689371,0.13839272,-0.16936737
2017-02-08,-0.09824011,-0.22108832,0.050781272
2017-02-09,-0.099947214,-0.22621524,0.04780209
2017-02-10,-0.049050197,-0.24873221,0.06805205
2017-02-13,-0.05355002,-0.24597809,0.07059111
2017-02-14,-0.052639157,-0.2462546,0.065325275
2017-02-15,-0.36892492,-0.13863668,-0.02177015
2017-02-16,-0.0987412,-0.23274302,0.038884297
2017-02-17,0.046284407,-0.29840326,0.06804393
2017-02-20,-0.21723992,-0.20005849,-0.0049965233
2017-02-21,-0.14860341,-0.21526733,0.021095008
