date,latent_0,latent_1,latent_2
2014-09-24,-0.06379162,-0.20216978,-0.18581477
2014-09-25,0.16986689,-0.21468642,-0.042592302
2014-09-26,0.20326118,-0.2091808,-0.04085104
2014-09-29,-0.062242106,-0.21826383,-0.15901658
2014-09-30,0.8704145,-0.16305196,0.2752634
2014-10-01,0.3470624,-0.20654163,0.0038451105
2014-10-02,-0.34947616,-0.177807,-0.3816539
2014-10-03,-0.059225842,-0.198998,-0.21662441
2014-10-06,-0.0813963,-0.18797463,-0.25831142
2014-10-07,-0.043745413,-0.19579092,-0.22464554
2014-10-08,0.20669177,-0.19767186,-0.100458205
2014-10-09,-0.035838768,-0.2018542,-0.2225033
2014-10-10,-0.019964889,-0.22219655,-0.21985236
2014-10-13,-0.016758785,-0.22553447,-0.21905543
2014-10-14,-0.0908287,-0.207383,-0.28518167
2014-10-15,2.2242486,0.008108288,0.70718205
2014-10-16,0.43910354,-0.21275827,-0.058882907
2014-10-17,-0.01028575,-0.23819628,-0.2695412
2014-10-20,0.24917702,-0.23182693,-0.15606025
2014-10-21,-0.107486054,-0.22650662,-0.33220208
2014-10-22,0.34552366,-0.22192308,-0.11441401
2014-10-23,0.52565455,-0.21189156,-0.023549944
2014-10-24,0.09958163,-0.2432442,-0.23146704
2014-10-27,0.35474294,-0.23125985,-0.11274119
2014-10-28,0.21184745,-0.25395253,-0.16263682
2014-10-29,0.6324271,-0.20602015,0.0068440437
2014-10-30,0.24639852,-0.26456502,-0.13530655
2014-10-31,0.33683133,-0.2504557,-0.10960302
2014-11-03,-0.61812574,-0.21271887,-0.60306656
2014-11-04,-0.06268224,-0.23763797,-0.31069756
2014-11-05,0.19760185,-0.24014184,-0.18113422
2014-11-06,-0.12635748,-0.2388567,-0.3306353
2014-11-07,0.19516765,-0.245123,-0.16938731
2014-11-10,-0.1204422,-0.24507484,-0.3144644
2014-11-11,0.2721892,-0.24569824,-0.12166385
2014-11-12,1.3060793,-0.1339347,0.31335744
2014-11-13,0.19089517,-0.26836893,-0.16187842
2014-11-14,0.14731236,-0.2733653,-0.2003452
2014-11-17,-0.105260745,-0.27943483,-0.3153807
2014-11-18,0.43136483,-0.26277718,-0.061584204
2014-11-19,0.20310365,-0.2883698,-0.16217807
2014-11-20,0.29310438,-0.28342924,-0.123002306
2014-11-21,-0.13345246,-0.2714658,-0.3578845
2014-11-24,-0.7809827,-0.22396544,-0.6932888
2014-11-25,-1.5104516,-0.16294435,-1.0628316
2014-11-26,-0.39097488,-0.2223117,-0.44360083
2014-11-27,0.4503922,-0.21950516,-0.03378479
2014-11-28,-0.25060838,-0.24124894,-0.34391338
2014-12-01,0.6154644,-0.21889088,0.07471421
