date,latent_0,latent_1,latent_2
2017-07-17,0.44241822,-0.091489844,1.8702875
2017-07-18,0.868306,-0.37825853,1.6481637
2017-07-19,0.4061597,-0.12343495,1.7842005
2017-07-20,0.2310692,0.092117496,2.0320199
2017-07-21,0.41270894,-0.027218722,1.9709758
2017-07-24,0.47781253,-0.068791054,1.9479915
2017-07-25,0.4300052,-0.022176377,1.9950731
2017-07-26,0.8548797,-0.3084249,1.7794441
2017-07-27,0.45663208,-0.08883449,1.8966718
2017-07-28,0.45663208,-0.08883449,1.8966718
2017-07-31,0.9043459,-0.38900512,1.6655757
2017-08-01,0.9644082,-0.48122764,1.5377846
2017-08-02,0.92306906,-0.5118031,1.4505256
2017-08-03,0.39233303,-0.22392306,1.5978782
2017-08-04,1.121671,-0.69334674,1.2578619
2017-08-07,0.3033359,-0.24313706,1.4968581
2017-08-08,0.936768,-0.6409251,1.2200111
2017-08-09,0.25603068,-0.2655724,1.4203919
2017-08-10,0.25603068,-0.2655724,1.4203919
2017-08-11,0.25603068,-0.2655724,1.4203919
2017-08-14,0.25603068,-0.2655724,1.4203919
2017-08-15,0.25603068,-0.2655724,1.4203919
2017-08-16,0.25603068,-0.2655724,1.4203919
2017-08-17,1.64357,-1.1172632,0.8505967
2017-08-18,0.5984418,-0.56231546,1.1185075
2017-08-21,0.18067583,-0.33196297,1.2414805
2017-08-22,1.3557389,-0.9933812,0.8003991
2017-08-23,0.16410592,-0.2963799,1.1558431
2017-08-24,-0.9343657,0.50696194,2.1021254
2017-08-25,0.21555215,-0.3012355,1.3242856
2017-08-28,0.21555215,-0.3012355,1.3242856
2017-08-29,0.66920614,0.5096204,0.9640611
2017-08-30,0.1912213,-0.1331425,0.90170175
2017-08-31,2.2571337,-1.3758435,0.10062291
2017-09-01,0.124129325,-0.17970866,0.7308348
2017-09-05,0.096102476,-0.20771495,0.6827529
2017-09-06,0.096102476,-0.20771495,0.6827529
2017-09-07,0.095751464,-0.2078821,0.68202555
2017-09-08,0.07788305,-0.21639434,0.64499664
2017-09-11,0.06119226,-0.22434556,0.610408
2017-09-12,0.06119226,-0.22434556,0.610408
2017-09-13,0.041787967,-0.23358941,0.57019645
2017-09-14,0.041787967,-0.23358941,0.57019645
2017-09-15,0.041787967,-0.23358941,0.57019645
2017-09-18,0.041787967,-0.23358941,0.57019645
2017-09-19,0.041787967,-0.23358941,0.57019645
2017-09-20,0.041787967,-0.23358941,0.57019645
2017-09-21,0.021833122,-0.24309564,0.5288437
2017-09-22,2.5720248,-1.1671681,-0.8095047
2017-09-25,0.6459279,1.0103383,-0.7218454
2017-09-26,0.818962,1.2807546,-0.9828879
2017-09-27,0.71395594,1.1359286,-0.90359735
2017-09-28,0.6274424,1.0166079,-0.8382705
2017-09-29,0.53244644,0.88558805,-0.76653856
2017-10-02,0.42864764,0.742149,-0.68005383
2017-10-03,-0.338668,1.5741384,0.022473823
2017-10-04,-1.0675745,0.85068107,1.1607537
2017-10-05,0.10682717,-0.01732894,0.39872506
2017-10-06,0.10682717,-0.01732894,0.39872506
2017-10-09,-0.03717815,0.23937663,0.53411514
2017-10-10,0.18100125,0.08667032,0.43081015
2017-10-11,0.13389698,0.08078477,0.45426
2017-10-12,0.16808486,0.061933868,0.44419646
2017-10-13,0.13504523,0.04619441,0.375728
2017-10-16,0.12744978,0.042576045,0.35998785
2017-10-17,0.12744978,0.042576045,0.35998785
2017-10-18,0.1144138,0.03636592,0.3329733
2017-10-19,0.1144138,0.03636592,0.3329733
2017-10-20,0.1144138,0.03636592,0.3329733
2017-10-23,0.1144138,0.03636592,0.3329733
2017-10-24,0.1144138,0.03636592,0.3329733
2017-10-25,0.1144138,0.03636592,0.3329733
2017-10-26,0.1144138,0.03636592,0.3329733
2017-10-27,0.08099426,0.020445429,0.2637176
2017-10-30,-0.17286164,0.5743717,0.62749684
2017-10-31,0.6303765,0.016730554,0.2413155
2017-11-01,2.4704423,-1.1579344,-0.5377999
2017-11-02,0.15821385,0.16217437,0.124093875
2017-11-03,-0.87060916,0.83507085,1.0762612
2017-11-06,0.36540347,0.0133943185,0.42664546
2017-11-07,0.078463525,0.11369837,0.55287164
2017-11-08,-0.079936594,0.6823704,0.92687666
2017-11-09,0.38928056,0.3267749,0.67584985
2017-11-10,0.31352466,0.4525995,0.8004262
2017-11-13,0.42903382,0.36311826,0.73649675
2017-11-14,0.1178903,0.45373684,1.0935363
2017-11-15,0.3982833,0.24344248,0.94619906
2017-11-16,0.3982833,0.24344248,0.94619906
2017-11-17,0.377299,0.23344588,0.9027131
2017-11-20,0.39913446,0.34319606,0.92082286
2017-11-21,0.43482447,0.31855744,0.9022426
2017-11-22,0.4151916,0.29799658,0.91563684
2017-11-23,0.4210118,0.2963863,0.91440105
2017-11-24,0.4210118,0.2963863,0.91440105
2017-11-27,0.88263744,-0.0051646754,0.69092953
2017-11-28,0.38819033,0.26746935,0.83647436
2017-11-29,0.38819033,0.26746935,0.83647436
2017-11-30,0.38819033,0.26746935,0.83647436
2017-12-01,1.3535998,-0.3510423,0.39171982
2017-12-04,0.40406615,0.1663642,0.6597507
2017-12-05,0.4636858,0.12237903,0.6215007
2017-12-06,1.8107316,-0.7228507,0.034065437
2017-12-07,0.24441877,0.14080083,0.49512342
2017-12-08,0.11812091,0.055733174,0.5946532
2017-12-11,0.06348476,0.02720011,0.641584
2017-12-12,1.3358681,-0.84161806,0.16327699
2017-12-13,-0.56012213,0.24865621,1.0599368
2017-12-14,-0.32892993,0.39118478,1.1805619
2017-12-15,0.23373261,-0.025589578,0.89421517
2017-12-18,0.06265713,0.42386135,1.1642545
2017-12-19,0.31002027,0.5450067,1.1840745
2017-12-20,0.543145,0.36787057,1.0563741
2017-12-21,0.24916762,0.41971084,1.3839954
2017-12-22,0.4902621,0.4816689,1.3554778
2017-12-25,0.6108477,0.38945663,1.2901157
2017-12-26,0.60404295,0.38617134,1.2760328
2017-12-27,0.5795249,0.37433404,1.225291
2017-12-28,0.5795249,0.37433404,1.225291
2017-12-29,0.5795249,0.37433404,1.225291
2018-01-02,0.57481915,0.3720622,1.2155522
2018-01-03,0.57481915,0.3720622,1.2155522
2018-01-04,0.5742584,0.37179142,1.2143916
2018-01-05,0.5742584,0.37179142,1.2143916
2018-01-08,0.84172446,0.19321233,1.075386
2018-01-09,0.60973245,0.3133053,1.1290964
2018-01-10,0.7082291,0.24011213,1.064924
2018-01-11,1.1590967,-0.072507076,0.8129479
2018-01-12,0.98070544,-0.0196402,0.78069913
2018-01-15,0.44387925,0.27636135,0.9387185
2018-01-16,1.358932,-0.19056809,0.48692423
2018-01-17,1.6370242,-0.028228693,0.13440247
2018-01-18,0.5920313,0.6687934,0.4093173
2018-01-19,3.1244323,-0.25791824,-0.7996525
2018-01-22,3.4310584,0.67477703,-1.8157535
2018-01-23,1.1820438,1.7557424,-1.2190123
2018-01-24,1.1820438,1.7557424,-1.2190123
2018-01-25,1.1820438,1.7557424,-1.2190123
2018-01-26,1.1820438,1.7557424,-1.2190123
2018-01-29,1.0635324,1.6114552,-1.1733601
2018-01-30,1.052983,1.5987651,-1.1673352
2018-01-31,1.040201,1.5833899,-1.1600351
2018-02-01,0.92342156,1.4361955,-1.0863278
2018-02-02,0.92342156,1.4361955,-1.0863278
2018-02-05,0.88404244,1.3818831,-1.0565923
2018-02-06,1.0399892,1.6176665,-1.2190683
2018-02-07,-0.46783152,0.7855787,2.3883576
2018-02-08,0.51184875,0.040293135,1.8596926
2018-02-09,0.51184875,0.040293135,1.8596926
2018-02-12,0.51184875,0.040293135,1.8596926
2018-02-13,0.5081588,0.038554467,1.8520998
2018-02-21,0.4957021,0.22037053,1.89117
2018-02-22,0.59943014,0.36685887,1.8828533
2018-02-23,0.7349241,0.48376,1.8466012
2018-02-26,0.7991509,0.4344613,1.8120301
2018-02-27,0.7991509,0.4344613,1.8120301
2018-02-28,0.8607351,0.6468204,1.8178108
2018-03-01,0.9212075,0.6004034,1.7852609
2018-03-02,0.9212075,0.6004034,1.7852609
2018-03-05,0.9212075,0.6004034,1.7852609
2018-03-06,0.9212075,0.6004034,1.7852609
2018-03-07,0.9212075,0.6004034,1.7852609
2018-03-08,0.9410183,0.75218564,1.7411927
2018-03-09,0.9856853,0.6973224,1.7225348
2018-03-12,0.96117693,0.6643707,1.7320585
2018-03-13,0.95581216,0.65715784,1.7341434
2018-03-14,3.6179357,0.25242007,-0.124351546
2018-03-15,1.310045,1.6136832,0.5039418
2018-03-16,1.2645376,1.556721,0.5161045
2018-03-19,1.2645376,1.5567211,0.51610464
2018-03-20,1.2083693,1.4864143,0.531116
2018-03-21,1.5641346,1.364351,0.30321133
2018-03-22,2.032626,1.3504957,-0.040938307
2018-03-23,2.1534195,1.4241545,-0.3064583
2018-03-26,1.2505131,1.6812599,0.020297777
2018-03-27,1.2910767,1.6554159,0.0008188011
2018-03-28,3.0338101,1.0960808,-0.85976464
2018-03-29,1.4636512,1.947767,-0.4395646
2018-03-30,0.057496667,1.8838329,0.9718661
2018-04-02,0.83873636,1.019109,0.6383629
2018-04-03,0.8056121,0.9092986,0.6908615
2018-04-04,0.8360559,1.0077643,0.65238255
2018-04-05,2.5305817,0.37111515,-0.16290419
2018-04-06,0.98394305,1.2457254,0.29249853
2018-04-09,0.9779034,1.3271545,0.28605896
2018-04-10,1.0353758,1.3055003,0.25669008
2018-04-11,1.0353758,1.3055003,0.2566902
2018-04-12,1.0353758,1.3055003,0.25669008
2018-04-13,1.0353758,1.3055003,0.2566902
2018-04-16,1.0353758,1.3055003,0.25669008
2018-04-17,1.0353758,1.3055003,0.2566902
2018-04-18,1.0353758,1.3055003,0.25669008
2018-04-19,1.0353758,1.3055003,0.2566902
2018-04-20,1.0353758,1.3055003,0.25669008
2018-04-23,1.0387177,1.3058956,0.25467718
2018-04-24,0.79241514,2.2573216,0.43541747
2018-04-26,1.2931631,1.6219962,0.27836066
2018-04-27,1.2931631,1.6219962,0.27836066
2018-05-02,3.746756,0.8130076,-0.9512104
2018-05-03,0.18560743,1.9969339,0.9857903
2018-05-04,0.95591944,1.0496612,0.6773853
2018-05-07,0.9612109,1.0554801,0.6690784
2018-05-08,0.936438,1.0720041,0.6755955
2018-05-09,0.96153706,1.063759,0.662708
2018-05-10,0.9669015,1.0696144,0.6543183
2018-05-11,0.9416949,1.0864275,0.66094965
