date,latent_0,latent_1,latent_2
2014-09-08,0.13624123,-0.056964695,0.294372
2014-09-09,0.094245054,-0.04567823,0.24918988
2014-09-10,0.103168465,-0.058741778,0.24886394
2014-09-11,0.20689896,-0.056388795,0.2946789
2014-09-12,0.1170561,-0.07387361,0.24106213
2014-09-15,-0.535203,0.008476943,-0.1891401
2014-09-16,-0.13882439,0.0133191645,-0.028411865
2014-09-17,-0.3731299,-0.0051074326,-0.06879738
2014-09-18,0.22746374,0.031577557,0.15456507
2014-09-19,-0.5281034,0.019998461,-0.12796183
2014-09-22,-0.1733406,0.016522199,0.04110506
2014-09-23,-0.15336369,0.032178342,0.009359866
2014-09-24,-0.20012285,-0.0052815974,0.057748288
2014-09-25,0.16007811,0.013805777,0.1918202
2014-09-26,-0.17855527,-0.008408636,0.07646528
2014-09-29,0.7045669,0.03507641,0.4653894
2014-09-30,-0.34170163,0.046910673,-0.122993834
2014-10-01,-0.6778062,0.16925086,-0.40340447
2014-10-02,0.23077236,0.19758672,-0.052647054
2014-10-03,0.43100566,0.2075592,0.036227256
2014-10-06,-0.52816534,0.18634349,-0.32838905
2014-10-07,-0.6306094,0.17248915,-0.25482038
2014-10-08,-0.15813436,0.14925279,-0.013988972
2014-10-09,-0.14997144,0.16871221,-0.045687065
2014-10-10,-0.4976976,0.15038289,-0.10220118
2014-10-13,0.44150043,0.14716396,0.36261252
2014-10-14,-0.46988398,0.20279835,-0.17512995
2014-10-15,0.16809525,0.1627867,0.21182641
2014-10-16,0.16146035,0.13684231,0.25596502
2014-10-17,0.17104566,0.104421586,0.32131347
2014-10-20,-0.34314817,0.14452697,-0.0041130185
2014-10-21,0.14731073,0.16168563,0.20176908
2014-10-22,0.14379415,0.13279268,0.2625011
2014-10-23,-0.29884827,0.10788442,0.10849473
2014-10-24,0.13721406,0.10561311,0.32239637
2014-10-27,-0.32820892,0.08501643,0.14668581
2014-10-28,0.39867172,0.119728625,0.45033172
2014-10-29,0.66207117,0.116461545,0.55599177
2014-10-30,0.75371283,0.080385715,0.6089603
2014-10-31,0.37327915,0.029798716,0.42461655
2014-11-03,0.1245456,0.015911996,0.27678517
2014-11-04,0.35060546,0.0018897057,0.439954
2014-11-05,-0.9123741,0.11662769,-0.27862507
2014-11-06,0.11684397,0.07557197,0.22081542
2014-11-07,0.7204785,0.12509921,0.45656338
2014-11-10,0.106690325,0.056055084,0.18376017
2014-11-11,0.43261105,0.045615852,0.40191576
2014-11-12,0.08692439,0.03691873,0.19715014
2014-11-13,0.18981843,0.035336256,0.23155874
2014-11-14,0.38599133,0.05343315,0.3006377
2014-11-17,0.49047136,0.051570535,0.3429602
2014-11-18,0.15702838,0.014896542,0.18136775
2014-11-19,-0.27704048,0.0664801,-0.12344569
2014-11-20,0.5853362,0.09431958,0.28273544
2014-11-21,0.10115242,0.039963454,0.07728946
2014-11-24,-0.7635433,0.03883651,-0.26071185
2014-11-25,0.08847956,0.03900352,0.12787184
2014-11-26,0.10275056,0.036331624,0.13420168
2014-11-27,-0.39932603,0.016560793,-0.0611645
2014-11-28,0.073684506,-0.0034102201,0.20479187
2014-12-01,0.13477188,-0.0054330826,0.23329967
2014-12-02,0.3753101,0.034403354,0.2901437
2014-12-03,1.1329726,0.08446565,0.62822807
2014-12-04,0.09353956,-0.036696285,0.17165184
