date,latent_0,latent_1,latent_2
2014-09-24,-0.085978925,-0.107567444,0.13758788
2014-09-25,-0.087000646,-0.106836826,0.14150016
2014-09-26,-0.14442995,-0.08701577,0.12348309
2014-09-29,-0.2044375,-0.0671934,0.10976741
2014-09-30,-0.73486346,0.13739446,-0.0015225708
2014-10-01,-2.5272498,0.8048055,-0.39622986
2014-10-02,1.8628743,-0.7753782,0.60103023
2014-10-03,-0.08970511,-0.097254865,0.15885535
2014-10-06,-0.14160252,-0.07822433,0.14618444
2014-10-07,0.076936096,-0.17681241,0.16997147
2014-10-08,0.3258105,-0.27146187,0.1950166
2014-10-09,-0.06761876,-0.10586115,0.09194129
2014-10-10,-0.0696864,-0.10351767,0.09787919
2014-10-13,-0.06935978,-0.104618914,0.09778447
2014-10-14,-0.06908085,-0.106676705,0.09773314
2014-10-15,0.1558274,-0.19858876,0.1909632
2014-10-16,1.3767288,-0.6159301,0.38629922
2014-10-17,-0.03564146,-0.09468795,0.05281332
2014-10-20,-0.036722034,-0.09284267,0.05309011
2014-10-21,0.012194216,-0.11849935,0.08368625
2014-10-22,-0.0057326704,-0.10818532,0.09437773
2014-10-23,-0.043213323,-0.08842148,0.09173773
2014-10-24,-0.043101445,-0.088758096,0.09169206
2014-10-27,-0.043139994,-0.088690706,0.09170185
2014-10-28,-0.0152377635,-0.10177677,0.10811766
2014-10-29,-0.02452451,-0.10285904,0.11610736
2014-10-30,-1.8895106,0.60280323,-0.3001827
2014-10-31,-0.00195688,-0.1447599,0.08453502
2014-11-03,-0.055924103,-0.117347665,0.06616196
2014-11-04,-0.15484428,-0.0845953,0.0392465
2014-11-05,-0.24289995,-0.0456518,0.03963001
2014-11-06,-0.061466746,-0.11979985,0.07340262
2014-11-07,0.14377463,-0.20422766,0.15166067
2014-11-10,-0.06509234,-0.11091217,0.09954625
2014-11-11,-0.06588559,-0.11036085,0.10333596
2014-11-12,-0.55935496,0.0859957,-0.0041746497
2014-11-13,-2.5156894,0.7909949,-0.44205785
2014-11-14,-0.44044524,-0.009663142,0.010359228
2014-11-17,0.8547662,-0.5340386,0.347652
2014-11-18,-0.29907614,-0.05320666,0.087017134
2014-11-19,1.8572948,-0.789541,0.5998104
