date,latent_0,latent_1,latent_2
2014-09-24,0.092710525,0.06877795,-0.2327062
2014-09-25,0.096080214,0.18494299,-0.2641917
2014-09-26,0.030549586,0.6579315,-0.20223996
2014-09-29,0.061429724,0.15187791,-0.13070357
2014-09-30,0.09198707,0.1457639,-0.158152
2014-10-01,0.19628432,0.6531246,-0.27166653
2014-10-02,0.20270696,0.2540452,-0.17700693
2014-10-03,0.27195483,0.20361629,-0.2272163
2014-10-06,0.2431548,0.20937154,-0.17682195
2014-10-07,0.27783665,0.19316383,-0.22373664
2014-10-08,0.21108547,0.2609275,-0.16135694
2014-10-09,0.29108554,0.21323755,-0.22038613
2014-10-10,0.30855444,0.10654943,-0.21311295
2014-10-13,0.31635708,0.21315703,-0.21569176
2014-10-14,0.34543535,0.27942446,-0.21435925
2014-10-15,0.35896274,0.29084468,-0.21105003
2014-10-16,0.38356623,0.16403173,-0.20263417
2014-10-17,0.4021952,0.010414124,-0.1916999
2014-10-20,0.30541196,0.47179365,-0.09300512
2014-10-21,0.27719966,0.40655345,0.03648916
2014-10-22,0.27096993,0.23923418,0.09847337
2014-10-23,0.30820233,0.10180937,0.09476668
2014-10-24,0.3878202,0.02682826,0.027843565
2014-10-27,0.39533594,0.08839586,-0.007898271
2014-10-28,0.44628713,0.21453436,-0.0903385
2014-10-29,0.38049683,0.26129207,0.018194854
2014-10-30,0.3993416,0.0687004,0.05440432
2014-10-31,0.38796356,0.09776576,0.05102122
2014-11-03,0.43115857,0.10681925,-0.0013121068
2014-11-04,0.39945737,0.14411044,0.025440037
2014-11-05,0.44328663,0.006069377,0.006246507
2014-11-06,0.4450775,0.08603582,-0.03145525
2014-11-07,0.36546072,0.31392974,0.03881821
2014-11-10,0.42649212,-0.09117222,0.06849563
2014-11-11,0.35753098,-0.037765175,0.11392367
2014-11-12,0.40779313,-0.16733207,0.07025561
2014-11-13,0.36275586,-0.04482232,0.056435347
2014-11-14,0.2785039,0.1817132,0.08863616
2014-11-17,0.35068163,-0.25698513,0.11686495
2014-11-18,0.3691816,-0.3029493,0.07202321
2014-11-19,0.30305815,-0.054712757,0.044449925
2014-11-20,0.27405012,0.10300535,0.02056086
2014-11-21,0.31463382,-0.21608536,0.055787623
2014-11-24,0.25446707,0.04342264,0.02823037
2014-11-25,0.3064827,-0.2781573,0.048390806
2014-11-26,0.17036957,-0.85835093,0.1417923
2014-11-27,0.1280761,0.67277235,0.08169788
2014-11-28,0.1825121,0.26834452,0.054264247
2014-12-01,0.25256413,0.118766665,0.0222072
2014-12-02,0.26928002,0.05758889,0.02037853
2014-12-03,0.34080562,0.4232118,-0.098685175
2014-12-04,0.33929446,0.14718834,-0.03172207
2014-12-05,0.37518343,-0.24179478,0.032847106
2014-12-08,0.38442656,0.46046746,-0.12739867
2014-12-09,0.46305248,-0.09101316,-0.08921713
2014-12-10,0.43196192,-0.0018074512,-0.10083336
2014-12-11,0.367812,0.22309102,-0.08927548
