date,latent_0,latent_1,latent_2
2017-08-21,-0.06904082,-0.47665665,0.5651428
2017-08-22,-0.08833128,-0.42233896,0.55718476
2017-08-23,-0.11748653,-0.32651907,0.5581756
2017-08-24,0.45803553,-0.5892503,0.311598
2017-08-25,-0.10404353,-0.27225035,0.46684903
2017-08-28,0.028456539,-0.39126664,0.40545693
2017-08-29,0.20508152,-0.51757646,0.3069285
2017-08-30,0.2501755,-0.5482701,0.25860345
2017-08-31,0.08670424,-0.47877505,0.28287846
2017-09-01,0.7244883,-0.8727449,-0.008617031
2017-09-05,-0.11510627,-0.38356227,0.3053889
2017-09-06,0.6724488,-0.8645675,-0.028256733
2017-09-07,1.3222451,-1.2791078,-0.33058378
2017-09-08,-0.1830535,-0.38289583,0.23728415
2017-09-11,-0.56201816,0.0040017515,0.5026045
2017-09-12,-0.040774025,-0.4306494,0.20822716
2017-09-13,-0.13770127,-0.36535776,0.24247792
2017-09-14,-0.16105962,-0.363833,0.25618958
2017-09-15,1.0485606,-1.1102508,-0.24485298
2017-09-18,0.19048172,-0.6087373,0.06064821
2017-09-19,-0.15555336,-0.40285262,0.19062644
2017-09-20,-0.21761766,-0.37481374,0.21876393
2017-09-21,-0.26204082,-0.32913846,0.2334248
2017-09-22,-0.14523828,-0.41329318,0.18175893
2017-09-25,-0.16235082,-0.40285683,0.17460798
2017-09-26,0.29568422,-0.6185098,-0.031136882
2017-09-27,-0.150141,-0.36207277,0.1337106
2017-09-28,-0.119283624,-0.3750891,0.110533535
2017-09-29,-0.15235782,-0.36411333,0.12555523
2017-10-02,-0.14928132,-0.37459913,0.1267258
2017-10-03,-0.25936288,-0.3242015,0.1733387
2017-10-04,-0.1537896,-0.38332438,0.13206242
2017-10-05,-0.1651136,-0.37328237,0.13504359
2017-10-06,-0.1384053,-0.39280874,0.12544052
2017-10-09,1.6551993,-1.5002114,-0.6152739
2017-10-10,1.28719,-1.3008444,-0.49146634
2017-10-11,0.05666545,-0.5678916,-0.01895414
2017-10-12,0.034642562,-0.558311,-0.013149462
2017-10-13,-0.15409999,-0.44869998,0.05847599
2017-10-16,-0.5421523,-0.18452132,0.28344762
2017-10-17,-0.14858411,-0.4737571,0.07041222
2017-10-18,-0.7271028,0.009360023,0.42878664
2017-10-19,0.23200893,-0.660365,-0.0732422
2017-10-20,-0.69969225,-0.039512835,0.4110665
2017-10-23,-0.46905738,-0.19950226,0.25073865
2017-10-24,-0.07052114,-0.39515814,0.01950591
2017-10-25,-0.19604269,-0.25289306,0.031745054
2017-10-26,-0.0030539185,-0.37321216,-0.05745027
2017-10-27,-0.29250005,-0.1905239,0.047435995
2017-10-30,-0.1588603,-0.243777,-0.033214122
2017-10-31,-0.051836893,-0.22694421,-0.10431307
