date,latent_0,latent_1,latent_2
2016-01-08,0.16390759,0.08358068,-0.11881703
2016-01-11,0.11017823,0.11106705,-0.1290099
2016-01-12,0.72199374,0.018602178,0.12196785
2016-01-13,0.6322065,0.06119155,0.002414219
2016-01-14,0.12472072,0.21478999,-0.02561155
2016-01-15,-0.17668086,0.3147664,-0.07772291
2016-01-18,0.1210908,0.22231111,-0.0030024946
2016-01-19,0.6251712,0.084998004,-0.038660154
2016-01-20,0.1445646,0.20896512,-0.1273641
2016-01-21,0.136296,0.22583494,-0.07604584
2016-01-22,0.12983328,0.23104629,-0.041823864
2016-01-25,0.25625336,0.2330868,0.05665487
2016-01-26,0.18890333,0.26314712,0.110169545
2016-01-27,0.10825658,0.28204504,0.09538115
2016-01-28,-0.2918319,0.39455247,-0.0095202625
2016-01-29,-0.28319257,0.39028072,-0.008168191
2016-02-01,-0.50418717,0.47535494,-0.018689036
2016-02-02,-0.52345437,0.45658806,-0.058059037
2016-02-03,0.074949175,0.24622995,0.0853231
2016-02-04,0.068360955,0.23937201,0.10292389
2016-02-05,0.5965676,0.2116566,0.3604093
2016-02-15,0.7400617,0.17641625,0.23321459
2016-02-16,-0.55456287,0.5346682,-0.0044884384
2016-02-17,-0.69403404,0.5709562,-0.004017532
2016-02-18,-0.06834328,0.33511195,0.10804747
2016-02-19,0.06404981,0.31801087,0.16344254
2016-02-22,0.071439326,0.31318203,0.1325069
2016-02-23,-1.2882509,0.8019991,-0.11509895
2016-02-24,-0.0018942952,0.25590372,0.11051185
2016-02-25,0.56793237,0.11441793,0.13514988
2016-02-26,0.05890663,0.23718137,0.03013613
2016-02-29,-0.29706222,0.34591025,-0.041883767
2016-03-01,-0.14633626,0.259433,-0.03422448
2016-03-02,0.3833394,0.14778489,0.16229646
2016-03-03,0.03869854,0.26312563,0.13937385
2016-03-04,0.94775254,0.12783268,0.4313457
2016-03-07,0.06501682,0.36596385,0.22737974
2016-03-08,-0.03576611,0.3968607,0.23820722
2016-03-09,0.055904895,0.36484256,0.25741664
2016-03-10,0.055947214,0.36442527,0.2572364
2016-03-11,-0.9104685,0.66099286,0.070051014
2016-03-14,-1.5594177,0.91951084,-0.035508037
