date,latent_0,latent_1,latent_2
2014-09-24,0.20730469,-0.14680678,-0.046344787
2014-09-25,-0.11136852,-0.18403712,-0.07631096
2014-09-26,-0.10450475,-0.19042858,-0.060352564
2014-09-29,-0.86937433,-0.16864079,-0.34586555
2014-09-30,1.0816572,-0.12169853,0.5940826
2014-10-01,-0.5995698,-0.18848106,-0.24580197
2014-10-02,-0.13297854,-0.21622536,0.013333142
2014-10-03,0.14088905,-0.1995466,0.11468503
2014-10-06,-0.11549564,-0.18336257,-0.042701215
2014-10-07,0.14904909,-0.19230187,0.10310021
2014-10-08,-0.1266522,-0.20092219,-0.012171805
2014-10-09,-0.15021269,-0.21427473,0.011731595
2014-10-10,0.26439494,-0.21058151,0.21663436
2014-10-13,0.12328924,-0.22341481,0.14587
2014-10-14,-0.14983176,-0.23389414,0.0343166
2014-10-15,0.11201824,-0.24182722,0.17762843
2014-10-16,-0.22778998,-0.2562805,0.051585466
2014-10-17,0.09901914,-0.25857124,0.22020593
2014-10-20,-0.27179503,-0.24069223,0.0128444135
2014-10-21,-0.40741348,-0.18869266,-0.11947386
2014-10-22,-0.1528816,-0.2109923,0.044095844
2014-10-23,1.403123,-0.105654985,0.7546847
2014-10-24,-0.17324956,-0.25406453,0.035680383
2014-10-27,1.7715875,-0.10842106,0.9194032
2014-10-28,0.08822116,-0.30989525,0.18668815
2014-10-29,0.47905624,-0.26288363,0.3262336
2014-10-30,0.0966083,-0.31015947,0.16156164
2014-10-31,0.34728596,-0.28581128,0.25498667
2014-11-03,-0.236419,-0.28500935,-0.061422035
2014-11-04,-0.15285887,-0.2992145,0.0061695725
2014-11-05,0.11539512,-0.29996565,0.13993225
2014-11-06,0.28429517,-0.29536006,0.2235319
2014-11-07,0.094021775,-0.31325898,0.13329288
2014-11-10,0.08372335,-0.30648264,0.11373052
2014-11-11,0.21130982,-0.29964957,0.17586753
2014-11-12,0.10908663,-0.3084202,0.123041004
2014-11-13,0.7806241,-0.24255404,0.4138607
2014-11-14,0.08584347,-0.31015363,0.08916286
2014-11-17,0.19847785,-0.3005428,0.13372222
2014-11-18,1.2012353,-0.21669832,0.60421884
2014-11-19,0.5378723,-0.3047962,0.31594297
2014-11-20,0.3958466,-0.3470784,0.25353464
2014-11-21,0.09099465,-0.38576618,0.12611684
2014-11-24,0.61878705,-0.33421358,0.35443524
2014-11-25,-0.93170804,-0.31782833,-0.46575162
2014-11-26,-0.24982233,-0.35806224,-0.0886651
2014-11-27,0.09967373,-0.3520536,0.06630579
2014-11-28,0.15197992,-0.3535863,0.08565655
2014-12-01,1.0017303,-0.25531825,0.42899093
2014-12-02,0.44680172,-0.32794598,0.18877879
2014-12-03,0.10015991,-0.36879596,0.04224536
2014-12-04,0.1760703,-0.36283287,0.07349667
2014-12-05,-0.08818351,-0.36351672,-0.06743714
2014-12-08,0.18400681,-0.35734788,0.058404237
2014-12-09,-0.8515995,-0.33137783,-0.43290398
2014-12-10,-0.5212401,-0.3212193,-0.28969014
2014-12-11,-0.18784122,-0.34506938,-0.09618004
2014-12-12,0.31690502,-0.33002803,0.14540938
2014-12-15,0.1181627,-0.35426745,0.061095685
2014-12-16,-0.121040925,-0.36951062,-0.034213275
2014-12-17,-1.6666526,-0.239198,-0.8673116
2014-12-18,-1.4513048,-0.17805484,-0.84528196
2014-12-19,-0.061999783,-0.22803363,-0.13776082
2014-12-22,-0.04465878,-0.24692437,-0.1333935
2014-12-23,0.59158784,-0.2202461,0.17329684
2014-12-24,0.25076908,-0.26493153,0.013544917
2014-12-25,-0.1740353,-0.28027037,-0.1613864
2014-12-26,-0.1924283,-0.26262912,-0.19731502
2014-12-29,-0.035363838,-0.2537618,-0.14668909
2014-12-30,-0.121635035,-0.22579297,-0.23486772
2014-12-31,-0.01387465,-0.21892461,-0.19798908
2015-01-05,-0.011277959,-0.2224575,-0.19419935
2015-01-06,-0.0061023682,-0.2185131,-0.20001164
2015-01-07,-0.00839518,-0.22115573,-0.19726393
2015-01-08,0.43455672,-0.19892672,-0.006905481
2015-01-09,0.3864742,-0.2143918,-0.020085856
2015-01-12,-0.01441218,-0.24549785,-0.18963131
2015-01-13,-0.02056861,-0.2508174,-0.18246213
2015-01-14,-0.017801508,-0.2517034,-0.1819062
2015-01-15,0.50144655,-0.22984663,0.038298875
2015-01-16,2.2709675,-0.05948326,0.806208
2015-01-19,2.8118103,-0.04449269,1.0320665
2015-01-20,-0.053040147,-0.35629407,-0.22337243
2015-01-21,0.16795786,-0.35971305,-0.11430019
2015-01-22,0.6082547,-0.31427154,0.0782527
2015-01-23,-0.90658146,-0.2903534,-0.70660067
2015-01-26,1.4199946,-0.19875386,0.38929173
2015-01-27,0.75334394,-0.2861012,0.10447961
2015-01-28,-0.25461745,-0.3485292,-0.3527811
2015-01-29,0.8760149,-0.28742155,0.17193589
2015-01-30,-0.21832372,-0.34598383,-0.35135427
2015-02-02,-0.15170999,-0.35451505,-0.3031369
2015-02-03,-0.8126313,-0.32689527,-0.61613524
2015-02-04,0.16723162,-0.36763248,-0.108636945
2015-02-05,0.3405126,-0.35299197,-0.028592512
2015-02-06,0.17008045,-0.36995748,-0.107642025
2015-02-09,0.17020422,-0.36103883,-0.123852625
2015-02-10,0.18294854,-0.365226,-0.112404525
2015-02-11,-1.6798872,-0.23525599,-1.1338892
2015-02-12,-1.2613963,-0.21181563,-0.9441328
2015-02-13,0.0007622391,-0.26696405,-0.28583157
2015-02-24,-0.2813483,-0.24546108,-0.4310974
2015-02-25,-1.017715,-0.21703872,-0.7528027
2015-02-26,-0.017509952,-0.26462123,-0.22511543
2015-02-27,-0.08053456,-0.27236697,-0.24390583
2015-03-02,0.42350918,-0.24953768,-0.023898676
2015-03-03,-1.1017923,-0.16031912,-0.84631455
2015-03-04,-0.051897034,-0.21382675,-0.28013623
2015-03-05,-0.0043753833,-0.2226961,-0.23649006
2015-03-06,-0.3789932,-0.21614465,-0.38699958
2015-03-09,-0.015139654,-0.23435333,-0.1916945
2015-03-10,-0.0041653067,-0.23616126,-0.18929136
2015-03-11,0.3049478,-0.23645714,-0.027854398
2015-03-12,-0.019981906,-0.24128768,-0.19132818
2015-03-13,-0.014989302,-0.24426666,-0.19034135
2015-03-16,-0.08832486,-0.2528673,-0.21028376
2015-03-17,-0.013232008,-0.2505429,-0.18077195
2015-03-18,-0.0152172,-0.25088868,-0.18060379
2015-03-19,0.6135305,-0.21848091,0.111805975
2015-03-20,0.950173,-0.2050772,0.27364603
2015-03-23,0.21057568,-0.31194535,-0.043152213
2015-03-24,0.6881855,-0.27959368,0.15876377
2015-03-25,1.0908587,-0.24772945,0.33501062
2015-03-26,-0.20213322,-0.3554586,-0.22605899
2015-03-27,-0.040633336,-0.36971965,-0.12663144
2015-03-30,0.17784213,-0.37929097,-0.00403364
2015-03-31,2.7852948,-0.1157926,1.1092182
2015-04-01,-0.7534663,-0.39931735,-0.46929464
2015-04-02,-0.30740082,-0.4132366,-0.24497014
2015-04-03,1.2648998,-0.30923715,0.47869864
2015-04-06,0.1341159,-0.44476524,-0.008785784
2015-04-07,-0.29523522,-0.42408994,-0.23711702
2015-04-08,0.1491493,-0.4400837,-0.004194662
2015-04-09,0.29777092,-0.42251936,0.05693549
2015-04-10,-2.4302943,-0.2513937,-1.3812491
2015-04-13,-0.7498602,-0.30493107,-0.5531095
2015-04-14,-0.44911826,-0.3299239,-0.35600898
2015-04-15,-0.042379558,-0.34981295,-0.1417456
2015-04-16,-0.22498055,-0.32665047,-0.25657576
2015-04-17,-0.13138027,-0.3143489,-0.23297189
2015-04-20,-0.02655594,-0.3210071,-0.17224452
2015-04-21,-0.03139265,-0.3234289,-0.17015758
2015-04-22,-0.028750315,-0.3214908,-0.17282024
2015-04-23,0.41166675,-0.29720005,0.022167444
2015-04-24,0.25717056,-0.31753942,-0.04566966
2015-04-27,0.24425516,-0.32749876,-0.04390022
2015-05-04,-0.11628254,-0.33744118,-0.20081484
2015-05-05,0.7114785,-0.27266362,0.15071058
2015-05-06,-0.36033428,-0.325115,-0.32880577
2015-05-07,-0.037114784,-0.33037612,-0.17771281
2015-05-08,-0.042626873,-0.33556518,-0.16927509
2015-05-11,-0.07443483,-0.33937714,-0.17474157
2015-05-12,-0.16287763,-0.34359822,-0.20155746
2015-05-13,-0.044706002,-0.34713486,-0.1417731
2015-05-14,1.5141729,-0.21051928,0.5505675
2015-05-15,1.1551069,-0.27142873,0.4070666
2015-05-18,0.5448516,-0.35935077,0.16580722
2015-05-19,-0.1719739,-0.3919718,-0.18034512
2015-05-20,0.27190408,-0.382014,0.01631856
2015-05-21,0.8314457,-0.3289052,0.25327125
2015-05-22,-1.6294023,-0.2863529,-1.0099851
2015-05-25,-0.053892836,-0.36352012,-0.17779286
2015-05-26,-0.029195085,-0.36670312,-0.17232761
2015-05-27,0.17636198,-0.3719897,-0.06431347
2015-05-28,-0.06701629,-0.37662092,-0.17046498
2015-05-29,-0.041264936,-0.38221028,-0.14779145
2015-06-01,-0.79199547,-0.30875215,-0.6021495
2015-06-02,0.2058405,-0.34994474,-0.08476102
2015-06-03,0.43523425,-0.30418453,-0.033185765
2015-06-04,0.015611351,-0.31762514,-0.25221357
2015-06-05,0.2231669,-0.3196297,-0.1536985
2015-06-08,0.042794064,-0.31451157,-0.2545323
2015-06-09,0.39942718,-0.29839322,-0.08802481
2015-06-10,-0.116040096,-0.3190234,-0.31586108
2015-06-11,-0.11455034,-0.29712543,-0.34907526
2015-06-12,-2.38006,-0.09429416,-1.5025984
2015-06-15,-0.47394603,-0.21959648,-0.46528256
2015-06-16,0.007744983,-0.23989311,-0.21406245
2015-06-17,0.011421606,-0.2396827,-0.21350756
2015-06-18,0.008540347,-0.24104676,-0.21395898
2015-06-19,0.55308264,-0.20258716,0.011866838
2015-06-22,0.021311402,-0.22854653,-0.24908864
2015-06-23,0.020537362,-0.21974859,-0.26478264
2015-06-24,0.028381065,-0.22054622,-0.26328084
2015-06-25,0.24428807,-0.22470531,-0.15981817
2015-06-26,-0.047194257,-0.23241475,-0.28099144
2015-06-29,-0.20743968,-0.20299417,-0.38125625
2015-06-30,0.25789428,-0.21472439,-0.15137307
2015-07-01,0.0013451725,-0.21607068,-0.26739037
2015-07-02,0.021686658,-0.2137306,-0.263054
2015-07-03,0.017761871,-0.21184114,-0.26392484
2015-07-06,0.018641159,-0.21132925,-0.26348493
2015-07-07,-0.107763365,-0.21438518,-0.31033784
2015-07-08,-0.15472452,-0.22189388,-0.30247238
2015-07-09,0.01950194,-0.2195541,-0.23588216
2015-07-10,2.5330033,0.013039023,0.846565
2015-07-13,1.6547529,-0.11880836,0.4677138
2015-07-14,-0.015840054,-0.2891939,-0.2681735
2015-07-15,-0.26926297,-0.28213856,-0.37875077
2015-07-16,-0.45114827,-0.27991912,-0.4410629
2015-07-17,-0.0040596873,-0.30342445,-0.20573123
2015-07-20,0.19981194,-0.30635825,-0.10127887
2015-07-21,-0.013023511,-0.296576,-0.22219215
2015-07-22,-0.94039196,-0.19604614,-0.76494277
2015-07-23,-0.09885575,-0.24095288,-0.30629498
2015-07-24,0.22067605,-0.2518163,-0.13630944
2015-07-27,1.2516586,-0.14505789,0.30237582
2015-07-28,0.5606378,-0.23695025,0.0073820353
2015-07-29,-0.20044972,-0.27817693,-0.32587126
2015-07-30,0.34070843,-0.27703425,-0.05848971
2015-07-31,0.5921441,-0.25396106,0.04982817
2015-08-03,-0.017447278,-0.2987503,-0.22968094
2015-08-04,0.21275537,-0.30351004,-0.11160323
