date,latent_0,latent_1,latent_2
2018-11-14,-0.07092881,-0.23786917,0.50273156
2018-11-15,0.12384604,-0.24321005,0.60301495
2018-11-16,-0.07408476,-0.27145407,0.5097358
2018-11-19,-0.07824911,-0.28639755,0.51752555
2018-11-20,0.48311597,-0.24693963,0.7506654
2018-11-21,-0.079307005,-0.31653985,0.51986337
2018-11-22,-1.9335841,-0.08965352,-0.50499415
2018-11-23,-0.049525484,-0.19646153,0.4436721
2018-11-26,-0.56872535,-0.20571658,0.21934217
2018-11-27,-0.56641406,-0.2207785,0.27931234
2018-11-28,-0.058231935,-0.2430236,0.5492021
2018-11-29,0.23523654,-0.23802719,0.6825099
2018-11-30,0.17858818,-0.2668619,0.65432084
2018-12-03,-0.06862825,-0.27421495,0.5249628
2018-12-04,0.3759731,-0.26403722,0.7314583
2018-12-05,0.21672533,-0.2522671,0.5684289
2018-12-06,-0.0038379282,-0.22843763,0.35447678
2018-12-07,0.095665865,-0.24013576,0.40042666
2018-12-10,0.0031193942,-0.26764944,0.36856505
2018-12-11,0.027474508,-0.2607188,0.36557135
2018-12-12,0.041767746,-0.21635368,0.25666097
2018-12-13,0.11055845,-0.17889285,0.18165722
2018-12-14,0.10652466,-0.1653364,0.11140326
2018-12-17,0.10602043,-0.19110724,0.12316081
2018-12-18,0.11657264,-0.18029603,0.098131716
2018-12-19,-0.19475858,-0.1617361,-0.09067218
2018-12-20,2.309211,0.033385664,1.0080668
2018-12-21,-0.76856583,-0.20791277,-0.32841772
2018-12-24,0.7084939,-0.18086919,0.38656542
2018-12-25,1.5523673,-0.110014826,0.7554654
2018-12-26,-1.9330672,-0.1303064,-0.7891065
2018-12-27,-0.9134093,-0.15249494,-0.34947336
2018-12-28,-1.3999861,-0.120886266,-0.46912274
2019-01-02,0.11881907,-0.1948469,0.29664692
2019-01-03,0.06122905,-0.21802548,0.29618868
2019-01-04,0.05899076,-0.2321423,0.32452598
2019-01-07,-0.23965131,-0.22999159,0.14394918
2019-01-08,-0.19502766,-0.25110158,0.16591588
2019-01-09,-0.2005635,-0.25039658,0.16476986
2019-01-10,-0.2635116,-0.23151317,0.10623571
2019-01-11,-0.5872428,-0.23196062,0.022579283
2019-01-14,-0.21893264,-0.25246397,0.22210076
2019-01-15,-0.49576885,-0.20469233,0.040979296
