date,mean_risk_z,high_intensity,low_intensity,dispersion,total_assets,mean_risk_z_smooth,high_intensity_smooth,portfolio_risk_regime_raw,portfolio_risk_regime
2016-11-16,0.0,0.0,0.0,,1,,,NORMAL,NORMAL
2016-11-17,0.0,0.0,0.0,,1,,,NORMAL,NORMAL
2016-11-18,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-11-21,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-11-22,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-11-23,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-11-24,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-11-25,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-11-28,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-11-29,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-11-30,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-01,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-02,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-05,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-06,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-07,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-08,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-09,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-12,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-13,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-14,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-15,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-16,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-19,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-20,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-21,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-22,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-23,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-26,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-27,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-28,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-29,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2016-12-30,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2017-01-03,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
2017-01-04,0.0,0.0,0.0,,1,0.0,0.0,NORMAL,NORMAL
