date,risk_score
2014-10-22,0.002323641
2014-10-23,0.0008027516
2014-10-24,0.002625033
2014-10-27,0.0028862483
2014-10-28,0.0033514316
2014-10-29,0.0025418194
2014-10-30,0.0021089748
2014-10-31,0.0023416781
2014-11-03,0.0019991114
2014-11-04,0.0015105319
2014-11-05,0.001402678
2014-11-06,0.0014279776
2014-11-07,0.0014636577
2014-11-10,0.0016121583
2014-11-11,0.0016735874
2014-11-12,0.0019132195
2014-11-13,0.0020247085
2014-11-14,0.0023576876
2014-11-17,0.0022593462
2014-11-18,0.002439659
2014-11-19,0.000883178
2014-11-20,0.0009173345
2014-11-21,0.0023109375
2014-11-24,0.0010896497
2014-11-25,0.0032349022
2014-11-26,0.0010550383
2014-11-27,0.0013634972
2014-11-28,0.0013699301
2014-12-01,0.0013133578
2014-12-02,0.001422138
2014-12-03,0.0014912204
2014-12-04,0.0014465807
2014-12-05,0.0015409857
2014-12-08,0.0015418681
2014-12-09,0.0017038598
2014-12-10,0.0020628597
2014-12-11,0.0020576976
2014-12-12,0.00232492
2014-12-15,0.0014156054
2014-12-16,0.0024211146
2014-12-17,0.0025875473
2014-12-18,0.0028998929
2014-12-19,0.002456254
2014-12-22,0.0025867454
2014-12-23,0.0023558838
2014-12-24,0.0023246547
2014-12-25,0.0023566922
2014-12-26,0.0022487212
2014-12-29,0.0022519235
2014-12-30,0.002684579
2014-12-31,0.0024324795
2015-01-05,0.001698599
2015-01-06,0.0014419407
2015-01-07,0.0014536218
2015-01-08,0.0015516619
2015-01-09,0.0019894042
2015-01-12,0.0023003814
2015-01-13,0.0011649521
2015-01-14,0.0010333096
2015-01-15,0.0012231574
2015-01-16,0.0012716271
2015-01-19,0.0023692627
2015-01-20,0.0013051697
2015-01-21,0.0013271647
2015-01-22,0.0026641665
2015-01-23,0.0013119546
2015-01-26,0.0013273649
2015-01-27,0.0014064349
2015-01-28,0.001425649
2015-01-29,0.001397437
2015-01-30,0.0016935733
2015-02-02,0.0019054571
2015-02-03,0.0014437691
2015-02-04,0.0035597526
2015-02-05,0.0020471925
2015-02-06,0.002115515
2015-02-09,0.0018642726
2015-02-10,0.0019582866
2015-02-11,0.0018758359
2015-02-12,0.0019051617
2015-02-13,0.0017123688
2015-02-24,0.0016002646
2015-02-25,0.0016585938
2015-02-26,0.001554375
2015-02-27,0.0015776043
2015-03-02,0.0017276839
2015-03-03,0.0017350395
2015-03-04,0.0017367366
2015-03-05,0.001515669
2015-03-06,0.001752527
2015-03-09,0.0013568331
2015-03-10,0.0015839397
2015-03-11,0.0016917116
2015-03-12,0.0021843931
2015-03-13,0.0015578701
2015-03-16,0.00151629
2015-03-17,0.0015034217
2015-03-18,0.0015217662
2015-03-19,0.0015794968
2015-03-20,0.0015319744
2015-03-23,0.001755015
2015-03-24,0.0019121738
2015-03-25,0.0019009395
2015-03-26,0.0017604525
2015-03-27,0.0015807396
2015-03-30,0.0016299128
2015-03-31,0.0015825189
2015-04-01,0.001722551
2015-04-02,0.0020291433
2015-04-03,0.0022389877
2015-04-06,0.0021011478
2015-04-07,0.0015415603
2015-04-08,0.0014952254
2015-04-09,0.0013978775
2015-04-10,0.001523338
2015-04-13,0.001453256
2015-04-14,0.0015117391
2015-04-15,0.0016541381
2015-04-16,0.0015486041
2015-04-17,0.0015407391
2015-04-20,0.0016562934
2015-04-21,0.0016223069
2015-04-22,0.0016594029
2015-04-23,0.0015616578
2015-04-24,0.0015823224
2015-04-27,0.0017384586
2015-05-04,0.001538632
2015-05-05,0.0036309673
2015-05-06,0.0026701742
2015-05-07,0.0014890288
2015-05-08,0.002205863
2015-05-11,0.0012899782
2015-05-12,0.0014228364
2015-05-13,0.0025237815
2015-05-14,0.002596907
2015-05-15,0.0025645762
2015-05-18,0.0024600516
2015-05-19,0.0024589528
2015-05-20,0.0014064326
2015-05-21,0.0011576405
2015-05-22,0.0016594797
2015-05-25,0.0012117457
2015-05-26,0.0014354701
2015-05-27,0.0015354985
2015-05-28,0.0016412004
2015-05-29,0.0019321989
2015-06-01,0.0017628518
2015-06-02,0.0018522758
2015-06-03,0.001914545
2015-06-04,0.0019424143
2015-06-05,0.002101025
2015-06-08,0.0020559053
2015-06-09,0.0019971735
2015-06-10,0.0019553246
2015-06-11,0.0019381817
2015-06-12,0.0019701582
2015-06-15,0.0020274934
2015-06-16,0.0021492455
2015-06-17,0.0022830076
2015-06-18,0.0023412085
2015-06-19,0.0020673366
2015-06-22,0.0021231484
2015-06-23,0.002077987
2015-06-24,0.0020289444
2015-06-25,0.0020486433
2015-06-26,0.0022387125
2015-06-29,0.0021756885
2015-06-30,0.0019882622
2015-07-01,0.0021623827
2015-07-02,0.0015978988
2015-07-03,0.0013347734
2015-07-06,0.0019602964
2015-07-07,0.0021689106
2015-07-08,0.0015247732
2015-07-09,0.0018452168
2015-07-10,0.0012655433
2015-07-13,0.0015679342
2015-07-14,0.00186398
2015-07-15,0.001951217
2015-07-16,0.0019965165
2015-07-17,0.002138265
2015-07-20,0.0019906482
2015-07-21,0.0020959477
2015-07-22,0.0020887267
2015-07-23,0.0020862485
2015-07-24,0.0021620523
2015-07-27,0.0020939072
2015-07-28,0.002650422
2015-07-29,0.0011575932
2015-07-30,0.00077768374
2015-07-31,0.0011436392
2015-08-03,0.0013505658
2015-08-04,0.0024292013
2015-08-05,0.0016120898
2015-08-06,0.0014848695
2015-08-07,0.0011314547
2015-08-10,0.001238094
2015-08-11,0.0013378328
2015-08-12,0.0016136358
2015-08-13,0.0016027689
2015-08-14,0.0017785642
2015-08-17,0.0017488308
2015-08-18,0.0019192009
2015-08-19,0.0017930963
2015-08-20,0.0018081444
2015-08-21,0.001693879
2015-08-24,0.0019433531
2015-08-25,0.0024975
2015-08-26,0.0022499298
2015-08-27,0.0017582274
2015-08-28,0.0019056622
2015-08-31,0.0017725267
2015-09-01,0.002095746
2015-09-03,0.00209914
2015-09-04,0.002203219
2015-09-07,0.0022943083
2015-09-08,0.0020854452
2015-09-09,0.0019380492
2015-09-10,0.0019992723
2015-09-11,0.0018291587
2015-09-14,0.0010992279
2015-09-15,0.0018002249
2015-09-16,0.001766816
2015-09-17,0.0019063167
2015-09-18,0.0018794267
2015-09-21,0.0018893776
2015-09-22,0.0018831491
2015-09-23,0.0023986925
2015-09-24,0.0013155546
2015-09-25,0.0012147764
2015-09-28,0.0013117574
2015-09-29,0.0014375977
2015-09-30,0.0014588588
2015-10-01,0.0014112049
2015-10-02,0.0015444306
2015-10-05,0.0014303925
2015-10-06,0.0015584682
2015-10-07,0.0030867623
2015-10-08,0.0013446156
2015-10-09,0.0013398505
2015-10-12,0.0014468783
2015-10-13,0.0014046954
2015-10-14,0.0015213983
2015-10-15,0.0015243334
2015-10-16,0.0019924955
2015-10-19,0.0014428201
2015-10-20,0.0015498004
2015-10-21,0.0015651595
2015-10-22,0.0016062567
2015-10-23,0.0016110083
2015-10-26,0.0014523626
2015-10-27,0.0015805967
2015-10-28,0.0014182157
2015-10-29,0.0015262354
2015-10-30,0.0015737787
2015-11-02,0.0016356721
2015-11-03,0.002339929
2015-11-04,0.0020002064
2015-11-05,0.002212672
2015-11-06,0.0020882743
2015-11-09,0.0020630995
2015-11-10,0.002073995
2015-11-11,0.0021401832
2015-11-12,0.0022966035
2015-11-13,0.0021919494
2015-11-16,0.0021915156
2015-11-17,0.0023256394
