date,risk_score
2014-10-22,0.0023554706
2014-10-23,0.002177654
2014-10-24,0.0022460022
2014-10-27,0.0022073195
2014-10-28,0.0022787869
2014-10-29,0.002163229
2014-10-30,0.0020118644
2014-10-31,0.001982918
2014-11-03,0.0017722915
2014-11-04,0.0017110284
2014-11-05,0.0018276721
2014-11-06,0.001932476
2014-11-07,0.0020280604
2014-11-10,0.0019387819
2014-11-11,0.002042947
2014-11-12,0.0019828344
2014-11-13,0.0019970224
2014-11-14,0.0024501928
2014-11-17,0.0021405388
2014-11-18,0.0020502585
2014-11-19,0.0012516237
2014-11-20,0.0020224247
2014-11-21,0.0022050054
2014-11-24,0.0021606903
2014-11-25,0.0022987914
2014-11-26,0.0020673524
2014-11-27,0.0022019513
2014-11-28,0.0020797157
2014-12-01,0.0023049775
2014-12-02,0.001980214
2014-12-03,0.0019141186
2014-12-04,0.0012252794
2014-12-05,0.0016621912
2014-12-08,0.0018931762
2014-12-09,0.001967634
2014-12-10,0.001401545
2014-12-11,0.0011692999
2014-12-12,0.0017488743
2014-12-15,0.0013271603
2014-12-16,0.0018387944
2014-12-17,0.0021166385
2014-12-18,0.0026953467
2014-12-19,0.0019988513
2014-12-22,0.0022155219
2014-12-23,0.0020806694
2014-12-24,0.0019854093
2014-12-25,0.001990595
2014-12-26,0.0019781434
2014-12-29,0.0020266376
2014-12-30,0.0020525102
2014-12-31,0.0019588114
2015-01-05,0.0012854405
2015-01-06,0.0015267052
2015-01-07,0.001713752
2015-01-08,0.0015310557
2015-01-09,0.001652437
2015-01-12,0.0016107862
2015-01-13,0.0015961614
2015-01-14,0.0016240142
2015-01-15,0.0016837672
2015-01-16,0.0017031666
2015-01-19,0.0020669398
2015-01-20,0.0019803422
2015-01-21,0.0019223564
2015-01-22,0.0018452662
2015-01-23,0.0018695681
2015-01-26,0.0018480602
2015-01-27,0.0018391947
2015-01-28,0.0019110385
2015-01-29,0.0018544621
2015-01-30,0.0018572118
2015-02-02,0.002236396
2015-02-03,0.0015619288
2015-02-04,0.0015200393
2015-02-05,0.0019793184
2015-02-06,0.0015021111
2015-02-09,0.0019446111
2015-02-10,0.0019832856
2015-02-11,0.0015803983
2015-02-12,0.0017675818
2015-02-13,0.0015488467
2015-02-24,0.0015155035
2015-02-25,0.0016392521
2015-02-26,0.0015956645
2015-02-27,0.0016851726
2015-03-02,0.0016492524
2015-03-03,0.0017174548
2015-03-04,0.0017440806
2015-03-05,0.0023685354
2015-03-06,0.0015604454
2015-03-09,0.0016476307
2015-03-10,0.0018241694
2015-03-11,0.0016480167
2015-03-12,0.0016387852
2015-03-13,0.0017298143
2015-03-16,0.0017040544
2015-03-17,0.0017294444
2015-03-18,0.0017696323
2015-03-19,0.0017492305
2015-03-20,0.0017005263
2015-03-23,0.0017353988
2015-03-24,0.0017862683
2015-03-25,0.0018620826
2015-03-26,0.0017673834
2015-03-27,0.0018546109
2015-03-30,0.001763674
2015-03-31,0.0018496688
2015-04-01,0.0018508693
2015-04-02,0.0020927938
2015-04-03,0.001802213
2015-04-06,0.0018291469
2015-04-07,0.001745038
2015-04-08,0.0018305779
2015-04-09,0.0018289988
2015-04-10,0.0018168825
2015-04-13,0.0016904664
2015-04-14,0.0017523286
2015-04-15,0.0018248686
2015-04-16,0.0018358233
2015-04-17,0.0018418022
2015-04-20,0.003048291
2015-04-21,0.0015242794
2015-04-22,0.0015979975
2015-04-23,0.0016365668
2015-04-24,0.0016432956
2015-04-27,0.0016470402
2015-05-04,0.0016391953
2015-05-05,0.0028316027
2015-05-06,0.0016144607
2015-05-07,0.0017584122
2015-05-08,0.001744007
2015-05-11,0.0017736175
2015-05-12,0.0018050114
2015-05-13,0.0018654831
2015-05-14,0.0018518493
2015-05-15,0.0018388252
2015-05-18,0.0018612857
2015-05-19,0.0018815654
2015-05-20,0.0018360382
2015-05-21,0.001721424
2015-05-22,0.0014215636
2015-05-25,0.0016441781
2015-05-26,0.0017310164
2015-05-27,0.001578378
2015-05-28,0.0016887134
2015-05-29,0.0016855926
2015-06-01,0.0017215305
2015-06-02,0.0019225373
2015-06-03,0.00202055
2015-06-04,0.0018814604
2015-06-05,0.0018277506
2015-06-08,0.0017698067
2015-06-09,0.0018268859
2015-06-10,0.0018111994
2015-06-11,0.0017854089
2015-06-12,0.0017577291
2015-06-15,0.0017223584
2015-06-16,0.0017328074
2015-06-17,0.0018089169
2015-06-18,0.0018558709
2015-06-19,0.0019116211
2015-06-22,0.0016283435
2015-06-23,0.0017883065
2015-06-24,0.0016307468
2015-06-25,0.001670924
2015-06-26,0.0015674694
2015-06-29,0.0023890429
2015-06-30,0.00139928
2015-07-01,0.0015201364
2015-07-02,0.0015956464
2015-07-03,0.0016513383
2015-07-06,0.0016510091
2015-07-07,0.0016131662
2015-07-08,0.001696538
2015-07-09,0.0019691307
2015-07-10,0.0015611362
2015-07-13,0.0016283412
2015-07-14,0.0016699131
2015-07-15,0.0016297831
2015-07-16,0.0017563934
2015-07-17,0.0016914255
2015-07-20,0.0017037368
2015-07-21,0.0016373775
2015-07-22,0.0018199249
2015-07-23,0.001797002
2015-07-24,0.0016782107
2015-07-27,0.0017427085
2015-07-28,0.0022399144
2015-07-29,0.0016397072
2015-07-30,0.0016007633
2015-07-31,0.0016560906
2015-08-03,0.0016326667
2015-08-04,0.0017094812
2015-08-05,0.0016733792
2015-08-06,0.0019160323
2015-08-07,0.0017500147
2015-08-10,0.0016803942
2015-08-11,0.0018058543
2015-08-12,0.0016233327
2015-08-13,0.001679949
2015-08-14,0.001973113
2015-08-17,0.002013019
2015-08-18,0.0020792256
2015-08-19,0.001985192
2015-08-20,0.0018985977
2015-08-21,0.0019780332
2015-08-24,0.0019716602
2015-08-25,0.0031114165
2015-08-26,0.0020483222
2015-08-27,0.0018127479
2015-08-28,0.0018239182
2015-08-31,0.0018266614
2015-09-01,0.001914524
2015-09-03,0.0019447862
2015-09-04,0.0019992483
2015-09-07,0.0019661973
2015-09-08,0.001987813
2015-09-09,0.0019711526
2015-09-10,0.0019094471
2015-09-11,0.0018656084
2015-09-14,0.0018998382
2015-09-15,0.0019460956
2015-09-16,0.0019403358
2015-09-17,0.001939205
