date,risk_score
2014-10-22,0.001733568
2014-10-23,0.0016676954
2014-10-24,0.0020008609
2014-10-27,0.0021067762
2014-10-28,0.0021057508
2014-10-29,0.0020907226
2014-10-30,0.0019399484
2014-10-31,0.0020675836
2014-11-03,0.0019129452
2014-11-04,0.0019873425
2014-11-05,0.0020676823
2014-11-06,0.0020702237
2014-11-07,0.0025793428
2014-11-10,0.0021350672
2014-11-11,0.0021185644
2014-11-12,0.0016795583
2014-11-13,0.001813676
2014-11-14,0.0021855843
2014-11-17,0.0022684464
2014-11-18,0.0021984626
2014-11-19,0.0026919395
2014-11-20,0.002299244
2014-11-21,0.0021943138
2014-11-24,0.0011962701
2014-11-25,0.002082165
2014-11-26,0.0023005835
2014-11-27,0.0013241221
2014-11-28,0.0024014723
2014-12-01,0.002855333
2014-12-02,0.002785668
2014-12-03,0.002389182
2014-12-04,0.002025936
2014-12-05,0.0020168447
2014-12-08,0.0020666814
2014-12-09,0.0024154617
2014-12-10,0.0024409976
2014-12-11,0.0024232103
2014-12-12,0.0023115233
2014-12-15,0.001911843
2014-12-16,0.0017868208
2014-12-17,0.0013590625
2014-12-18,0.0015385451
2014-12-19,0.0021742845
2014-12-22,0.0013249291
2014-12-23,0.001316064
2014-12-24,0.0015193524
2014-12-25,0.001546378
2014-12-26,0.001775675
2014-12-29,0.0015957833
2014-12-30,0.0016637661
2014-12-31,0.0016683117
2015-01-05,0.0016191027
2015-01-06,0.0015691875
2015-01-07,0.0015842316
2015-01-08,0.0014871641
2015-01-09,0.0018009276
2015-01-12,0.0010441563
2015-01-13,0.00059439003
2015-01-14,0.00079952955
2015-01-15,0.0013774312
2015-01-16,0.0015747009
2015-01-19,0.0016942739
2015-01-20,0.0019235404
2015-01-21,0.0017436724
2015-01-22,0.0021118612
2015-01-23,0.0018522588
2015-01-26,0.0014277045
2015-01-27,0.002031971
2015-01-28,0.0019662082
2015-01-29,0.0018732129
2015-01-30,0.0019344457
2015-02-02,0.002021029
2015-02-03,0.002232516
2015-02-04,0.00216372
2015-02-05,0.0016982162
2015-02-06,0.0016904431
2015-02-09,0.0022356894
2015-02-10,0.0024118815
2015-02-11,0.00069944456
2015-02-12,0.0021651967
2015-02-13,0.00086567533
2015-02-24,0.0008738888
2015-02-25,0.0008754072
2015-02-26,0.0011345146
2015-02-27,0.0011662119
2015-03-02,0.001055585
2015-03-03,0.000706703
2015-03-04,0.0012787338
2015-03-05,0.0015429554
2015-03-06,0.0012313854
2015-03-09,0.0013770107
2015-03-10,0.0016159301
2015-03-11,0.0013840457
2015-03-12,0.0015403284
2015-03-13,0.001323588
2015-03-16,0.0017460373
2015-03-17,0.0015271315
2015-03-18,0.0016943077
2015-03-19,0.0017235109
2015-03-20,0.0016444728
2015-03-23,0.0015620084
2015-03-24,0.001756655
2015-03-25,0.001729717
2015-03-26,0.0032250013
2015-03-27,0.002965564
2015-03-30,0.0034320145
2015-03-31,0.003407227
2015-04-01,0.0024922825
2015-04-02,0.0028229381
2015-04-03,0.0027060844
2015-04-06,0.0022887324
2015-04-07,0.0025126766
2015-04-08,0.0024552278
2015-04-09,0.0022732667
2015-04-10,0.00227728
2015-04-13,0.0021461153
2015-04-14,0.0018300505
2015-04-15,0.0017097525
2015-04-16,0.0014300435
2015-04-17,0.0012943228
2015-04-20,0.0015931532
2015-04-21,0.0018105088
2015-04-22,0.001924647
2015-04-23,0.0024371524
2015-04-24,0.002346747
2015-04-27,0.0018948598
2015-05-04,0.0019222598
2015-05-05,0.0020713496
2015-05-06,0.0025648298
2015-05-07,0.0020675627
2015-05-08,0.0020576841
2015-05-11,0.0020550024
2015-05-12,0.002046396
2015-05-13,0.0021076933
2015-05-14,0.0020693273
2015-05-15,0.0020256666
2015-05-18,0.0021095534
2015-05-19,0.0021258334
2015-05-20,0.0019429566
2015-05-21,0.0013481071
2015-05-22,0.0016283833
2015-05-25,0.0015938235
2015-05-26,0.0017110119
2015-05-27,0.0018291385
2015-05-28,0.0019217918
2015-05-29,0.0018696995
2015-06-01,0.0019366704
2015-06-02,0.0024238075
2015-06-03,0.0021752713
2015-06-04,0.0018669118
2015-06-05,0.0018257308
2015-06-08,0.0012924892
2015-06-09,0.0015245427
2015-06-10,0.0018044792
2015-06-11,0.0016203704
2015-06-12,0.0012349705
2015-06-15,0.0014187463
2015-06-16,0.001915317
2015-06-17,0.002162912
2015-06-18,0.0023030739
2015-06-19,0.0010167146
2015-06-22,0.0009790673
2015-06-23,0.0010007792
2015-06-24,0.0010387776
2015-06-25,0.001161424
2015-06-26,0.001263163
2015-06-29,0.0012968208
2015-06-30,0.0014431735
2015-07-01,0.0015064555
2015-07-02,0.0014482737
2015-07-03,0.001599635
2015-07-06,0.0020278892
2015-07-07,0.001728524
2015-07-08,0.0015160083
2015-07-09,0.0016750249
2015-07-10,0.0022315204
2015-07-13,0.0017051189
2015-07-14,0.0016273255
2015-07-15,0.0014466152
2015-07-16,0.0016291414
2015-07-17,0.0016406367
2015-07-20,0.0016191497
2015-07-21,0.0020479115
2015-07-22,0.0015614161
2015-07-23,0.0016021796
2015-07-24,0.0018948666
2015-07-27,0.0015024615
2015-07-28,0.002287064
2015-07-29,0.0024610762
2015-07-30,0.0025086892
2015-07-31,0.002353866
2015-08-03,0.002328758
2015-08-04,0.0024611114
2015-08-05,0.0023107429
2015-08-06,0.0021569973
2015-08-07,0.0021440373
2015-08-10,0.0020903584
2015-08-11,0.0021496657
2015-08-12,0.0020827116
2015-08-13,0.002093732
2015-08-14,0.0021660207
2015-08-17,0.0022891192
2015-08-18,0.0029675432
2015-08-19,0.0029134608
2015-08-20,0.0028641485
2015-08-21,0.002879033
2015-08-24,0.0029436515
2015-08-25,0.0029854155
2015-08-26,0.0027773716
