date,risk_score
2018-05-08,0.0006913566
2018-05-09,0.0016852925
2018-05-10,0.0004907935
2018-05-11,0.0025058943
2018-05-14,0.0022993227
2018-05-15,0.0017020935
2018-05-16,0.0016037165
2018-05-17,0.0022343635
2018-05-18,0.0018685714
2018-05-21,0.0015195874
2018-05-22,0.0014255475
2018-05-23,0.00014642067
2018-05-24,0.0019167557
2018-05-25,0.00018968387
2018-05-28,0.00065773074
2018-05-29,0.0007399935
2018-05-30,0.0017142119
2018-05-31,0.0050652255
2018-06-01,0.001311319
2018-06-04,0.0020503546
2018-06-05,0.0020183607
2018-06-06,0.0018949797
2018-06-07,0.0022814393
2018-06-08,0.0013189092
2018-06-11,0.0019929886
2018-06-12,0.0021679502
2018-06-13,0.0021917964
2018-06-14,0.0020952881
2018-06-15,0.0018548465
2018-06-18,0.002005345
2018-06-19,0.0022239138
2018-06-20,0.0030669873
2018-06-21,0.0015340238
2018-06-22,0.0024494806
2018-06-25,0.0023384755
2018-06-26,0.006157749
2018-06-27,0.004528293
2018-06-28,0.002413685
2018-06-29,0.0040528965
2018-07-02,0.0013595787
2018-07-03,0.0024756414
2018-07-04,0.0023604254
2018-07-05,0.004610711
2018-07-06,0.00029436452
2018-07-09,0.0030214926
2018-07-10,0.0032518804
2018-07-11,0.0022083884
2018-07-12,0.0010617836
2018-07-13,0.0034740895
2018-07-16,0.0016201767
2018-07-17,0.0015865345
2018-07-18,0.00488207
2018-07-19,0.0022485186
2018-07-20,0.0008339295
2018-07-23,0.0019569895
2018-07-24,0.0021445262
2018-07-25,0.0020177579
2018-07-26,0.0019358394
2018-07-27,0.0018968896
2018-07-30,0.003847449
2018-07-31,0.0013490985
2018-08-01,0.0019470425
2018-08-02,0.0013370086
2018-08-03,0.0020982586
2018-08-06,0.0015031528
2018-08-07,0.002109219
2018-08-08,0.00031663617
2018-08-09,0.002131358
2018-08-10,0.0011696722
2018-08-13,0.001764887
2018-08-14,0.0023539122
2018-08-15,0.00183538
2018-08-16,0.0021606663
2018-08-17,0.0019509499
2018-08-20,0.0017844988
2018-08-21,0.0014434205
2018-08-22,0.0014799442
2018-08-23,0.0017592236
2018-08-24,0.0016925684
2018-08-27,0.0013432931
2018-08-28,0.003217542
2018-08-29,0.0028065536
2018-08-30,0.0018708401
2018-08-31,0.001871042
2018-09-04,0.001985658
2018-09-05,0.0037707707
2018-09-06,0.0019510987
2018-09-07,0.0017199288
2018-09-10,0.002234152
2018-09-11,0.000683669
2018-09-12,0.003243205
2018-09-13,0.0020103636
2018-09-14,0.0019122295
2018-09-17,0.0012921062
2018-09-18,0.00070923707
2018-09-19,0.001022357
2018-09-20,0.0013705976
2018-09-21,0.0019003695
2018-09-24,0.002046536
2018-09-25,0.0016504475
2018-09-26,0.0012600506
2018-09-27,0.0010941983
2018-09-28,0.00082626706
2018-10-01,0.0018973746
2018-10-02,0.0010173405
2018-10-03,0.0016528103
2018-10-04,0.001228659
2018-10-05,0.0015034992
2018-10-08,0.0018671514
2018-10-09,0.0010422254
2018-10-10,0.0012220605
2018-10-11,0.0014154902
2018-10-12,5.4089818e-05
2018-10-15,0.001293208
2018-10-16,0.0015991665
2018-10-17,0.0013704575
2018-10-18,0.0009517018
2018-10-19,0.00010765111
2018-10-22,0.00032823905
2018-10-23,0.0009771371
2018-10-24,0.0017271508
2018-10-25,0.00024427986
2018-10-26,0.00034711277
2018-10-29,0.0025954717
2018-10-30,0.0018096184
2018-10-31,0.0017197779
2018-11-01,0.0026609919
2018-11-02,0.00089696376
2018-11-05,0.00058269734
2018-11-06,0.00080363685
2018-11-07,0.00051781256
2018-11-08,0.0007586372
2018-11-09,0.0005722665
2018-11-12,0.0002770233
2018-11-13,0.0013066609
2018-11-14,0.0015438404
2018-11-15,0.0017728028
2018-11-16,0.0011732848
2018-11-19,0.001202058
2018-11-20,0.0010351613
2018-11-21,0.0016054106
2018-11-22,0.0007287427
2018-11-23,0.00247796
2018-11-26,0.0007060915
2018-11-27,0.007853853
2018-11-28,0.0031285286
2018-11-29,0.0109519195
2018-11-30,0.0067406907
2018-12-03,0.0038207364
2018-12-04,0.0020650995
2018-12-05,0.0024269575
2018-12-06,0.0015716301
2018-12-07,0.0012169462
2018-12-10,0.0010580211
2018-12-11,0.0010098582
2018-12-12,0.0007568421
2018-12-13,0.0017958335
2018-12-14,0.0016144305
2018-12-17,0.0015290603
2018-12-18,0.001371996
2018-12-19,0.0011009825
2018-12-20,0.0012565791
2018-12-21,0.0022806071
2018-12-24,0.001609352
2018-12-25,0.000176528
2018-12-26,0.00047694286
2018-12-27,0.001670158
2018-12-28,0.0020360749
2019-01-02,0.003263915
2019-01-03,0.0004591574
2019-01-04,0.0014259196
2019-01-07,0.0009589847
2019-01-08,0.00094719697
2019-01-09,0.0012671244
2019-01-10,0.0010554758
2019-01-11,0.0012797979
2019-01-14,0.0005595195
2019-01-15,0.0009301924
2019-01-16,0.00080076605
2019-01-17,0.0008081533
2019-01-18,0.00080646854
2019-01-21,0.00075138686
2019-01-22,0.00068386877
2019-01-23,0.0012673447
2019-01-24,0.0014365343
2019-01-25,0.0012243954
2019-01-28,0.0010535577
2019-01-29,0.0011049979
2019-01-30,0.0009483304
2019-01-31,0.0013811742
2019-02-01,0.0011143987
2019-02-11,0.0026333574
2019-02-12,0.0020001044
2019-02-13,0.00020140596
2019-02-14,0.0012581288
2019-02-15,0.0010127272
2019-02-18,0.0033518749
2019-02-19,0.00028911978
2019-02-20,0.000717985
2019-02-21,0.0018512805
2019-02-22,0.0014636535
2019-02-25,0.001570418
2019-02-26,0.0012969817
2019-02-27,0.001415485
2019-02-28,0.0015946846
2019-03-01,0.0013895533
2019-03-04,0.0011432017
2019-03-05,0.0055829063
2019-03-06,0.0013687722
2019-03-07,0.001230278
2019-03-08,0.0010348829
2019-03-11,0.00063387584
2019-03-12,0.0015134597
2019-03-13,0.0018066396
2019-03-14,0.0012352914
2019-03-15,0.0006941394
2019-03-18,0.00071699964
2019-03-19,0.0009743674
2019-03-20,0.0022499808
2019-03-21,0.0016603018
2019-03-22,0.0014045192
2019-03-25,0.0010762252
2019-03-26,0.0010869536
2019-03-27,0.0020226662
2019-03-28,0.0011270395
2019-03-29,0.0006447551
2019-04-01,0.0029341774
2019-04-02,0.001637157
2019-04-03,0.002983636
2019-04-04,0.0022880528
2019-04-05,0.0017808848
2019-04-08,0.0024276013
2019-04-09,0.0017974079
2019-04-10,0.0005047433
2019-04-11,0.00044075446
2019-04-12,0.0005201129
2019-04-16,0.0006918148
2019-04-17,0.0023030208
2019-04-18,0.0010903683
2019-04-19,0.0013866709
2019-04-22,0.0013261004
2019-04-23,0.0011442131
2019-04-24,0.00029966515
2019-04-25,0.00070805615
2019-04-26,0.0011233408
2019-05-02,0.0005588373
2019-05-03,0.0005046311
2019-05-06,0.0016305097
2019-05-07,0.0013973298
2019-05-08,0.0008341498
2019-05-09,0.00082165375
2019-05-10,0.00032738876
2019-05-13,5.6321733e-05
2019-05-14,0.00058640214
2019-05-15,0.002706737
2019-05-16,0.0020079361
2019-05-17,0.0013212906
2019-05-20,0.0006284518
2019-05-21,0.0017646453
2019-05-22,0.0014018724
2019-05-23,0.0018343269
2019-05-24,0.0020461897
2019-05-27,0.0014323099
2019-05-28,0.001324032
2019-05-29,0.0015141484
2019-05-30,0.0013557654
2019-05-31,0.0013285545
2019-06-03,0.0013280096
2019-06-04,0.0009237672
2019-06-05,0.0012533446
2019-06-06,0.0011990261
2019-06-07,0.0010504485
2019-06-10,0.0014344323
2019-06-11,0.00019214582
2019-06-12,0.0004708888
2019-06-13,0.00019399403
2019-06-14,0.0011132169
2019-06-17,0.0002933382
2019-06-18,0.0075128498
2019-06-19,0.001672395
2019-06-20,0.0018734823
2019-06-21,0.0014112806
2019-06-24,0.0016204789
2019-06-25,0.0017224071
2019-06-26,0.0016599037
2019-06-27,0.0013534823
2019-06-28,0.0012790719
2019-07-01,0.0025407495
2019-07-02,0.0005538841
2019-07-03,0.0007337439
2019-07-04,0.00071560265
2019-07-05,0.00085631805
2019-07-08,0.0010502595
2019-07-09,0.0005369019
2019-07-10,6.433483e-05
2019-07-11,0.0005679731
2019-07-12,0.00087574776
2019-07-15,0.0006284411
2019-07-16,6.427849e-05
2019-07-17,0.00078207394
2019-07-18,0.0006663883
2019-07-19,0.0007842253
2019-07-22,0.001512073
2019-07-23,0.0012124712
2019-07-24,0.00037506456
2019-07-25,0.0011509731
2019-07-26,0.0023812135
2019-07-29,0.0001368639
2019-07-30,0.0028698528
2019-07-31,0.001528088
2019-08-01,0.0018796562
2019-08-02,0.008681632
2019-08-05,0.0013333643
2019-08-06,0.00076254085
2019-08-07,0.0012902506
2019-08-08,0.0008922871
2019-08-09,0.00288159
2019-08-12,0.0022911234
2019-08-13,0.001079096
2019-08-14,0.0011781738
2019-08-15,0.0017896742
2019-08-16,0.0017724903
2019-08-19,0.0023447794
2019-08-20,0.0018468921
2019-08-21,0.0012374022
2019-08-22,0.0013030176
2019-08-23,0.0015237215
2019-08-26,0.0021820003
2019-08-27,0.0020056474
2019-08-28,0.001501102
2019-08-29,0.0009391685
2019-08-30,0.00022926042
2019-09-03,0.0011775894
2019-09-04,0.001677304
2019-09-05,0.0012039416
2019-09-06,0.0012652637
2019-09-09,0.0013822853
2019-09-10,0.001774875
2019-09-11,0.002036078
2019-09-12,0.0016930881
2019-09-13,0.0016802549
2019-09-16,0.0015330841
2019-09-17,0.012865247
2019-09-18,0.0047651995
2019-09-19,0.0023899262
2019-09-20,0.0014164695
2019-09-23,0.0011290219
2019-09-24,0.0007692743
2019-09-25,0.0015420979
2019-09-26,0.0018919343
2019-09-27,0.0018507275
2019-09-30,0.0015413961
2019-10-01,0.0010381425
2019-10-02,0.00033399044
2019-10-03,0.0005205674
2019-10-04,0.00095811114
2019-10-07,0.0009999694
2019-10-08,0.00083757425
2019-10-09,0.0011163019
2019-10-10,0.0011858209
2019-10-11,0.0011167084
2019-10-14,0.0009832373
2019-10-15,0.0022321404
2019-10-16,0.0021800424
2019-10-17,0.0024274471
2019-10-18,0.0012487029
2019-10-21,0.001353621
2019-10-22,0.0013303752
2019-10-23,0.0005739066
2019-10-24,0.0017701248
2019-10-25,0.0012416737
2019-10-28,0.0029129297
2019-10-29,0.0014716238
2019-10-30,0.0016005719
2019-10-31,0.0020399448
2019-11-01,0.0015844707
2019-11-04,0.0011255327
2019-11-05,0.0012443089
2019-11-06,0.0019830933
2019-11-07,0.0019208288
2019-11-08,0.0015155068
2019-11-11,0.0010583396
2019-11-12,0.0013733748
2019-11-13,0.00072574336
2019-11-14,6.662402e-05
2019-11-15,0.00046137767
2019-11-18,0.00080303755
2019-11-19,0.00076431455
2019-11-20,0.0007710969
2019-11-21,0.0011832789
2019-11-22,0.00071215583
2019-11-25,0.0011171573
2019-11-26,0.0021628917
2019-11-27,0.0019174798
2019-11-28,0.0012266142
2019-11-29,0.0010152115
2019-12-02,0.0009147716
2019-12-03,0.0009096903
2019-12-04,0.00015500514
2019-12-05,0.0022088056
2019-12-06,0.00267433
2019-12-09,0.0017181109
2019-12-10,0.0013597668
2019-12-11,0.0005369042
2019-12-12,0.0014469372
2019-12-13,0.001753692
2019-12-16,0.0022854765
2019-12-17,0.0014870409
2019-12-18,0.001053628
2019-12-19,0.0035494878
2019-12-20,0.0012931782
2019-12-23,0.0013686623
2019-12-24,0.0012939386
2019-12-25,0.0016165846
2019-12-26,0.0013900581
2019-12-27,0.0014040829
2019-12-30,0.0014932738
2019-12-31,0.0016306732
2020-01-02,0.0014093248
2020-01-03,0.00065168785
2020-01-06,0.00072867563
2020-01-07,0.0011685109
2020-01-08,0.0012917263
2020-01-09,0.007564692
2020-01-10,0.0010936358
2020-01-13,0.0008616387
2020-01-14,0.0006327545
2020-01-15,0.001366748
2020-01-16,0.0015564528
2020-01-17,0.0014872714
2020-01-20,0.00186458
2020-01-21,0.001561854
2020-01-22,0.0016931677
2020-01-30,0.0015614876
2020-01-31,0.00068191113
2020-02-03,7.382454e-05
2020-02-04,0.0009298683
2020-02-05,0.0003645313
2020-02-06,0.0010007583
2020-02-07,0.0014300682
2020-02-10,0.0014900262
2020-02-11,0.0012867707
2020-02-12,0.0014651329
2020-02-13,0.00013856543
2020-02-14,0.00021522911
2020-02-17,0.0006786105
2020-02-18,0.0016998504
2020-02-19,0.0009771353
2020-02-20,0.0011567231
2020-02-21,0.0012909928
2020-02-24,0.0013068654
2020-02-25,0.001520962
2020-02-26,4.6277884e-05
2020-02-27,0.0018453812
2020-02-28,0.0014524702
2020-03-02,0.0018757363
2020-03-03,0.0013825954
2020-03-04,0.0018465901
2020-03-05,0.0022021057
2020-03-06,0.001489786
2020-03-09,0.0011421489
2020-03-10,0.0043402594
2020-03-11,0.003621987
2020-03-12,0.0027612704
2020-03-13,0.005974127
2020-03-16,0.0027752626
2020-03-17,0.004267046
2020-03-18,0.00223852
2020-03-19,0.002358791
