date,risk_score
2014-10-22,0.00067565514
2014-10-23,0.0006744351
2014-10-24,0.0009385626
2014-10-27,0.00083188264
2014-10-28,0.0010742052
2014-10-29,0.0010800622
2014-10-30,0.000517199
2014-10-31,0.00063874276
2014-11-03,0.00088792416
2014-11-04,0.00038613816
2014-11-05,0.0010361166
2014-11-06,0.0010292465
2014-11-07,0.00115289
2014-11-10,0.0009908408
2014-11-11,0.0013856567
2014-11-12,0.0014805032
2014-11-13,0.0012379403
2014-11-14,0.0011602337
2014-11-17,0.0014161828
2014-11-18,0.001378896
2014-11-19,0.0012228689
2014-11-20,0.002765203
2014-11-21,0.0015298068
2014-11-24,0.0014088755
2014-11-25,0.0015812246
2014-11-26,0.0014056305
2014-11-27,0.001169737
2014-11-28,0.001590237
2014-12-01,0.0014434236
2014-12-02,0.0013225868
2014-12-03,0.0007626721
2014-12-04,0.0012629894
2014-12-05,0.0010197957
2014-12-08,0.0011758248
2014-12-09,0.0013407317
2014-12-10,0.0022378217
2014-12-11,0.0010390431
2014-12-12,0.0011571085
2014-12-15,0.0013381795
2014-12-16,0.0013671371
2014-12-17,0.0029346885
2014-12-18,0.0022480662
2014-12-19,0.0006351312
2014-12-22,0.0009423658
2014-12-23,0.0010855121
2014-12-24,0.0010259172
2014-12-25,0.0013616832
2014-12-26,0.0014477831
2014-12-29,0.0018424124
2014-12-30,0.0018139938
2014-12-31,0.001357046
2015-01-05,0.00088714116
2015-01-06,0.00084838615
2015-01-07,0.00060788443
2015-01-08,0.00064525096
2015-01-09,0.00095416623
2015-01-12,0.0011917588
2015-01-13,0.0012424046
2015-01-14,0.0013086924
2015-01-15,0.0011527855
2015-01-16,0.0010852253
2015-01-19,0.0006587118
2015-01-20,0.0013152689
2015-01-21,0.0013887163
2015-01-22,0.0015590366
2015-01-23,0.00132275
2015-01-26,0.0012454621
2015-01-27,0.0016201925
2015-01-28,0.0014235713
2015-01-29,0.0014511568
2015-01-30,0.0014874076
2015-02-02,0.0012972918
2015-02-03,0.001459568
2015-02-04,0.0016342939
2015-02-05,0.0017400491
2015-02-06,0.0016684083
2015-02-09,0.0016032332
2015-02-10,0.0015721235
2015-02-11,0.001482192
2015-02-12,0.0013620653
2015-02-13,0.001437648
2015-02-24,0.0011282307
2015-02-25,0.00064934854
2015-02-26,0.0010181626
2015-02-27,0.0011834677
2015-03-02,0.0012316897
2015-03-03,0.0015122674
2015-03-04,0.0013381122
2015-03-05,0.0015181808
2015-03-06,0.0018001392
2015-03-09,2.2978114e-05
2015-03-10,0.0004781108
2015-03-11,0.0014843144
2015-03-12,0.0009826666
2015-03-13,0.0012316001
2015-03-16,0.0013069508
2015-03-17,0.0012679349
2015-03-18,0.001475933
2015-03-19,0.0014120196
2015-03-20,0.0014717288
2015-03-23,0.0014599233
2015-03-24,0.0015114606
2015-03-25,0.0014045346
2015-03-26,0.0013402828
2015-03-27,0.0013675105
2015-03-30,0.0013708794
2015-03-31,0.0012629691
2015-04-01,0.0012755352
2015-04-02,0.0014533745
2015-04-03,0.0010677578
2015-04-06,0.00070225954
2015-04-07,0.0012869451
2015-04-08,0.0009200263
2015-04-09,0.0012378797
2015-04-10,0.0014324887
2015-04-13,0.0014826194
2015-04-14,0.0014233061
2015-04-15,0.0014843589
2015-04-16,0.0018630065
2015-04-17,0.0008344631
2015-04-20,0.0010439025
2015-04-21,0.0010855033
2015-04-22,0.002220686
2015-04-23,0.000298534
2015-04-24,0.0006727846
2015-04-27,0.0019894533
2015-05-04,0.0008298194
2015-05-05,0.0014164795
2015-05-06,0.0012098753
2015-05-07,0.0013602823
2015-05-08,0.0014456499
2015-05-11,0.0013557216
2015-05-12,0.0013342553
2015-05-13,0.0014334146
2015-05-14,0.0013350735
2015-05-15,0.0013016565
2015-05-18,0.0011687675
2015-05-19,0.00044719322
2015-05-20,0.00030642183
2015-05-21,0.0009053634
2015-05-22,0.0007963633
2015-05-25,0.001293018
2015-05-26,0.0019193368
2015-05-27,0.0016888313
2015-05-28,0.0015366564
2015-05-29,0.0013962227
2015-06-01,0.0015707447
2015-06-02,0.0014272013
2015-06-03,0.0013411206
2015-06-04,0.001239391
2015-06-05,0.0010899655
2015-06-08,0.00013382331
2015-06-09,0.00033211993
2015-06-10,0.0013306786
2015-06-11,0.0010305902
2015-06-12,0.0011952354
2015-06-15,0.0010392617
2015-06-16,0.0014418336
2015-06-17,0.0011329826
2015-06-18,0.0015427929
2015-06-19,0.0014155116
2015-06-22,0.0012135126
2015-06-23,0.0013235479
2015-06-24,0.0015204158
2015-06-25,0.0015280589
