date,risk_score
2015-09-09,0.0018402578
2015-09-10,0.0018547629
2015-09-11,0.0018636952
2015-09-14,0.0018680091
2015-09-15,0.0018691504
2015-09-16,0.0018672019
2015-09-17,0.0018621408
2015-09-18,0.001853111
2015-09-21,0.0018487175
2015-09-22,0.0018430306
2015-09-23,0.0018431176
2015-09-24,0.0038095885
2015-09-25,0.003590248
2015-09-28,0.0014304768
2015-09-29,0.001487507
2015-09-30,0.0015946296
2015-10-01,0.0026508565
2015-10-02,0.0021933056
2015-10-05,0.0015586645
2015-10-06,0.0016659303
2015-10-07,0.0017139292
2015-10-08,0.001738807
2015-10-09,0.0017937787
2015-10-12,0.0018162162
2015-10-13,0.0018158813
2015-10-14,0.0018128932
2015-10-15,0.0018097067
2015-10-16,0.0017362998
2015-10-19,0.0018611511
2015-10-20,0.0018715321
2015-10-21,0.0018497752
2015-10-22,0.001930706
2015-10-23,0.0020362511
2015-10-26,0.0034321335
2015-10-27,0.0018076831
2015-10-28,0.0017821754
2015-10-29,0.0017797921
2015-10-30,0.0018136117
2015-11-02,0.0018189987
2015-11-03,0.0018095241
2015-11-04,0.0018063146
2015-11-05,0.0018067977
2015-11-06,0.0018086799
2015-11-09,0.0018121141
2015-11-10,0.0018167172
2015-11-11,0.0018222027
2015-11-12,0.001828409
2015-11-13,0.0018333667
2015-11-16,0.0018377164
2015-11-17,0.0018421845
2015-11-18,0.0018468536
2015-11-19,0.0018490483
2015-11-20,0.0018497743
2015-11-23,0.0021811898
2015-11-24,0.0016920648
2015-11-25,0.0015881115
2015-11-26,0.0015879681
2015-11-27,0.0016119301
2015-11-30,0.0016409175
2015-12-01,0.0016694621
2015-12-02,0.001695652
2015-12-03,0.0017188468
2015-12-04,0.0033397798
2015-12-07,0.0023011616
2015-12-08,0.00170483
2015-12-09,0.00143835
2015-12-10,0.0015791852
2015-12-11,0.0016506661
2015-12-14,0.001689234
2015-12-15,0.0017122682
2015-12-16,0.0017270232
2015-12-17,0.0017382037
2015-12-18,0.0017464105
2015-12-21,0.0017446377
2015-12-22,0.0020427878
2015-12-23,0.001961409
2015-12-24,0.0033510125
2015-12-25,0.0019517743
2015-12-28,0.0019481599
2015-12-29,0.0019454448
2015-12-30,0.0017222539
2015-12-31,0.0017577393
2016-01-04,0.0018548176
2016-01-05,0.0019637656
2016-01-06,0.0018673376
2016-01-07,0.0018407758
2016-01-08,0.0018318426
2016-01-11,0.0022528688
2016-01-12,0.0017820986
2016-01-13,0.0019054983
2016-01-14,0.0019264868
2016-01-15,0.0019233434
2016-01-18,0.0017541938
2016-01-19,0.0017786892
2016-01-20,0.0017864238
2016-01-21,0.0017771875
2016-01-22,0.0019318219
2016-01-25,0.0018918784
2016-01-26,0.0018450313
2016-01-27,0.0019189587
2016-01-28,0.0017570595
2016-01-29,0.0017558786
2016-02-01,0.0017685601
2016-02-02,0.0017325487
2016-02-03,0.0017284995
2016-02-04,0.0017769502
2016-02-05,0.0017806077
2016-02-15,0.002004254
2016-02-16,0.0016685675
2016-02-17,0.0015698657
2016-02-18,0.0015700634
2016-02-19,0.0015930887
2016-02-22,0.0034589302
2016-02-23,0.0024823481
2016-02-24,0.002285287
2016-02-25,0.0023086462
2016-02-26,0.0022619048
2016-02-29,0.00220223
2016-03-01,0.0021450822
2016-03-02,0.00210499
2016-03-03,0.0020868708
2016-03-04,0.0020465727
2016-03-07,0.0020068053
2016-03-08,0.0019923982
2016-03-09,0.0019750898
2016-03-10,0.0019586391
2016-03-11,0.0019493159
2016-03-14,0.0019420628
2016-03-15,0.0016363675
2016-03-16,0.0013251002
2016-03-17,0.0011411137
2016-03-18,0.0036954535
2016-03-21,0.0009167988
2016-03-22,0.0010618938
2016-03-23,0.0061144084
2016-03-24,0.002409027
2016-03-25,0.0024684572
2016-03-28,0.0023364695
2016-03-29,0.0023267346
2016-03-30,0.0023096055
2016-03-31,0.0022824423
2016-04-01,0.0022507478
2016-04-04,0.0022173028
2016-04-05,0.002184127
2016-04-06,0.0021529712
2016-04-07,0.0048381034
2016-04-08,0.0033137114
2016-04-11,0.003237212
2016-04-12,0.0029555599
2016-04-13,0.0027848037
2016-04-14,0.0026328606
2016-04-15,0.0030777985
2016-04-19,0.0024519449
2016-04-20,0.0021993867
2016-04-21,0.0031850385
2016-04-22,0.0019762628
2016-04-25,0.0018042326
2016-04-26,0.0018061206
2016-04-27,0.0018381607
2016-04-28,0.0018685709
2016-04-29,0.0018940396
2016-05-04,0.0019156025
2016-05-05,0.0019328261
2016-05-06,0.0019462111
2016-05-09,0.0019576896
2016-05-10,0.00023352678
2016-05-11,0.0014268502
2016-05-12,0.0014231957
2016-05-13,0.0014796038
2016-05-16,0.001549039
2016-05-17,0.0016228394
2016-05-18,0.0016962297
2016-05-19,0.0017655902
2016-05-20,0.001831424
2016-05-23,0.0018920868
2016-05-24,0.0019425282
2016-05-25,0.0019870428
2016-05-26,0.0020256317
2016-05-27,0.0020582373
2016-05-30,0.003974995
2016-05-31,0.0046282928
2016-06-01,0.0006948444
2016-06-02,0.00083658454
2016-06-03,0.0010166944
2016-06-06,0.0011319825
2016-06-07,0.0011943621
2016-06-08,0.0012360793
2016-06-09,0.0012617495
2016-06-10,0.0012826207
2016-06-13,0.0013029652
2016-06-14,0.0013204822
2016-06-15,0.0026260128
2016-06-16,0.0027417454
2016-06-17,0.0013953187
2016-06-20,0.0015099102
2016-06-21,0.0015384934
2016-06-22,0.0046679396
2016-06-23,0.0011411768
2016-06-24,0.0011582449
2016-06-27,0.002338685
2016-06-28,0.0012081771
2016-06-29,0.0013884872
2016-06-30,0.001306074
2016-07-01,0.001322445
2016-07-04,0.0066232868
2016-07-05,0.0027595689
2016-07-06,0.0027898396
2016-07-07,0.0025366934
2016-07-08,0.001202069
2016-07-11,0.00057634857
2016-07-12,0.00087797345
2016-07-13,0.0008849182
2016-07-14,0.00093930744
2016-07-15,0.0009982106
2016-07-18,0.0015845946
2016-07-19,0.0014769989
2016-07-20,0.0015883672
2016-07-21,0.0015866915
2016-07-22,0.0013079979
2016-07-25,0.001633751
2016-07-26,0.0015934247
2016-07-27,0.0014526045
2016-07-28,0.0014149619
2016-07-29,0.0013980372
2016-08-01,0.0021198932
2016-08-02,0.00129033
2016-08-03,0.0010703066
2016-08-04,0.0010532083
2016-08-05,0.0011540169
2016-08-08,0.0019619253
2016-08-09,0.0011364531
2016-08-10,0.001442235
2016-08-11,0.0010831412
2016-08-12,0.0012347328
2016-08-15,0.0012692425
2016-08-16,0.0025848288
2016-08-17,0.0011245843
2016-08-18,0.0012054078
2016-08-19,0.005190315
2016-08-22,0.0008344169
2016-08-23,0.00095346506
2016-08-24,0.0010125309
2016-08-25,0.0009998227
2016-08-26,0.0010985937
2016-08-29,0.0011353604
2016-08-30,0.0011628221
2016-08-31,0.0011795585
2016-09-01,0.0011909057
2016-09-05,0.0012268291
2016-09-06,0.0012301491
2016-09-07,0.001260929
2016-09-08,0.0012214058
2016-09-09,0.0012988914
2016-09-12,0.0012557358
2016-09-13,0.001251414
2016-09-14,0.0012124749
2016-09-15,0.001373867
2016-09-16,0.0012836417
2016-09-19,0.0013753248
2016-09-20,0.0017393543
2016-09-21,0.0014893357
2016-09-22,0.0016026723
2016-09-23,0.0017812825
2016-09-26,0.0016162682
2016-09-27,0.0016464279
2016-09-28,0.009020568
2016-09-29,0.00025419836
2016-09-30,0.0010185646
2016-10-03,0.009158572
2016-10-04,0.0071257628
2016-10-05,0.0051987884
2016-10-06,0.0045601283
2016-10-07,0.0037950003
2016-10-10,0.0048643006
2016-10-11,0.0040259734
2016-10-12,0.0035270022
2016-10-13,0.0030833757
2016-10-14,0.0027937985
2016-10-17,0.0025910242
2016-10-18,0.002454511
2016-10-19,0.0023514545
2016-10-20,0.0022730113
2016-10-21,0.0022157303
2016-10-24,0.0021721032
2016-10-25,0.002138566
2016-10-26,0.002452967
2016-10-27,0.0025460613
2016-10-28,0.0020801218
2016-10-31,0.0013855016
2016-11-01,0.00054727064
2016-11-02,0.0048659905
2016-11-03,0.006400541
2016-11-04,0.0030015702
2016-11-07,0.0021970707
2016-11-08,0.0023510698
2016-11-09,0.001723953
2016-11-10,0.0013085108
2016-11-11,0.00034040885
2016-11-14,0.0060470654
2016-11-15,0.0031672805
2016-11-16,0.0064766067
2016-11-17,0.0036787242
2016-11-18,0.0031178321
