date,risk_score
2014-10-22,0.0017214539
2014-10-23,0.0016237977
2014-10-24,0.0020207283
2014-10-27,0.0020712388
2014-10-28,0.0024378404
2014-10-29,0.0022898417
2014-10-30,0.0016878552
2014-10-31,0.0014186811
2014-11-03,0.0019286834
2014-11-04,0.001657339
2014-11-05,0.001669286
2014-11-06,0.0018560404
2014-11-07,0.0012997524
2014-11-10,0.0015642315
2014-11-11,0.0015619579
2014-11-12,0.0016021605
2014-11-13,0.0016326059
2014-11-14,0.0017608607
2014-11-17,0.0017194301
2014-11-18,0.0016314746
2014-11-19,0.0015915451
2014-11-20,0.0019649263
2014-11-21,0.0017574378
2014-11-24,0.0017055569
2014-11-25,0.0017963105
2014-11-26,0.0017713243
2014-11-27,0.0015728143
2014-11-28,0.0023699645
2014-12-01,0.001916911
2014-12-02,0.0016225816
2014-12-03,0.0020292967
2014-12-04,0.0021371376
2014-12-05,0.0016596997
2014-12-08,0.0015773803
2014-12-09,0.001591061
2014-12-10,0.0016063936
2014-12-11,0.0021617692
2014-12-12,0.0022750057
2014-12-15,0.0022205198
2014-12-16,0.0015909991
2014-12-17,0.0015840358
2014-12-18,0.0015446479
2014-12-19,0.0016937947
2014-12-22,0.001658478
2014-12-23,0.0020872056
2014-12-24,0.0021898125
2014-12-25,0.00350369
2014-12-26,0.001697463
2014-12-29,0.0017878234
2014-12-30,0.001747356
2014-12-31,0.0017397918
2015-01-05,0.0017567584
2015-01-06,0.0017675098
2015-01-07,0.0017837412
2015-01-08,0.0017948272
2015-01-09,0.0017355657
2015-01-12,0.0018430336
2015-01-13,0.0018462627
2015-01-14,0.0018750352
2015-01-15,0.0018862954
2015-01-16,0.0018430525
2015-01-19,0.0018396231
2015-01-20,0.0018495254
2015-01-21,0.0018507629
2015-01-22,0.0018564269
2015-01-23,0.0018540474
2015-01-26,0.0021929836
2015-01-27,0.0020956139
2015-01-28,0.0019821404
2015-01-29,0.001538845
2015-01-30,0.0034080378
2015-02-02,0.0011481373
2015-02-03,0.0011587257
2015-02-04,0.0014597881
2015-02-05,0.0013974893
2015-02-06,0.0015650578
2015-02-09,0.0016867334
2015-02-10,0.0014633397
2015-02-11,0.0015751868
2015-02-12,0.0016187166
2015-02-13,0.0017814364
2015-02-24,0.001767783
2015-02-25,0.0018335509
2015-02-26,0.0018528434
2015-02-27,0.0016854226
2015-03-02,0.0016763471
2015-03-03,0.0018180276
2015-03-04,0.0016274229
2015-03-05,0.0016940713
2015-03-06,0.0016941193
2015-03-09,0.0017083972
2015-03-10,0.00328006
2015-03-11,0.0017739905
2015-03-12,0.001836909
2015-03-13,0.0019081833
2015-03-16,0.001758618
2015-03-17,0.001746635
2015-03-18,0.0018540812
2015-03-19,0.0018262633
2015-03-20,0.0018197107
2015-03-23,0.0018185554
2015-03-24,0.0018750089
2015-03-25,0.0029222697
2015-03-26,0.0019637502
2015-03-27,0.0020774805
