date,risk_score,risk_z,risk_regime
2014-10-22,0.001309445,0.0,NORMAL
2014-10-23,0.0026720925,0.0,NORMAL
2014-10-24,0.002092273,0.0,NORMAL
2014-10-27,0.0018458564,0.0,NORMAL
2014-10-28,0.012141074,0.0,NORMAL
2014-10-29,0.0017122878,0.0,NORMAL
2014-10-30,0.0014223412,0.0,NORMAL
2014-10-31,0.0005640171,0.0,NORMAL
2014-11-03,0.0015474623,0.0,NORMAL
2014-11-04,0.0004954985,0.0,NORMAL
2014-11-05,0.0002715696,0.0,NORMAL
2014-11-06,0.0013651329,0.0,NORMAL
2014-11-07,0.0014995085,0.0,NORMAL
2014-11-10,0.0015544627,0.0,NORMAL
2014-11-11,0.0015125539,0.0,NORMAL
2014-11-12,0.0013354047,0.0,NORMAL
2014-11-13,0.0005536716,0.0,NORMAL
2014-11-14,0.00051369664,0.0,NORMAL
2014-11-17,0.0009461085,0.0,NORMAL
2014-11-18,0.0014825189,0.0,NORMAL
2014-11-19,0.0028828168,0.0,NORMAL
2014-11-20,0.0011250568,0.0,NORMAL
2014-11-21,0.00102486,0.0,NORMAL
2014-11-24,0.0024672092,0.0,NORMAL
2014-11-25,0.0012266632,0.0,NORMAL
2014-11-26,0.0020803523,0.0,NORMAL
2014-11-27,0.001327114,0.0,NORMAL
2014-11-28,0.0025627124,0.0,NORMAL
2014-12-01,0.0014810422,0.0,NORMAL
2014-12-02,0.0032939997,0.0,NORMAL
2014-12-03,0.008082085,0.0,NORMAL
2014-12-04,0.0018080262,0.0,NORMAL
2014-12-05,0.001866978,0.0,NORMAL
2014-12-08,0.0011473438,0.0,NORMAL
2014-12-09,0.009925645,0.0,NORMAL
2014-12-10,0.0036938034,0.0,NORMAL
2014-12-11,0.0022135186,0.0,NORMAL
2014-12-12,0.000106003135,0.0,NORMAL
2014-12-15,0.0003300988,0.0,NORMAL
2014-12-16,0.0010477974,0.0,NORMAL
2014-12-17,0.0020912613,0.0,NORMAL
2014-12-18,0.011772676,0.0,NORMAL
2014-12-19,0.0035758605,0.0,NORMAL
2014-12-22,0.0013215125,0.0,NORMAL
2014-12-23,0.0012272126,0.0,NORMAL
2014-12-24,0.0015272028,0.0,NORMAL
2014-12-25,0.0014119078,0.0,NORMAL
2014-12-26,0.0017510785,0.0,NORMAL
2014-12-29,0.0023638648,0.0,NORMAL
2014-12-30,0.002048722,0.0,NORMAL
2014-12-31,0.0018939362,0.0,NORMAL
2015-01-05,0.0026263958,0.0,NORMAL
2015-01-06,0.0012687497,0.0,NORMAL
2015-01-07,0.001721381,0.0,NORMAL
2015-01-08,0.00012258545,0.0,NORMAL
2015-01-09,0.00020491134,0.0,NORMAL
2015-01-12,0.00043466972,0.0,NORMAL
2015-01-13,0.002524022,0.0,NORMAL
2015-01-14,0.0016622277,0.0,NORMAL
2015-01-15,0.0016759341,-0.20134165368668153,NORMAL
2015-01-16,0.0006971604,-0.600821060218172,NORMAL
2015-01-19,0.00046556588,-0.6788141757588531,NORMAL
2015-01-20,0.0010200816,-0.44259276907997264,NORMAL
2015-01-21,0.0016240508,-0.19298418993299596,NORMAL
2015-01-22,0.001193941,-0.35016463335162357,NORMAL
2015-01-23,0.000845289,-0.5121099573810758,NORMAL
2015-01-26,0.0019250305,0.009497035885942454,NORMAL
2015-01-27,0.0013547498,-0.27553203134442256,NORMAL
2015-01-28,0.0006505697,-0.6104701221546966,NORMAL
2015-01-29,0.0033539913,0.6832663123402216,NORMAL
2015-01-30,0.0012187914,-0.36627965021190034,NORMAL
2015-02-02,0.000844677,-0.5441465713206248,NORMAL
2015-02-03,0.008070823,2.737756053798777,HIGH
2015-02-04,0.0022291092,0.06836215427714892,NORMAL
2015-02-05,0.0017410128,-0.15614030851011815,NORMAL
2015-02-06,0.0018923121,-0.09140223611387228,NORMAL
2015-02-09,0.0011451583,-0.4384058879955757,NORMAL
2015-02-10,0.00093226135,-0.5402361393837619,NORMAL
2015-02-11,0.0009969452,-0.5110397802342186,NORMAL
2015-02-12,0.0032415038,0.5052474178655832,NORMAL
2015-02-13,0.0011185546,-0.4541363575982433,NORMAL
2015-02-24,0.0013983953,-0.32830802201031145,NORMAL
2015-02-25,0.0011812167,-0.4293103718005483,NORMAL
2015-02-26,0.0009908318,-0.5043573993562591,NORMAL
2015-02-27,0.0010793263,-0.46249306596689177,NORMAL
2015-03-02,0.0011513701,-0.4217945063015732,NORMAL
2015-03-03,0.0010446722,-0.4679773020447532,NORMAL
2015-03-04,0.0020311147,-0.013655047476254399,NORMAL
2015-03-05,0.0022471338,0.0792073637143345,NORMAL
2015-03-06,0.00043813704,-0.7242707842705558,NORMAL
2015-03-09,0.0007958432,-0.5413072099296252,NORMAL
2015-03-10,0.0032133418,0.6252448869005891,NORMAL
2015-03-11,0.0011956169,-0.35057992866073134,NORMAL
2015-03-12,0.0011798561,-0.3585381227540412,NORMAL
2015-03-13,0.0014794674,-0.16805862208640554,NORMAL
2015-03-16,0.0020179574,0.1536763639840161,NORMAL
2015-03-17,0.0013371365,-0.22677102212310032,NORMAL
2015-03-18,0.0006152547,-0.6463942482051465,NORMAL
2015-03-19,0.0022608566,0.2800191620188979,NORMAL
2015-03-20,0.0007507448,-0.5864040228355516,NORMAL
2015-03-23,0.00092952745,-0.4716310866996346,NORMAL
2015-03-24,0.0031068441,1.2973193382793133,HIGH
2015-03-25,0.0015278185,-0.039190214161015785,NORMAL
2015-03-26,0.0020226836,0.3890027069620204,NORMAL
2015-03-27,0.0053960877,3.0,HIGH
2015-03-30,0.002316549,0.5274289930515594,NORMAL
2015-03-31,0.0024741949,0.638918570722756,NORMAL
2015-04-01,0.002734559,0.831220157513052,NORMAL
2015-04-02,0.0005457255,-0.8996538855411701,NORMAL
2015-04-03,0.0028386856,0.9184383803794574,NORMAL
2015-04-06,0.0020890548,0.31975818739216755,NORMAL
2015-04-07,0.00058080244,-0.8500934824786351,NORMAL
2015-04-08,0.002321636,0.5161441974304672,NORMAL
2015-04-09,0.0015556065,-0.08841120521911396,NORMAL
2015-04-10,0.0015766455,-0.09213152426601015,NORMAL
2015-04-13,0.0012866695,-0.343160362169175,NORMAL
2015-04-14,0.0013952958,-0.2703313877104684,NORMAL
2015-04-15,0.0016028906,-0.08813246661386252,NORMAL
2015-04-16,0.00069566414,-0.8156034163407696,NORMAL
2015-04-17,0.0021029706,0.327943445039518,NORMAL
2015-04-20,0.011800219,3.0,HIGH
2015-04-21,0.00048443576,-0.7866180511439358,NORMAL
2015-04-22,0.00045545027,-0.7948656810497646,NORMAL
2015-04-23,0.0003721622,-0.8250274515672168,NORMAL
2015-04-24,0.00071215,-0.6301311187103525,NORMAL
2015-04-27,0.00025562255,-0.8744272133106821,NORMAL
2015-05-04,0.00012032944,-0.9256609031065854,NORMAL
2015-05-05,0.0102223335,3.0,HIGH
2015-05-06,0.0007337291,-0.5771460107329138,NORMAL
2015-05-07,2.6792288e-05,-0.8817514646642691,NORMAL
2015-05-08,0.001200781,-0.3295799525747725,NORMAL
2015-05-11,0.00043974817,-0.6829308776073165,NORMAL
2015-05-12,0.0009449538,-0.42119431246125505,NORMAL
2015-05-13,0.0002054451,-0.7751113908112253,NORMAL
2015-05-14,0.0003535829,-0.6859484332131346,NORMAL
2015-05-15,0.00048918894,-0.6042267689646205,NORMAL
2015-05-18,0.0017093555,0.001984016567261673,NORMAL
2015-05-19,0.007321,2.5979834540090825,HIGH
2015-05-20,0.0018542842,0.013278025998192684,NORMAL
2015-05-21,0.000981884,-0.38186219884080674,NORMAL
2015-05-22,0.00012652879,-0.775593091573137,NORMAL
2015-05-25,0.0005383586,-0.573240299350334,NORMAL
2015-05-26,0.0002584498,-0.695137065452151,NORMAL
2015-05-27,0.0011135357,-0.29559571120728245,NORMAL
2015-05-28,0.0009291584,-0.3806704312780809,NORMAL
2015-05-29,0.0011951285,-0.25644561745245037,NORMAL
2015-06-01,0.0011805099,-0.2644391018088074,NORMAL
2015-06-02,0.00045074854,-0.5923760473512563,NORMAL
2015-06-03,0.0009860762,-0.33226385675702585,NORMAL
2015-06-04,0.0010060485,-0.328031995589332,NORMAL
2015-06-05,0.00045710662,-0.5815331042961824,NORMAL
2015-06-08,0.0009132696,-0.3515408500090351,NORMAL
2015-06-09,0.00064353814,-0.47299540590437156,NORMAL
2015-06-10,0.0015676958,-0.04332246223816142,NORMAL
2015-06-11,0.0016391051,-0.01111988229919762,NORMAL
2015-06-12,0.0008584063,-0.367443313189632,NORMAL
2015-06-15,0.0005082693,-0.523697995034628,NORMAL
2015-06-16,0.00035466347,-0.5927501547314827,NORMAL
2015-06-17,0.00088330277,-0.3353710074432417,NORMAL
2015-06-18,0.0007181771,-0.41208587813899406,NORMAL
2015-06-19,0.0011045821,-0.23334277274332854,NORMAL
2015-06-22,0.00140793,-0.07895060617851701,NORMAL
2015-06-23,0.0009128411,-0.30583646886487964,NORMAL
2015-06-24,0.00067528524,-0.40610420943259723,NORMAL
2015-06-25,0.0017155026,0.11216645676975379,NORMAL
2015-06-26,0.0011769589,-0.1380158080384172,NORMAL
2015-06-29,0.0017770202,0.15698047676525834,NORMAL
2015-06-30,0.0008872723,-0.25833422894402536,NORMAL
2015-07-01,0.00049799896,-0.44628550950320334,NORMAL
2015-07-02,0.00062924117,-0.36602134199619757,NORMAL
2015-07-03,0.0011626489,-0.0997338285062316,NORMAL
2015-07-06,0.0007625543,-0.29571878332625856,NORMAL
2015-07-07,0.01538561,3.0,HIGH
2015-07-08,0.0020900082,0.17976291784405196,NORMAL
2015-07-09,0.0017940477,0.07038706769546194,NORMAL
2015-07-10,0.00019051833,-0.5072686212859994,NORMAL
2015-07-13,6.933231e-05,-0.5420100835427617,NORMAL
2015-07-14,0.0001167265,-0.5146091105030173,NORMAL
2015-07-15,0.0010585791,-0.17541818249726687,NORMAL
2015-07-16,0.00027977838,-0.4462997752793415,NORMAL
2015-07-17,0.0010869908,-0.1022678555660504,NORMAL
2015-07-20,0.0011188806,-0.09350756033580175,NORMAL
2015-07-21,0.00096830074,-0.15981974429876694,NORMAL
2015-07-22,0.0017143529,0.14152760658769828,NORMAL
2015-07-23,0.0027948997,0.576038906996316,NORMAL
2015-07-24,0.0019051093,0.1949863068215174,NORMAL
2015-07-27,0.0008197852,-0.26238568776416926,NORMAL
2015-07-28,0.001250519,-0.023087378940578773,NORMAL
2015-07-29,0.00030413806,-0.4694357154086427,NORMAL
2015-07-30,0.0014212682,0.050606932168998336,NORMAL
2015-07-31,0.0014303796,0.05312646031539586,NORMAL
2015-08-03,0.0017684842,0.20399326848348157,NORMAL
2015-08-04,0.00077177107,-0.27026711137892856,NORMAL
2015-08-05,0.0013979928,0.019093018525078338,NORMAL
2015-08-06,0.0005995456,-0.36510862659990906,NORMAL
2015-08-07,0.00075264234,-0.2941398579234624,NORMAL
2015-08-10,0.0010762057,-0.13407103173892332,NORMAL
2015-08-11,0.0022980077,0.5289314680590421,NORMAL
2015-08-12,0.00091771357,-0.17489101898491732,NORMAL
2015-08-13,0.0022264854,0.4887287508552392,NORMAL
2015-08-14,0.0022272635,0.4716253280594416,NORMAL
2015-08-17,0.0012759336,-0.025195220638602397,NORMAL
