date,risk_score,risk_z,risk_regime
2014-07-10,0.0011777047,0.0,NORMAL
2014-07-11,0.0016558099,0.0,NORMAL
2014-07-14,0.0022022203,0.0,NORMAL
2014-07-15,0.00090548774,0.0,NORMAL
2014-07-16,0.0053247996,0.0,NORMAL
2014-07-17,0.0017987782,0.0,NORMAL
2014-07-18,0.0007693198,0.0,NORMAL
2014-07-21,0.018670559,0.0,NORMAL
2014-07-22,0.002211683,0.0,NORMAL
2014-07-23,0.0006487515,0.0,NORMAL
2014-07-24,0.0010353187,0.0,NORMAL
2014-07-25,0.0068132523,0.0,NORMAL
2014-07-28,0.0005064019,0.0,NORMAL
2014-07-29,0.0011801727,0.0,NORMAL
2014-07-30,0.00095991977,0.0,NORMAL
2014-07-31,0.0004453332,0.0,NORMAL
2014-08-01,0.00012614485,0.0,NORMAL
2014-08-04,1.8688384e-05,0.0,NORMAL
2014-08-05,0.00059249933,0.0,NORMAL
2014-08-06,0.00052107335,0.0,NORMAL
2014-08-07,0.0033404278,0.0,NORMAL
2014-08-08,8.0130645e-05,0.0,NORMAL
2014-08-11,0.008128969,0.0,NORMAL
2014-08-12,0.0018735181,0.0,NORMAL
2014-08-13,0.00045088405,0.0,NORMAL
2014-08-14,0.0009714378,0.0,NORMAL
2014-08-15,0.00073149236,0.0,NORMAL
2014-08-18,7.846858e-05,0.0,NORMAL
2014-08-19,0.0010809875,0.0,NORMAL
2014-08-20,0.0008255899,0.0,NORMAL
2014-08-21,0.0013194458,0.0,NORMAL
2014-08-22,0.002806604,0.0,NORMAL
2014-08-25,0.0008095463,0.0,NORMAL
2014-08-26,0.0015926455,0.0,NORMAL
2014-08-27,0.0018236344,0.0,NORMAL
2014-08-28,0.0024028732,0.0,NORMAL
2014-08-29,0.001047029,0.0,NORMAL
2014-09-03,0.0009992756,0.0,NORMAL
2014-09-04,0.0009624567,0.0,NORMAL
2014-09-05,0.0010062702,0.0,NORMAL
2014-09-08,0.0021486734,0.0,NORMAL
2014-09-09,0.0033185831,0.0,NORMAL
2014-09-10,0.0004571767,0.0,NORMAL
2014-09-11,0.0008654704,0.0,NORMAL
2014-09-12,0.0012729532,0.0,NORMAL
2014-09-15,0.0005901629,0.0,NORMAL
