date,risk_score,risk_z,risk_regime
2014-10-22,0.0019325314,0.0,NORMAL
2014-10-23,0.0018771214,0.0,NORMAL
2014-10-24,0.0019547117,0.0,NORMAL
2014-10-27,0.0019537534,0.0,NORMAL
2014-10-28,0.0021142743,0.0,NORMAL
2014-10-29,0.0021320959,0.0,NORMAL
2014-10-30,0.0019980622,0.0,NORMAL
2014-10-31,0.0020416914,0.0,NORMAL
2014-11-03,0.0022652727,0.0,NORMAL
2014-11-04,0.0020661354,0.0,NORMAL
2014-11-05,0.0013214296,0.0,NORMAL
2014-11-06,0.001881018,0.0,NORMAL
2014-11-07,0.0013101001,0.0,NORMAL
2014-11-10,0.0018502534,0.0,NORMAL
2014-11-11,0.0018127321,0.0,NORMAL
2014-11-12,0.0018304153,0.0,NORMAL
2014-11-13,0.0019568782,0.0,NORMAL
2014-11-14,0.002131362,0.0,NORMAL
2014-11-17,0.0020140717,0.0,NORMAL
2014-11-18,0.0014350447,0.0,NORMAL
2014-11-19,0.0013006111,0.0,NORMAL
2014-11-20,0.0014360861,0.0,NORMAL
2014-11-21,0.001522816,0.0,NORMAL
2014-11-24,0.0014987916,0.0,NORMAL
2014-11-25,0.0014284323,0.0,NORMAL
2014-11-26,0.0015942031,0.0,NORMAL
2014-11-27,0.00236324,0.0,NORMAL
2014-11-28,0.0016216913,0.0,NORMAL
2014-12-01,0.0016142635,0.0,NORMAL
2014-12-02,0.0039383736,0.0,NORMAL
2014-12-03,0.0013570457,0.0,NORMAL
2014-12-04,0.0013384013,0.0,NORMAL
2014-12-05,0.0014081551,0.0,NORMAL
2014-12-08,0.0015202139,0.0,NORMAL
2014-12-09,0.0015046096,0.0,NORMAL
2014-12-10,0.001523999,0.0,NORMAL
2014-12-11,0.0015975654,0.0,NORMAL
2014-12-12,0.001489595,0.0,NORMAL
2014-12-15,0.0015646906,0.0,NORMAL
2014-12-16,0.0015791024,0.0,NORMAL
2014-12-17,0.001904882,0.0,NORMAL
2014-12-18,0.0019872128,0.0,NORMAL
2014-12-19,0.0015651858,0.0,NORMAL
2014-12-22,0.0020424547,0.0,NORMAL
2014-12-23,0.0018850903,0.0,NORMAL
2014-12-24,0.0015935928,0.0,NORMAL
