date,risk_score,risk_z,risk_regime
2014-09-05,0.0016500968,0.0,NORMAL
2014-09-08,0.0016918436,0.0,NORMAL
2014-09-09,0.0017630239,0.0,NORMAL
2014-09-10,0.0017850606,0.0,NORMAL
2014-09-11,0.0019597604,0.0,NORMAL
2014-09-12,0.0018935804,0.0,NORMAL
2014-09-15,0.0018072089,0.0,NORMAL
2014-09-16,0.0017200138,0.0,NORMAL
2014-09-17,0.0016035391,0.0,NORMAL
2014-09-18,0.0016340197,0.0,NORMAL
2014-09-19,0.0017075487,0.0,NORMAL
2014-09-22,0.0015991942,0.0,NORMAL
2014-09-23,0.0014477433,0.0,NORMAL
2014-09-24,0.0018157,0.0,NORMAL
2014-09-25,0.0019519022,0.0,NORMAL
2014-09-26,0.001622532,0.0,NORMAL
2014-09-29,0.0015602564,0.0,NORMAL
2014-09-30,0.0015781485,0.0,NORMAL
2014-10-01,0.0015827478,0.0,NORMAL
2014-10-02,0.0018097889,0.0,NORMAL
2014-10-03,0.0016929228,0.0,NORMAL
2014-10-06,0.0016296061,0.0,NORMAL
2014-10-07,0.0016956092,0.0,NORMAL
2014-10-08,0.0030554258,0.0,NORMAL
2014-10-09,0.002151103,0.0,NORMAL
2014-10-10,0.0016345868,0.0,NORMAL
2014-10-13,0.0016745795,0.0,NORMAL
2014-10-14,0.0017142843,0.0,NORMAL
2014-10-15,0.001789832,0.0,NORMAL
2014-10-16,0.0017880704,0.0,NORMAL
2014-10-17,0.002100061,0.0,NORMAL
2014-10-20,0.0018122818,0.0,NORMAL
2014-10-21,0.0018413721,0.0,NORMAL
2014-10-22,0.0018246653,0.0,NORMAL
2014-10-23,0.0017823037,0.0,NORMAL
2014-10-24,0.0017485304,0.0,NORMAL
2014-10-27,0.0017744598,0.0,NORMAL
2014-10-28,0.0017893489,0.0,NORMAL
2014-10-29,0.0019048203,0.0,NORMAL
2014-10-30,0.0018585331,0.0,NORMAL
2014-10-31,0.001849385,0.0,NORMAL
2014-11-03,0.0019634343,0.0,NORMAL
2014-11-04,0.0020628793,0.0,NORMAL
2014-11-05,0.0018570751,0.0,NORMAL
2014-11-06,0.0020695622,0.0,NORMAL
2014-11-07,0.00188247,0.0,NORMAL
2014-11-10,0.0018532216,0.0,NORMAL
2014-11-11,0.0018344314,0.0,NORMAL
