date,risk_score,risk_z,risk_regime
2014-10-22,0.00035027927,0.0,NORMAL
2014-10-23,0.00072728493,0.0,NORMAL
2014-10-24,0.00022223592,0.0,NORMAL
2014-10-27,0.00065323594,0.0,NORMAL
2014-10-28,0.0017429909,0.0,NORMAL
2014-10-29,0.00086581334,0.0,NORMAL
2014-10-30,0.00030627474,0.0,NORMAL
2014-10-31,0.0007636403,0.0,NORMAL
2014-11-03,0.0005829213,0.0,NORMAL
2014-11-04,0.00023596245,0.0,NORMAL
2014-11-05,0.0014950719,0.0,NORMAL
2014-11-06,0.00088092545,0.0,NORMAL
2014-11-07,0.0007816972,0.0,NORMAL
2014-11-10,0.0006543638,0.0,NORMAL
2014-11-11,0.0010220492,0.0,NORMAL
2014-11-12,0.0008356299,0.0,NORMAL
2014-11-13,0.0011944138,0.0,NORMAL
2014-11-14,0.00017472659,0.0,NORMAL
2014-11-17,0.0020611915,0.0,NORMAL
2014-11-18,0.0012626224,0.0,NORMAL
2014-11-19,0.0020217216,0.0,NORMAL
2014-11-20,0.0009907153,0.0,NORMAL
2014-11-21,0.0010877503,0.0,NORMAL
2014-11-24,0.00030897185,0.0,NORMAL
2014-11-25,0.00012741447,0.0,NORMAL
2014-11-26,0.0006841854,0.0,NORMAL
2014-11-27,0.0012111864,0.0,NORMAL
2014-11-28,0.0010363988,0.0,NORMAL
2014-12-01,0.0048028696,0.0,NORMAL
2014-12-02,0.0032294057,0.0,NORMAL
2014-12-03,0.00075182377,0.0,NORMAL
2014-12-04,0.0011419682,0.0,NORMAL
2014-12-05,0.0009076721,0.0,NORMAL
2014-12-08,0.00033595716,0.0,NORMAL
2014-12-09,0.0003472662,0.0,NORMAL
2014-12-10,0.0066146664,0.0,NORMAL
2014-12-11,0.0005942038,0.0,NORMAL
2014-12-12,0.00070081535,0.0,NORMAL
2014-12-15,0.0009056905,0.0,NORMAL
2014-12-16,0.00078746164,0.0,NORMAL
2014-12-17,0.0011192411,0.0,NORMAL
2014-12-18,0.0062124142,0.0,NORMAL
2014-12-19,0.0005435627,0.0,NORMAL
2014-12-22,0.0048261685,0.0,NORMAL
2014-12-23,0.0015958056,0.0,NORMAL
2014-12-24,1.0112533e-05,0.0,NORMAL
2014-12-25,0.00055343425,0.0,NORMAL
2014-12-26,0.0013558725,0.0,NORMAL
2014-12-29,0.0001327102,0.0,NORMAL
2014-12-30,0.00032823998,0.0,NORMAL
2014-12-31,0.0016021584,0.0,NORMAL
2015-01-05,0.0005137352,0.0,NORMAL
2015-01-06,0.0014045343,0.0,NORMAL
2015-01-07,0.0014560656,0.0,NORMAL
2015-01-08,0.00040755956,0.0,NORMAL
2015-01-09,0.00018822041,0.0,NORMAL
2015-01-12,0.0010844087,0.0,NORMAL
2015-01-13,0.0016767003,0.0,NORMAL
2015-01-14,0.0010219829,0.0,NORMAL
2015-01-15,0.00058101583,-0.4636869906518199,NORMAL
2015-01-16,0.0008213776,-0.2903887261165553,NORMAL
2015-01-19,0.00020672055,-0.7426908113692935,NORMAL
2015-01-20,0.0016843653,0.34580911878920206,NORMAL
2015-01-21,0.000116691226,-0.8210418892653538,NORMAL
2015-01-22,0.000501184,-0.5176014143490202,NORMAL
2015-01-23,0.0022425265,0.7624575977806057,NORMAL
2015-01-26,0.0013614635,0.094627987179209,NORMAL
2015-01-27,0.001018981,-0.1643338687011441,NORMAL
2015-01-28,0.0040007806,1.9569696572337936,HIGH
2015-01-29,0.00030911947,-0.7153029393574767,NORMAL
2015-01-30,0.0006708177,-0.442822876037056,NORMAL
2015-02-02,0.000521563,-0.545382689950768,NORMAL
2015-02-03,0.00133528,0.035140196416613485,NORMAL
2015-02-04,0.00013190287,-0.824442590788128,NORMAL
2015-02-05,0.0025108638,0.8637651369149072,NORMAL
2015-02-06,0.0014293008,0.08348846703382248,NORMAL
2015-02-09,0.0005192964,-0.5581958905267727,NORMAL
2015-02-10,0.0007341192,-0.41322822818816124,NORMAL
2015-02-11,0.001273649,-0.017192747915777854,NORMAL
2015-02-12,0.0009692074,-0.2323057206762712,NORMAL
2015-02-13,0.0027686679,1.0435817281724908,HIGH
2015-02-24,9.179488e-05,-0.8495367613225672,NORMAL
2015-02-25,0.00083538634,-0.319187303693422,NORMAL
2015-02-26,2.267654e-05,-0.8891290429771117,NORMAL
2015-02-27,0.00031704665,-0.6845556510293777,NORMAL
2015-03-02,0.0005869474,-0.4921358682597154,NORMAL
2015-03-03,0.0006744419,-0.4232755171754812,NORMAL
2015-03-04,0.0013985191,0.08385523499672276,NORMAL
2015-03-05,2.0753941e-05,-0.8755960240105731,NORMAL
2015-03-06,0.0009795385,-0.13863414957248518,NORMAL
2015-03-09,0.0008379575,-0.24701365968938913,NORMAL
2015-03-10,0.0006257319,-0.40070478562415646,NORMAL
2015-03-11,0.0006947315,-0.3455728613927511,NORMAL
2015-03-12,0.0010830415,-0.06165633904800337,NORMAL
2015-03-13,0.00055151107,-0.4680083611991861,NORMAL
2015-03-16,0.0007705849,-0.27095646074898566,NORMAL
2015-03-17,0.0006796215,-0.35464849947894517,NORMAL
2015-03-18,0.000579546,-0.4430061173886289,NORMAL
2015-03-19,0.0024999552,1.2514979255940035,HIGH
2015-03-20,0.0004753,-0.5480026283194384,NORMAL
2015-03-23,0.00038371922,-0.6165632468781668,NORMAL
2015-03-24,0.0012508743,0.2816252599149919,NORMAL
